rank,feature,prefix,kind,transform,imputation,na_fraction,accuracy,f1,recall,precision
1,AL_6,AL,numeric,raw,mean,0.8649,0.913,0.95,1.0,0.9048
2,AL_6,AL,numeric,sig4figs,mean,0.8649,0.913,0.95,1.0,0.9048
3,AL_21,AL,numeric,raw,mean,0.5045,0.913,0.95,1.0,0.9048
4,AL_21,AL,numeric,raw,median,0.5045,0.913,0.95,1.0,0.9048
5,AL_21,AL,numeric,sig4figs,mean,0.5045,0.913,0.95,1.0,0.9048
6,AL_21,AL,numeric,sig4figs,median,0.5045,0.913,0.95,1.0,0.9048
7,AL_215,AL,numeric,raw,mean,0.5045,0.913,0.95,1.0,0.9048
8,AL_215,AL,numeric,raw,median,0.5045,0.913,0.95,1.0,0.9048
9,AL_215,AL,numeric,sig4figs,mean,0.5045,0.913,0.95,1.0,0.9048
10,AL_215,AL,numeric,sig4figs,median,0.5045,0.913,0.95,1.0,0.9048
11,AL_16,AL,numeric,raw,mean,0.5045,0.8696,0.9268,1.0,0.8636
12,AL_16,AL,numeric,raw,median,0.5045,0.8696,0.9268,1.0,0.8636
13,AL_16,AL,numeric,sig4figs,mean,0.5045,0.8696,0.9268,1.0,0.8636
14,AL_16,AL,numeric,sig4figs,median,0.5045,0.8696,0.9268,1.0,0.8636
15,AL_23,AL,numeric,significand,mean,0.5045,0.8696,0.9268,1.0,0.8636
16,AL_23,AL,numeric,significand,median,0.5045,0.8696,0.9268,1.0,0.8636
17,AL_32,AL,numeric,significand,mean,0.8649,0.8696,0.9268,1.0,0.8636
18,AL_52,AL,numeric,raw,mean,0.2973,0.8696,0.9268,1.0,0.8636
19,AL_52,AL,numeric,raw,median,0.2973,0.8696,0.9268,1.0,0.8636
20,AL_52,AL,numeric,sig4figs,mean,0.2973,0.8696,0.9268,1.0,0.8636
21,AL_52,AL,numeric,sig4figs,median,0.2973,0.8696,0.9268,1.0,0.8636
22,AL_139,AL,numeric,significand,mean,0.1982,0.8696,0.9268,1.0,0.8636
23,AL_139,AL,numeric,significand,median,0.1982,0.8696,0.9268,1.0,0.8636
24,AL_145,AL,numeric,significand,mean,0.1982,0.8696,0.9268,1.0,0.8636
25,AL_145,AL,numeric,significand,median,0.1982,0.8696,0.9268,1.0,0.8636
26,AL_166,AL,numeric,raw,mean,0.1982,0.8696,0.9268,1.0,0.8636
27,AL_166,AL,numeric,raw,median,0.1982,0.8696,0.9268,1.0,0.8636
28,AL_166,AL,numeric,significand,mean,0.1982,0.8696,0.9268,1.0,0.8636
29,AL_166,AL,numeric,significand,median,0.1982,0.8696,0.9268,1.0,0.8636
30,AL_166,AL,numeric,sig4figs,mean,0.1982,0.8696,0.9268,1.0,0.8636
31,AL_166,AL,numeric,sig4figs,median,0.1982,0.8696,0.9268,1.0,0.8636
32,AL_211,AL,numeric,raw,mean,0.3694,0.8696,0.9268,1.0,0.8636
33,AL_211,AL,numeric,raw,median,0.3694,0.8696,0.9268,1.0,0.8636
34,AL_211,AL,numeric,sig4figs,mean,0.3694,0.8696,0.9268,1.0,0.8636
35,AL_211,AL,numeric,sig4figs,median,0.3694,0.8696,0.9268,1.0,0.8636
