rank,feature,prefix,kind,transform,imputation,na_fraction,accuracy,f1,recall,precision
1,AL_22,AL,numeric,significand,mean,0.6856,0.8333,0.887,0.9444,0.8361
2,EK_2,EK,numeric,raw,median,0.0593,0.8333,0.8829,0.9074,0.8596
3,AL_22,AL,numeric,significand,median,0.6856,0.8205,0.8772,0.9259,0.8333
4,AL_209,AL,numeric,raw,median,0.6985,0.8077,0.876,0.9815,0.791
5,AL_209,AL,numeric,significand,median,0.6985,0.8077,0.876,0.9815,0.791
6,AL_209,AL,numeric,sig4figs,median,0.6985,0.8077,0.876,0.9815,0.791
7,AL_215,AL,numeric,raw,mean,0.7732,0.8077,0.876,0.9815,0.791
8,AL_215,AL,numeric,raw,median,0.7732,0.8077,0.876,0.9815,0.791
9,AL_215,AL,numeric,sig4figs,mean,0.7732,0.8077,0.876,0.9815,0.791
10,AL_215,AL,numeric,sig4figs,median,0.7732,0.8077,0.876,0.9815,0.791
11,EK_2,EK,numeric,raw,mean,0.0593,0.8205,0.8727,0.8889,0.8571
12,EK_2,EK,numeric,sig4figs,median,0.0593,0.8205,0.8727,0.8889,0.8571
13,AL_23,AL,numeric,raw,mean,0.6856,0.8077,0.8718,0.9444,0.8095
14,AL_23,AL,numeric,raw,median,0.6856,0.8077,0.8718,0.9444,0.8095
15,AL_23,AL,numeric,sig4figs,mean,0.6856,0.8077,0.8718,0.9444,0.8095
16,AL_23,AL,numeric,sig4figs,median,0.6856,0.8077,0.8718,0.9444,0.8095
17,EK_7,EK,numeric,raw,mean,0.0593,0.8205,0.8704,0.8704,0.8704
18,EK_7,EK,numeric,sig4figs,mean,0.0593,0.8205,0.8704,0.8704,0.8704
19,AL_21,AL,numeric,significand,mean,0.6856,0.8077,0.8696,0.9259,0.8197
20,AL_21,AL,numeric,significand,median,0.6856,0.8077,0.8696,0.9259,0.8197
21,AL_23,AL,numeric,significand,mean,0.6856,0.7949,0.8689,0.9815,0.7794
22,AL_23,AL,numeric,significand,median,0.6856,0.7949,0.8689,0.9815,0.7794
23,EK_9,EK,numeric,raw,mean,0.0619,0.8077,0.8673,0.9074,0.8305
24,EK_9,EK,numeric,sig4figs,mean,0.0619,0.8077,0.8673,0.9074,0.8305
25,AL_25,AL,numeric,significand,mean,0.6856,0.7949,0.8667,0.963,0.7879
26,AL_25,AL,numeric,significand,median,0.6856,0.7949,0.8667,0.963,0.7879
27,AL_260,AL,numeric,raw,mean,0.6985,0.7949,0.8667,0.963,0.7879
28,AL_260,AL,numeric,raw,median,0.6985,0.7949,0.8667,0.963,0.7879
29,AL_260,AL,numeric,sig4figs,mean,0.6985,0.7949,0.8667,0.963,0.7879
30,AL_260,AL,numeric,sig4figs,median,0.6985,0.7949,0.8667,0.963,0.7879
