rank,feature,prefix,kind,transform,imputation,na_fraction,accuracy,f1,recall,precision
1,AL_2,AL,numeric,raw,median,0.8997,0.7751,0.8636,0.9721,0.777
2,AL_2,AL,numeric,sig4figs,median,0.8997,0.7734,0.8627,0.9721,0.7755
3,AL_2,AL,numeric,raw,mean,0.8997,0.7717,0.8616,0.9698,0.7751
4,AL_2,AL,numeric,sig4figs,mean,0.8997,0.7717,0.8616,0.9698,0.7751
5,AL_4,AL,numeric,significand,median,0.8997,0.7717,0.861,0.9651,0.7772
6,AL_37,AL,numeric,significand,mean,0.914,0.77,0.8607,0.9698,0.7737
7,AL_6,AL,numeric,significand,mean,0.8997,0.77,0.8595,0.9605,0.7778
8,AL_29,AL,numeric,raw,mean,0.914,0.7683,0.8595,0.9674,0.7732
9,AL_29,AL,numeric,sig4figs,mean,0.914,0.7683,0.8595,0.9674,0.7732
10,AL_3,AL,numeric,significand,mean,0.8997,0.7666,0.8595,0.9744,0.7688
11,AL_34,AL,numeric,raw,mean,0.914,0.7666,0.8589,0.9698,0.7708
12,AL_3,AL,numeric,significand,median,0.8997,0.7649,0.8589,0.9767,0.7664
13,AL_2,AL,numeric,significand,mean,0.8997,0.7683,0.8586,0.9605,0.7763
14,AL_2,AL,numeric,significand,median,0.8997,0.7683,0.8586,0.9605,0.7763
15,EK_8,EK,numeric,raw,mean,0.1225,0.7632,0.8586,0.9814,0.7631
16,AL_27,AL,numeric,significand,mean,0.914,0.7666,0.8583,0.9651,0.7728
17,AL_29,AL,numeric,significand,mean,0.914,0.7666,0.8583,0.9651,0.7728
18,AL_31,AL,numeric,raw,mean,0.914,0.7666,0.8583,0.9651,0.7728
19,AL_31,AL,numeric,raw,median,0.914,0.7666,0.8583,0.9651,0.7728
20,AL_31,AL,numeric,significand,mean,0.914,0.7666,0.8583,0.9651,0.7728
21,AL_31,AL,numeric,sig4figs,mean,0.914,0.7666,0.8583,0.9651,0.7728
22,AL_31,AL,numeric,sig4figs,median,0.914,0.7666,0.8583,0.9651,0.7728
23,AL_33,AL,numeric,raw,mean,0.914,0.7666,0.8583,0.9651,0.7728
24,AL_33,AL,numeric,raw,median,0.914,0.7666,0.8583,0.9651,0.7728
25,AL_33,AL,numeric,significand,mean,0.914,0.7666,0.8583,0.9651,0.7728
26,AL_33,AL,numeric,sig4figs,mean,0.914,0.7666,0.8583,0.9651,0.7728
27,AL_33,AL,numeric,sig4figs,median,0.914,0.7666,0.8583,0.9651,0.7728
28,AL_35,AL,numeric,significand,mean,0.914,0.7666,0.8583,0.9651,0.7728
29,AL_37,AL,numeric,raw,mean,0.914,0.7666,0.8583,0.9651,0.7728
30,AL_37,AL,numeric,sig4figs,mean,0.914,0.7666,0.8583,0.9651,0.7728
31,AL_3,AL,numeric,raw,median,0.8997,0.7649,0.8583,0.9721,0.7684
32,AL_3,AL,numeric,sig4figs,median,0.8997,0.7649,0.8583,0.9721,0.7684
33,AL_1,AL,numeric,raw,mean,0.8997,0.7666,0.858,0.9628,0.7738
34,AL_1,AL,numeric,sig4figs,mean,0.8997,0.7666,0.858,0.9628,0.7738
35,AL_6,AL,numeric,significand,median,0.8997,0.7666,0.8577,0.9605,0.7749
36,AL_3,AL,numeric,sig4figs,mean,0.8997,0.7649,0.8577,0.9674,0.7704
37,AL_30,AL,numeric,raw,median,0.914,0.7649,0.8577,0.9674,0.7704
38,AL_30,AL,numeric,sig4figs,median,0.914,0.7649,0.8577,0.9674,0.7704
39,AL_28,AL,numeric,raw,mean,0.914,0.7632,0.8577,0.9744,0.766
40,AL_28,AL,numeric,raw,median,0.914,0.7632,0.8577,0.9744,0.766
41,AL_32,AL,numeric,raw,mean,0.914,0.7632,0.8574,0.9721,0.767
42,AL_32,AL,numeric,sig4figs,mean,0.914,0.7632,0.8574,0.9721,0.767
43,EK_8,EK,numeric,significand,mean,0.1225,0.7615,0.8571,0.9767,0.7636
44,EK_8,EK,numeric,significand,median,0.1225,0.7615,0.8571,0.9767,0.7636
45,AL_5,AL,numeric,raw,mean,0.8997,0.7632,0.8571,0.9698,0.768
46,AL_28,AL,numeric,significand,mean,0.914,0.7632,0.8571,0.9698,0.768
47,AL_1,AL,numeric,raw,median,0.8997,0.7649,0.8571,0.9628,0.7724
48,AL_1,AL,numeric,sig4figs,median,0.8997,0.7649,0.8571,0.9628,0.7724
49,AL_4,AL,numeric,raw,median,0.8997,0.7649,0.8571,0.9628,0.7724
50,AL_38,AL,numeric,significand,mean,0.914,0.7615,0.8569,0.9744,0.7646
51,AL_3,AL,numeric,raw,mean,0.8997,0.7632,0.8568,0.9674,0.7689
52,AL_5,AL,numeric,sig4figs,mean,0.8997,0.7632,0.8568,0.9674,0.7689
53,AL_28,AL,numeric,significand,median,0.914,0.7615,0.8566,0.9721,0.7656
54,AL_28,AL,numeric,sig4figs,mean,0.914,0.7615,0.8566,0.9721,0.7656
55,AL_34,AL,numeric,sig4figs,median,0.914,0.7615,0.8566,0.9721,0.7656
56,AL_27,AL,numeric,raw,mean,0.914,0.7632,0.8566,0.9651,0.7699
57,AL_27,AL,numeric,sig4figs,mean,0.914,0.7632,0.8566,0.9651,0.7699
58,AL_35,AL,numeric,raw,mean,0.914,0.7632,0.8566,0.9651,0.7699
59,AL_35,AL,numeric,sig4figs,mean,0.914,0.7632,0.8566,0.9651,0.7699
60,AL_6,AL,numeric,sig4figs,median,0.8997,0.7649,0.8565,0.9581,0.7744
61,AL_34,AL,numeric,sig4figs,mean,0.914,0.7615,0.8563,0.9698,0.7665
62,AL_5,AL,numeric,raw,median,0.8997,0.7615,0.856,0.9674,0.7675
63,AL_5,AL,numeric,sig4figs,median,0.8997,0.7615,0.856,0.9674,0.7675
64,AL_36,AL,numeric,sig4figs,mean,0.914,0.7615,0.856,0.9674,0.7675
65,AL_38,AL,numeric,raw,median,0.914,0.7615,0.856,0.9674,0.7675
66,AL_28,AL,numeric,sig4figs,median,0.914,0.7598,0.8557,0.9721,0.7642
67,AL_36,AL,numeric,significand,mean,0.914,0.7598,0.8557,0.9721,0.7642
68,AL_36,AL,numeric,significand,median,0.914,0.7598,0.8557,0.9721,0.7642
69,AL_38,AL,numeric,raw,mean,0.914,0.7615,0.8557,0.9651,0.7685
70,AL_4,AL,numeric,significand,mean,0.8997,0.7632,0.8557,0.9581,0.773
71,AL_6,AL,numeric,raw,median,0.8997,0.7632,0.8557,0.9581,0.773
72,AL_6,AL,numeric,sig4figs,mean,0.8997,0.7632,0.8557,0.9581,0.773
73,EK_8,EK,numeric,raw,median,0.1225,0.7564,0.8554,0.9837,0.7567
74,AL_30,AL,numeric,significand,median,0.914,0.7598,0.8554,0.9698,0.7651
75,AL_32,AL,numeric,raw,median,0.914,0.7598,0.8554,0.9698,0.7651
76,AL_36,AL,numeric,raw,mean,0.914,0.7598,0.8554,0.9698,0.7651
77,AL_5,AL,numeric,significand,mean,0.8997,0.7615,0.8554,0.9628,0.7695
78,AL_1,AL,numeric,significand,median,0.8997,0.7632,0.8554,0.9558,0.774
79,AL_38,AL,numeric,significand,median,0.914,0.7581,0.8551,0.9744,0.7618
80,EK_8,EK,numeric,sig4figs,mean,0.1225,0.7581,0.8551,0.9744,0.7618
81,AL_30,AL,numeric,significand,mean,0.914,0.7598,0.8551,0.9674,0.7661
82,AL_36,AL,numeric,raw,median,0.914,0.7598,0.8551,0.9674,0.7661
83,AL_36,AL,numeric,sig4figs,median,0.914,0.7598,0.8551,0.9674,0.7661
84,AL_32,AL,numeric,sig4figs,median,0.914,0.7581,0.8548,0.9721,0.7628
85,AL_38,AL,numeric,sig4figs,mean,0.914,0.7598,0.8548,0.9651,0.7671
86,AL_4,AL,numeric,raw,mean,0.8997,0.7615,0.8548,0.9581,0.7715
87,AL_4,AL,numeric,sig4figs,median,0.8997,0.7615,0.8548,0.9581,0.7715
88,AL_194,AL,numeric,sig4figs,median,0.6448,0.7632,0.8548,0.9512,0.7761
89,AL_32,AL,numeric,significand,mean,0.914,0.7564,0.8545,0.9767,0.7595
90,AL_34,AL,numeric,significand,median,0.914,0.7564,0.8545,0.9767,0.7595
91,AL_34,AL,numeric,raw,median,0.914,0.7581,0.8545,0.9698,0.7637
92,AL_5,AL,numeric,significand,median,0.8997,0.7598,0.8545,0.9628,0.7681
93,AL_4,AL,numeric,sig4figs,mean,0.8997,0.7615,0.8545,0.9558,0.7726
94,AL_6,AL,numeric,raw,mean,0.8997,0.7615,0.8545,0.9558,0.7726
95,AL_32,AL,numeric,significand,median,0.914,0.7564,0.8542,0.9744,0.7604
96,AL_34,AL,numeric,significand,mean,0.914,0.7564,0.8542,0.9744,0.7604
97,AL_30,AL,numeric,raw,mean,0.914,0.7581,0.8542,0.9674,0.7647
98,AL_30,AL,numeric,sig4figs,mean,0.914,0.7581,0.8542,0.9674,0.7647
99,AL_1,AL,numeric,significand,mean,0.8997,0.7598,0.8536,0.9558,0.7711
100,AL_29,AL,numeric,significand,median,0.914,0.7513,0.8534,0.9884,0.7509
101,AL_194,AL,numeric,raw,median,0.6448,0.7598,0.8533,0.9535,0.7721
102,EK_6,EK,numeric,significand,median,0.1225,0.7598,0.8533,0.9535,0.7721
103,EK_8,EK,numeric,sig4figs,median,0.1225,0.753,0.8531,0.9791,0.7558
104,AL_97,AL,numeric,raw,median,0.5916,0.7547,0.8528,0.9698,0.7609
105,EK_3,EK,numeric,significand,median,0.4538,0.7581,0.8527,0.9558,0.7697
106,AL_29,AL,numeric,raw,median,0.914,0.7496,0.8523,0.986,0.7504
107,AL_29,AL,numeric,sig4figs,median,0.914,0.7496,0.8523,0.986,0.7504
108,EK_3,EK,numeric,sig4figs,mean,0.4538,0.7581,0.8521,0.9512,0.7717
109,EK_3,EK,numeric,sig4figs,median,0.4538,0.7581,0.8521,0.9512,0.7717
110,AL_215,AL,numeric,raw,mean,0.7434,0.7581,0.8518,0.9488,0.7727
111,AL_97,AL,numeric,sig4figs,median,0.5916,0.753,0.8516,0.9674,0.7605
112,EK_4,EK,numeric,sig4figs,mean,0.1225,0.7547,0.8515,0.9605,0.7648
113,AL_38,AL,numeric,sig4figs,median,0.914,0.753,0.8513,0.9651,0.7615
114,EK_2,EK,numeric,significand,median,0.1225,0.7564,0.8509,0.9488,0.7713
115,EK_3,EK,numeric,raw,mean,0.4538,0.7564,0.8509,0.9488,0.7713
116,EK_3,EK,numeric,raw,median,0.4538,0.7564,0.8509,0.9488,0.7713
117,AL_33,AL,numeric,significand,median,0.914,0.7479,0.8508,0.9814,0.7509
118,AL_35,AL,numeric,significand,median,0.914,0.7479,0.8508,0.9814,0.7509
119,EK_6,EK,numeric,significand,mean,0.1225,0.7547,0.8506,0.9535,0.7678
120,AL_215,AL,numeric,sig4figs,median,0.7434,0.753,0.8504,0.9581,0.7644
121,EK_3,EK,numeric,significand,mean,0.4538,0.7547,0.8503,0.9512,0.7688
122,AL_275,AL,numeric,significand,median,0.6452,0.753,0.8501,0.9558,0.7654
123,EK_2,EK,numeric,significand,mean,0.1225,0.7547,0.85,0.9488,0.7698
124,AL_35,AL,numeric,raw,median,0.914,0.7462,0.8499,0.9814,0.7496
125,AL_35,AL,numeric,sig4figs,median,0.914,0.7462,0.8499,0.9814,0.7496
126,AL_214,AL,numeric,significand,mean,0.7434,0.7581,0.8499,0.9349,0.7791
127,EK_4,EK,numeric,raw,mean,0.1225,0.7513,0.8498,0.9605,0.762
128,EK_2,EK,numeric,sig4figs,mean,0.1225,0.7547,0.8497,0.9465,0.7708
