rank,feature,prefix,kind,transform,imputation,na_fraction,accuracy,f1,recall,precision
1,AL_66,AL,numeric,raw,mean,0.5806,0.8533,0.9185,1.0,0.8493
2,AL_66,AL,numeric,raw,median,0.5806,0.8533,0.9185,1.0,0.8493
3,AL_20,AL,numeric,raw,median,0.672,0.8533,0.9173,0.9839,0.8592
4,AL_20,AL,numeric,sig4figs,median,0.672,0.8533,0.9173,0.9839,0.8592
5,AL_300,AL,numeric,raw,median,0.3387,0.8533,0.9173,0.9839,0.8592
6,AL_16,AL,numeric,significand,mean,0.672,0.84,0.9118,1.0,0.8378
7,AL_16,AL,numeric,significand,median,0.672,0.84,0.9118,1.0,0.8378
8,AL_49,AL,numeric,raw,mean,0.5806,0.84,0.9118,1.0,0.8378
9,AL_49,AL,numeric,raw,median,0.5806,0.84,0.9118,1.0,0.8378
10,AL_49,AL,numeric,sig4figs,mean,0.5806,0.84,0.9118,1.0,0.8378
11,AL_49,AL,numeric,sig4figs,median,0.5806,0.84,0.9118,1.0,0.8378
12,AL_52,AL,numeric,raw,mean,0.5806,0.84,0.9118,1.0,0.8378
13,AL_52,AL,numeric,sig4figs,mean,0.5806,0.84,0.9118,1.0,0.8378
14,AL_60,AL,numeric,raw,mean,0.5806,0.84,0.9118,1.0,0.8378
15,AL_60,AL,numeric,raw,median,0.5806,0.84,0.9118,1.0,0.8378
16,AL_60,AL,numeric,sig4figs,mean,0.5806,0.84,0.9118,1.0,0.8378
17,AL_60,AL,numeric,sig4figs,median,0.5806,0.84,0.9118,1.0,0.8378
18,AL_67,AL,numeric,significand,mean,0.5806,0.84,0.9118,1.0,0.8378
19,AL_67,AL,numeric,significand,median,0.5806,0.84,0.9118,1.0,0.8378
20,AL_91,AL,numeric,significand,mean,0.6129,0.84,0.9118,1.0,0.8378
21,AL_91,AL,numeric,significand,median,0.6129,0.84,0.9118,1.0,0.8378
22,AL_96,AL,numeric,significand,mean,0.6129,0.84,0.9118,1.0,0.8378
23,AL_96,AL,numeric,significand,median,0.6129,0.84,0.9118,1.0,0.8378
24,AL_138,AL,numeric,raw,median,0.457,0.84,0.9118,1.0,0.8378
25,AL_138,AL,numeric,significand,mean,0.457,0.84,0.9118,1.0,0.8378
26,AL_138,AL,numeric,significand,median,0.457,0.84,0.9118,1.0,0.8378
27,AL_138,AL,numeric,sig4figs,median,0.457,0.84,0.9118,1.0,0.8378
28,AL_156,AL,numeric,raw,median,0.457,0.84,0.9118,1.0,0.8378
29,AL_156,AL,numeric,sig4figs,median,0.457,0.84,0.9118,1.0,0.8378
30,AL_177,AL,numeric,significand,mean,0.457,0.84,0.9118,1.0,0.8378
