Senaryo,Model,n_features,n_drop,cv_f1,f1,auc_roc,auc_pr,precision,recall,mcc,specificity,threshold,best_combo,f1_drop,auc_drop,mcc_drop,auc_pr_drop
Baseline,XGBoost,280,0,0.8876,0.8985,0.8474,0.9168,0.8387,0.9674,0.56,0.4904,0.31,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.0,0.0,0.0,0.0
Baseline,LightGBM,280,0,0.8859,0.8973,0.8344,0.9108,0.8384,0.9651,0.5547,0.4904,0.26,"{'n_estimators': 300, 'num_leaves': 63, 'learning_rate': 0.05}",0.0,0.0,0.0,0.0
-CAT_all,XGBoost,231,4,0.8838,0.8997,0.8438,0.9093,0.839,0.9698,0.5654,0.4904,0.27,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",-0.0012,0.0036,-0.0054,0.0075
-CAT_all,LightGBM,231,4,0.8847,0.895,0.8293,0.9128,0.845,0.9512,0.551,0.5223,0.32,"{'n_estimators': 200, 'num_leaves': 63, 'learning_rate': 0.1}",0.0023,0.0051,0.0037,-0.002
-CAT_pop,XGBoost,249,1,0.8853,0.9025,0.8387,0.9098,0.853,0.9581,0.5865,0.5478,0.35,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",-0.004,0.0087,-0.0265,0.007
-CAT_pop,LightGBM,249,1,0.8843,0.9048,0.8379,0.911,0.8462,0.9721,0.5916,0.5159,0.27,"{'n_estimators': 300, 'num_leaves': 31, 'learning_rate': 0.05}",-0.0075,-0.0035,-0.0369,-0.0002
-CAT_geno,XGBoost,262,3,0.8883,0.8978,0.8441,0.9134,0.8429,0.9605,0.5602,0.5096,0.33,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.0007,0.0033,-0.0002,0.0034
-CAT_geno,LightGBM,262,3,0.886,0.8975,0.834,0.9084,0.8532,0.9465,0.5679,0.5541,0.41,"{'n_estimators': 100, 'num_leaves': 63, 'learning_rate': 0.1}",-0.0002,0.0004,-0.0132,0.0024
-CAT_dup,XGBoost,268,2,0.8902,0.899,0.8455,0.9149,0.8432,0.9628,0.5653,0.5096,0.33,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",-0.0005,0.0019,-0.0053,0.0019
-CAT_dup,LightGBM,268,2,0.8858,0.8991,0.8362,0.9127,0.8347,0.9744,0.5607,0.4713,0.26,"{'n_estimators': 300, 'num_leaves': 63, 'learning_rate': 0.05}",-0.0018,-0.0018,-0.006,-0.0019
-AA,XGBoost,229,2,0.8854,0.8889,0.8199,0.8999,0.8361,0.9488,0.5193,0.4904,0.32,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.0096,0.0275,0.0407,0.0169
-AA,LightGBM,229,2,0.8863,0.8942,0.8118,0.8925,0.8347,0.9628,0.5387,0.4777,0.16,"{'n_estimators': 300, 'num_leaves': 63, 'learning_rate': 0.1}",0.0031,0.0226,0.016,0.0183
-EK,XGBoost,271,9,0.8805,0.8845,0.8192,0.9128,0.8392,0.9349,0.5077,0.5096,0.35,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05}",0.014,0.0282,0.0523,0.004
-EK,LightGBM,271,9,0.8799,0.8825,0.805,0.8993,0.8162,0.9605,0.4724,0.4076,0.3,"{'n_estimators': 100, 'num_leaves': 31, 'learning_rate': 0.05}",0.0148,0.0294,0.0823,0.0115
-AL_safe,XGBoost,109,171,0.872,0.871,0.7883,0.8967,0.7829,0.9814,0.3815,0.2548,0.18,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.0275,0.0591,0.1785,0.0201
-AL_safe,LightGBM,109,171,0.8701,0.8763,0.7942,0.8915,0.787,0.9884,0.4173,0.2675,0.18,"{'n_estimators': 100, 'num_leaves': 31, 'learning_rate': 0.05}",0.021,0.0402,0.1374,0.0193
-AL_high_miss,XGBoost,280,0,0.8876,0.8985,0.8474,0.9168,0.8387,0.9674,0.56,0.4904,0.31,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.0,0.0,0.0,0.0
-AL_high_miss,LightGBM,280,0,0.8859,0.8973,0.8344,0.9108,0.8384,0.9651,0.5547,0.4904,0.26,"{'n_estimators': 300, 'num_leaves': 63, 'learning_rate': 0.05}",0.0,0.0,0.0,0.0
-AL_miss_leak,XGBoost,280,0,0.8876,0.8985,0.8474,0.9168,0.8387,0.9674,0.56,0.4904,0.31,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.0,0.0,0.0,0.0
-AL_miss_leak,LightGBM,280,0,0.8859,0.8973,0.8344,0.9108,0.8384,0.9651,0.5547,0.4904,0.26,"{'n_estimators': 300, 'num_leaves': 63, 'learning_rate': 0.05}",0.0,0.0,0.0,0.0
-AL_low,XGBoost,269,11,0.8792,0.8901,0.8403,0.9254,0.8225,0.9698,0.5116,0.4268,0.28,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.0084,0.0071,0.0484,-0.0086
-AL_low,LightGBM,269,11,0.8822,0.8908,0.8383,0.9205,0.8123,0.986,0.5104,0.3758,0.13,"{'n_estimators': 300, 'num_leaves': 31, 'learning_rate': 0.05}",0.0065,-0.0039,0.0443,-0.0097
-AL_high,XGBoost,120,160,0.8744,0.8845,0.8039,0.8953,0.8065,0.9791,0.4736,0.3567,0.21,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1}",0.014,0.0435,0.0864,0.0215
-AL_high,LightGBM,120,160,0.8755,0.8833,0.7939,0.8789,0.8061,0.9767,0.4672,0.3567,0.21,"{'n_estimators': 100, 'num_leaves': 63, 'learning_rate': 0.05}",0.014,0.0405,0.0875,0.0319
-AL_all,XGBoost,109,171,0.872,0.871,0.7883,0.8967,0.7829,0.9814,0.3815,0.2548,0.18,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.0275,0.0591,0.1785,0.0201
-AL_all,LightGBM,109,171,0.8701,0.8763,0.7942,0.8915,0.787,0.9884,0.4173,0.2675,0.18,"{'n_estimators': 100, 'num_leaves': 31, 'learning_rate': 0.05}",0.021,0.0402,0.1374,0.0193
