panel,senaryo,n_kaldirildi,n_kalan,f1,auc_roc,auc_pr,precision,recall,mcc,elapsed_sec,best_params
General,Baseline (tum ozellikler),0,952,0.9465478841870824,0.9674118406383853,0.9825175945767262,0.9219088937093276,0.9725400457665904,0.8192080285317811,25.6,"{'n_estimators': 100, 'num_leaves': 127, 'learning_rate': 0.1}"
General,Tum sekans kaldirildi,931,21,0.9409141583054627,0.956298773690078,0.9763066370545588,0.9173913043478261,0.965675057208238,0.7999418700704107,13.8,"{'n_estimators': 100, 'num_leaves': 127, 'learning_rate': 0.05}"
General,Tum OHE kaldirildi,48,904,0.9467849223946785,0.9677404212873321,0.9844676985507155,0.9182795698924732,0.977116704805492,0.819437921305581,22.3,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.05}"
General,Tum k-mer kaldirildi,883,69,0.9411764705882353,0.9618259696062901,0.9795466487194304,0.9137931034482759,0.9702517162471396,0.799974125686057,14.1,"{'n_estimators': 100, 'num_leaves': 63, 'learning_rate': 0.05}"
General,OHE-ref_base kaldirildi,4,948,0.9446327683615819,0.9680690019362789,0.9848563073042597,0.9330357142857143,0.9565217391304348,0.8161127429100701,23.5,"{'n_estimators': 100, 'num_leaves': 127, 'learning_rate': 0.1}"
General,OHE-alt_base kaldirildi,4,948,0.9474860335195531,0.9703573314557297,0.9859252330716552,0.925764192139738,0.9702517162471396,0.8230101763606895,23.6,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
General,OHE-ref_amino kaldirildi,20,932,0.9472502805836139,0.9681159420289855,0.9846132618166301,0.9295154185022027,0.965675057208238,0.8231195220549288,22.6,"{'n_estimators': 100, 'num_leaves': 63, 'learning_rate': 0.1}"
General,OHE-alt_amino kaldirildi,20,932,0.9451287793952967,0.9705450918265565,0.9860102698119507,0.9254385964912281,0.965675057208238,0.8153972856752024,22.9,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.05}"
General,kmer-DNA_Ref kaldirildi,16,936,0.9454949944382648,0.9708384674059731,0.9866004987891638,0.9199134199134199,0.9725400457665904,0.8153825755625825,21.5,"{'n_estimators': 100, 'num_leaves': 127, 'learning_rate': 0.1}"
General,kmer-DNA_Alt kaldirildi,16,936,0.9465478841870824,0.9682802323534588,0.984509389436676,0.9219088937093276,0.9725400457665904,0.8192080285317811,22.5,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
General,kmer-Prot_Ref kaldirildi,429,523,0.9496080627099664,0.9663322185061315,0.9825310500993121,0.9298245614035088,0.9702517162471396,0.8306817525320872,20.2,"{'n_estimators': 200, 'num_leaves': 63, 'learning_rate': 0.1}"
General,kmer-Prot_Alt kaldirildi,422,530,0.9470124013528749,0.9689256586281757,0.984813190380649,0.9333333333333333,0.9610983981693364,0.8234274381346027,19.3,"{'n_estimators': 200, 'num_leaves': 63, 'learning_rate': 0.1}"
