col,n,mean,std,mn,mx,q50,miss,nuniq,is_bin,prev,in01,has_neg,skew,group
AL_1,294,0.028382451081754176,0.08844625074446491,1.3977234981272202e-25,0.8869883592984639,0.00234042147142885,0.8996929375639714,293,False,,True,False,6.165840707026854,OTHER
AL_2,294,0.029688850177169046,0.09544671221979815,9.488665652054113e-34,0.8528915348856843,0.0020562537638965,0.8996929375639714,293,False,,True,False,5.832835796724256,OTHER
AL_3,294,0.02699970757049901,0.09132589012806419,4.286442651606056e-22,0.8961300038903997,0.0017114691226960501,0.8996929375639714,293,False,,True,False,6.8620435800110595,OTHER
AL_4,294,0.030877051961666943,0.10562142191533976,3.066092221493814e-30,0.9289024073858438,0.000903897864541,0.8996929375639714,292,False,,True,False,5.78486326248758,FREQ
AL_5,294,0.02833292392363696,0.09413189633813139,7.127329691707833e-26,0.9000006422530119,0.00180000024433845,0.8996929375639714,292,False,,True,False,6.572543675751498,OTHER
AL_6,294,0.03148367233142941,0.09826032439811394,6.573088488942498e-26,0.9103147214978689,0.0009000233967170501,0.8996929375639714,292,False,,True,False,5.645196651281608,FREQ
AL_7,1787,0.011227938442276274,0.0415784342843689,1.0865462854115078e-21,0.902717629203011,0.0002808651286854,0.3903104742408734,1783,False,,True,False,13.235387342776825,FREQ
AL_8,1787,0.012030349445753184,0.041317990454378145,1.1742215424164191e-38,0.8607012087665332,0.0002425643244312,0.3903104742408734,1787,False,,True,False,11.134373948358842,FREQ
AL_9,1787,0.011807337105385427,0.04088337043521962,5.220969683114304e-34,0.8977076487875717,0.0003322463907223,0.3903104742408734,1784,False,,True,False,13.700853647610288,FREQ
AL_10,1787,0.011976657138358354,0.04146036009170519,1.2165187947220853e-33,0.9000049023951877,0.0001547562065203,0.3903104742408734,1787,False,,True,False,12.633434743756865,FREQ
AL_11,1787,0.012094905271853439,0.04438939543480519,1.4752024015101162e-36,0.9026048285258764,0.0001803938240843,0.3903104742408734,1787,False,,True,False,12.655942125716745,FREQ
AL_12,1787,0.01209469215035252,0.04389779688313083,1.0066820797555104e-32,0.900000000073063,0.0001514201377354,0.3903104742408734,1787,False,,True,False,12.1164210096494,FREQ
AL_13,1787,0.011154802343828088,0.042201882498713886,2.3663504729191953e-30,0.9013632373840138,0.0002341650981002,0.3903104742408734,1786,False,,True,False,13.098994175737843,FREQ
AL_14,1787,0.010902462499414733,0.041147171401509156,1.6498587207405304e-28,0.8976612270086644,0.00026514,0.3903104742408734,1785,False,,True,False,13.098181123161652,FREQ
