,y_true,lgbm_ohe_pred,lgbm_ohe_error,xgb_ohe_pred,xgb_ohe_error,svm_ohe_pred,svm_ohe_error,lgbm_le_pred,lgbm_le_error,xgb_le_pred,xgb_le_error,svm_le_pred,svm_le_error,catboost_pred,catboost_error,difficulty_score
2081,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1059,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1693,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1737,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1376,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
352,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1814,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2512,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,4
99,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1102,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7
722,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2561,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
149,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1468,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,4
2499,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1409,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
470,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2639,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1607,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1699,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
987,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
802,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
897,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2887,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2090,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2484,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2460,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3
903,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
577,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
814,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
116,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2448,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
894,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
