Senaryo,Seed,MCC,F1,AUC,Boot_mean,Boot_std,Precision,Recall,Threshold,Train_F1,TN,FP,FN,TP
S1_Baseline,42,0.48330861965293165,0.9117647058823529,0.8299884417358412,0.49481457955042857,0.030151247129443212,0.9147540983606557,0.9087947882736156,0.09,0.9423885618166526,36,26,28,279
S1_Baseline,123,0.4895693358167987,0.9135399673735726,0.8247346852999894,0.4937704817893496,0.028583727452618942,0.9150326797385621,0.9120521172638436,0.09,0.9418947368421052,36,26,27,280
S1_Baseline,456,0.47230339914390335,0.9060955518945635,0.8352947357360513,0.49781279254309213,0.03228419979749056,0.9166666666666666,0.8957654723127035,0.1,0.9333899024183284,37,25,32,275
S1_Baseline,789,0.4765682462961017,0.9120521172638436,0.827834401597142,0.4853988467672677,0.02882268640680669,0.9120521172638436,0.9120521172638436,0.1,0.9356204997882254,35,27,27,280
S1_Baseline,1024,0.4908932609342074,0.9093904448105437,0.8277818640327834,0.5125155259588111,0.030940213823337268,0.92,0.8990228013029316,0.1,0.9382402707275804,38,24,31,276
S1_Baseline,2048,0.47030605101018763,0.9102773246329527,0.8339812966270883,0.48534061569016873,0.03028707574239211,0.9117647058823529,0.9087947882736156,0.1,0.9405063291139241,35,27,28,279
S1_Baseline,3141,0.4840296683942812,0.909688013136289,0.8122307449826626,0.501232768793257,0.03120661486847963,0.9172185430463576,0.9022801302931596,0.1,0.9389651531151003,37,25,30,277
S1_Baseline,4242,0.43911386500371624,0.9034369885433715,0.8286750026268782,0.4707829980733792,0.030408198161253265,0.9078947368421053,0.8990228013029316,0.1,0.9385427666314677,34,28,31,276
S1_Baseline,5555,0.4522285375585967,0.9049180327868852,0.8193758537354208,0.4820668251532203,0.03005181897999469,0.9108910891089109,0.8990228013029316,0.1,0.9334750265674814,35,27,31,276
S1_Baseline,9999,0.4571818850478092,0.9087947882736156,0.8172743511610802,0.4773317454206747,0.028939798781652766,0.9087947882736156,0.9087947882736156,0.09,0.941027801179444,34,28,28,279
S2_FE,42,0.493493942507014,0.9051580698835274,0.8412840180729221,0.522076359774679,0.036036418102981804,0.9251700680272109,0.8859934853420195,0.1,0.93536766264039,40,22,35,272
S2_FE,123,0.5220571790289199,0.9141914191419142,0.8345066722706734,0.5298613137562717,0.03263141001629051,0.9264214046822743,0.9022801302931596,0.1,0.9368911478187208,40,22,30,277
S2_FE,456,0.493493942507014,0.9051580698835274,0.8435956709046969,0.5214959676178164,0.03583090883170388,0.9251700680272109,0.8859934853420195,0.1,0.9351969504447268,40,22,35,272
S2_FE,789,0.46416511593331683,0.9084967320261438,0.8361353367657876,0.48694090858936934,0.03110654621166113,0.9114754098360656,0.9055374592833876,0.1,0.9385427666314677,35,27,29,278
S2_FE,1024,0.4850823039690981,0.9075907590759076,0.8363454870232215,0.5101638179800222,0.03280554415058978,0.919732441471572,0.8957654723127035,0.1,0.9398099260823654,38,24,32,275
S2_FE,2048,0.49680865398133306,0.9111842105263158,0.847483450667227,0.5078749044271795,0.03308237346633152,0.920265780730897,0.9022801302931596,0.1,0.9395859738065061,38,24,30,277
S2_FE,3141,0.5046300337208933,0.9087893864013267,0.8200588420720815,0.5303748514790532,0.034119070449426386,0.9256756756756757,0.8925081433224755,0.1,0.9387410223912125,40,22,33,274
S2_FE,4242,0.5103393175590318,0.9105960264900662,0.8355574235578439,0.5268409055930064,0.034734494296673864,0.9259259259259259,0.8957654723127035,0.1,0.939662447257384,40,22,32,275
S2_FE,5555,0.503569741499009,0.9108910891089109,0.8297782914784071,0.5230195211901887,0.0317916175161631,0.9230769230769231,0.8990228013029316,0.1,0.9357097390197326,39,23,31,276
S2_FE,9999,0.5046300337208933,0.9087893864013267,0.826520962488179,0.5244156833928334,0.03651978026883904,0.9256756756756757,0.8925081433224755,0.1,0.9351420093259856,40,22,33,274
S3_HyperEns,42,0.4881865819914829,0.88,0.8403908794788272,0.5676299385998762,0.05039386094830094,0.9440298507462687,0.8241042345276873,0.05,0.8904624917017039,47,15,54,253
S3_HyperEns,123,0.4959662156687754,0.8795811518324608,0.8267311127456131,0.5810154185208369,0.04740959290928987,0.9473684210526315,0.8208469055374593,0.05,0.8852823477100934,48,14,55,252
S3_HyperEns,456,0.4595774663834058,0.8706293706293706,0.8272039508248398,0.5471608582379995,0.04712029058668927,0.939622641509434,0.8110749185667753,0.05,0.8894795127353267,46,16,58,249
S3_HyperEns,789,0.4474906196291026,0.8691099476439791,0.8304612798150678,0.5326010309369702,0.04733051882598774,0.9360902255639098,0.8110749185667753,0.05,0.8860253277049545,45,17,58,249
S3_HyperEns,1024,0.4474906196291026,0.8691099476439791,0.8329830829042765,0.5374160620946485,0.045123171029377365,0.9360902255639098,0.8110749185667753,0.05,0.8870144284128746,45,17,58,249
S3_HyperEns,2048,0.4636491516423269,0.8726003490401396,0.8270463381317642,0.5478181016059632,0.047444252667866095,0.9398496240601504,0.8143322475570033,0.05,0.8850344674227263,46,16,57,250
S3_HyperEns,3141,0.455550036239544,0.8686514886164624,0.8303562046863507,0.5436244357520592,0.04912330106136595,0.9393939393939394,0.8078175895765473,0.05,0.8884947905120816,46,16,59,248
S3_HyperEns,4242,0.44352640482802363,0.8715277777777778,0.8199012293790061,0.5272962132597375,0.04633022938998902,0.9330855018587361,0.8175895765472313,0.05,0.8857777777777778,44,18,56,251
S3_HyperEns,5555,0.45965299069826704,0.8661971830985915,0.831512031102238,0.5587441316482722,0.0499120145768687,0.9425287356321839,0.8013029315960912,0.05,0.8857777777777778,47,15,61,246
S3_HyperEns,9999,0.41645100155401116,0.8530973451327434,0.8255227487653672,0.5186156406743803,0.05346630544564991,0.9341085271317829,0.7850162866449512,0.05,0.8880017742293191,45,17,66,241
S4_FE_HyperEns,42,0.47161444405418385,0.87215411558669,0.846170011558264,0.559266709845269,0.05197200359095502,0.9431818181818182,0.8110749185667753,0.05,0.8924232383476917,47,15,58,249
S4_FE_HyperEns,123,0.45965299069826704,0.8661971830985915,0.8407061048649784,0.5555648662171635,0.04542900240888333,0.9425287356321839,0.8013029315960912,0.05,0.8899712198361744,47,15,61,246
S4_FE_HyperEns,456,0.4316494076478679,0.8611599297012302,0.8314594935378795,0.5266102089583719,0.056009552965713034,0.9351145038167938,0.7980456026058632,0.05,0.8914437320362592,45,17,62,245
S4_FE_HyperEns,789,0.47161444405418385,0.87215411558669,0.8380266890826941,0.5581293862121995,0.0485351875079704,0.9431818181818182,0.8110749185667753,0.05,0.8911985846970367,47,15,58,249
S4_FE_HyperEns,1024,0.4640424513196718,0.8769497400346621,0.838026689082694,0.5365000512481254,0.04890741552114759,0.937037037037037,0.8241042345276873,0.05,0.8882483370288249,45,17,54,253
S4_FE_HyperEns,2048,0.455550036239544,0.8686514886164624,0.8300935168645581,0.5400302350598782,0.05152617524426251,0.9393939393939394,0.8078175895765473,0.05,0.8929123426805035,46,16,59,248
S4_FE_HyperEns,3141,0.4795719725125946,0.8717047451669596,0.8363980245875802,0.5724660958649078,0.05028006913140915,0.9465648854961832,0.8078175895765473,0.05,0.8963240149680828,48,14,59,248
S4_FE_HyperEns,4242,0.4277920057132646,0.8591549295774648,0.8252600609435746,0.5229329831289887,0.050309993320956904,0.9348659003831418,0.7947882736156352,0.05,0.8892334957908729,45,17,63,244
S4_FE_HyperEns,5555,0.4595774663834058,0.8706293706293706,0.8319323316171062,0.5475397757766004,0.05143696090003213,0.939622641509434,0.8110749185667753,0.05,0.8911985846970367,46,16,58,249
S4_FE_HyperEns,9999,0.41645100155401116,0.8530973451327434,0.837396238310392,0.516943825676009,0.0583750331313404,0.9341085271317829,0.7850162866449512,0.05,0.8926678445229682,45,17,66,241
S5_MASTER_PAH_FE,42,0.5486468166035493,0.9255663430420712,0.8359865940511102,0.5325909645909647,0.0412828620728296,0.9225806451612903,0.9285714285714286,0.1,0.9291850475969352,19,12,11,143
S5_MASTER_PAH_FE,123,0.5374251661359318,0.9260450160771704,0.8395475492249685,0.5234865900383141,0.0337639208144102,0.9171974522292994,0.935064935064935,0.09,0.9421487603305785,18,13,10,144
S5_MASTER_PAH_FE,456,0.5265065499229467,0.9265175718849841,0.8447842480100546,0.5057259624156177,0.0333752218975057,0.9119496855345912,0.9415584415584416,0.1,0.9339491916859123,17,14,9,145
S5_MASTER_PAH_FE,789,0.5265065499229467,0.9265175718849841,0.8385002094679513,0.510935960591133,0.02929451353167109,0.9119496855345912,0.9415584415584416,0.1,0.9334257975034674,17,14,9,145
S5_MASTER_PAH_FE,1024,0.5159528192472438,0.926984126984127,0.8341013824884793,0.49818613274008156,0.02796399865314758,0.906832298136646,0.948051948051948,0.1,0.9323447636700649,16,15,8,146
S5_MASTER_PAH_FE,2048,0.5114276116343661,0.9230769230769231,0.8393380812735651,0.502474730888524,0.037800189532202016,0.9113924050632911,0.935064935064935,0.1,0.9337962962962963,17,14,10,144
S5_MASTER_PAH_FE,3141,0.5000117824334407,0.9235668789808917,0.8468789275240888,0.4880134541024419,0.03568031129086414,0.90625,0.9415584415584416,0.1,0.9348729792147806,16,15,9,145
S5_MASTER_PAH_FE,4242,0.5093819573882082,0.919093851132686,0.8376623376623377,0.519186560565871,0.03697997784810898,0.9161290322580645,0.922077922077922,0.11,0.9283387622149837,18,13,12,142
S5_MASTER_PAH_FE,5555,0.5629051657693038,0.9290322580645162,0.8326351068286553,0.539021571021571,0.04119400574681585,0.9230769230769231,0.935064935064935,0.1,0.9345664739884393,19,12,10,144
S5_MASTER_PAH_FE,9999,0.5778084544117837,0.932475884244373,0.8447842480100546,0.5445567765567766,0.03683077142954607,0.9235668789808917,0.9415584415584416,0.1,0.9329014345210551,19,12,9,145
S6_Sweep_FE,42,0.49901597757934946,0.9069767441860465,0.8409162551224126,0.523259352971958,0.035991442727192895,0.9254237288135593,0.8892508143322475,0.1,0.9370777027027027,40,22,34,273
S6_Sweep_FE,123,0.5146663458267388,0.9042016806722689,0.840443417043186,0.5472863105940944,0.03742250703920118,0.9340277777777778,0.8762214983713354,0.12,0.928129665173811,43,19,38,269
S6_Sweep_FE,456,0.4628717636452714,0.8877551020408163,0.8421246191026585,0.5239434606405005,0.04082466998073054,0.9288256227758007,0.8501628664495114,0.13,0.9172413793103448,42,20,46,261
S6_Sweep_FE,789,0.47232684479409703,0.8915254237288136,0.8353472733004098,0.5304162004610662,0.03535597635387366,0.9293286219081273,0.8566775244299675,0.14,0.916504854368932,42,20,44,263
S6_Sweep_FE,1024,0.48475165442607576,0.8993288590604027,0.8307765052012189,0.5266425991673266,0.03766229325669152,0.9273356401384083,0.8729641693811075,0.14,0.9174034936381281,41,21,39,268
S6_Sweep_FE,2048,0.47230339914390335,0.9060955518945635,0.8478512136177366,0.4954892296423927,0.03379743768564968,0.9166666666666666,0.8957654723127035,0.1,0.9407797681770285,37,25,32,275
S6_Sweep_FE,3141,0.4920491846744861,0.9072847682119205,0.8145949353787958,0.5178114048522166,0.03245277262929986,0.9225589225589226,0.8925081433224755,0.1,0.9348837209302325,39,23,33,274
S6_Sweep_FE,4242,0.5043687852252661,0.9005059021922428,0.8334033834191447,0.5478928010303721,0.037607877832544385,0.9335664335664335,0.8697068403908795,0.14,0.92,43,19,40,267
S6_Sweep_FE,5555,0.4850823039690981,0.9075907590759076,0.8267836503099716,0.5101846836847946,0.03235019500866027,0.919732441471572,0.8957654723127035,0.1,0.9372225745085606,38,24,32,275
S6_Sweep_FE,9999,0.5059842812080617,0.9066666666666666,0.8229484081117999,0.532794104875993,0.034532155320628755,0.9283276450511946,0.8859934853420195,0.1,0.9344054168429962,41,21,35,272
