experiment,loo_mcc,f1,precision,recall,auc,thr,boot_mean,boot_std,boot_lo,boot_hi,TN,FP,FN,TP,n_features
E1a_GroupA_FCS,0.4913,0.8205,0.9697,0.7111,0.9011,0.206,0.6423,0.1106,0.4444,0.8333,19,2,26,64,431
E1b_GroupB_EKCombo,0.4808,0.8129,0.9692,0.7,0.9175,0.209,0.6343,0.1286,0.4444,0.8333,19,2,27,63,433
E1c_GroupD_AAphyschem,0.5381,0.8333,0.9848,0.7222,0.9254,0.2118,0.7139,0.1256,0.5,0.9091,20,1,25,65,432
E1d_GroupE_AAsubst,0.5602,0.8481,0.9853,0.7444,0.9317,0.1894,0.724,0.1339,0.5,0.9091,20,1,23,67,432
E1e_All_ABDE,0.6074,0.8608,1.0,0.7556,0.928,0.2252,0.8367,0.1136,0.6116,1.0,21,0,22,68,444
E1f_NoFE,0.5243,0.8428,0.971,0.7444,0.8952,0.1752,0.6754,0.1269,0.4444,0.8333,19,2,23,67,428
E2a_NoFE,0.5243,0.8428,0.971,0.7444,0.8952,0.1752,0.6754,0.1269,0.4444,0.8333,19,2,23,67,428
E2b_NB16_FE,0.6081,0.8765,0.9861,0.7889,0.9376,0.1596,0.7644,0.1198,0.5,0.9091,20,1,19,71,430
E2c_Full_CFTR_FE,0.6074,0.8608,1.0,0.7556,0.928,0.2252,0.8367,0.1136,0.6116,1.0,21,0,22,68,444
E2d_Best2_Groups,0.502,0.828,0.9701,0.7222,0.9349,0.193,0.6438,0.1169,0.4444,0.8333,19,2,25,65,436
