feature,importance
EK_9,179
EK_7,164
AA_2,156
EK_2,150
EK_8,131
EK_1,126
CAT_1,122
AL_26,119
EK_5,118
fe_grantham,116
AA_1,107
AL_12,107
EK_3,105
EK_4,98
AL_13,89
fe_blosum62,89
AL_20,86
AL_8,82
EK_6,81
AL_14,80
AL_10,77
AL_327,76
AL_311,75
AL_15,73
AL_9,67
AL_296,65
AL_7,63
AL_323,62
AL_11,59
AL_22,53
AL_23,51
AL_298,50
AL_186,49
AL_43,49
AL_82,49
AL_315,45
AL_46,44
AL_136,43
AL_73,43
AL_52,41
AL_40,41
AL_91,41
AL_16,40
AL_19,40
AL_25,38
AL_2,38
AL_17,37
AL_64,37
AL_115,37
AL_18,35
AL_184,35
AL_121,33
AL_139,31
AL_79,31
AL_331,31
AL_302,31
AL_67,31
AL_319,31
AL_175,31
AL_306,31
AL_172,30
AL_70,29
AL_55,29
AL_24,29
AL_178,28
AL_88,28
AL_305,27
AL_21,26
AL_49,26
AL_112,25
AL_287,25
AL_133,25
AL_255,24
AL_127,24
AL_148,24
AL_5,23
AL_163,22
AL_58,22
AL_318,22
AL_142,22
is_missing_AL_1,21
AL_224,21
AL_215,21
AL_207,21
AL_251,21
AL_313,20
AL_109,20
AL_300,20
AL_76,20
AL_226,20
AL_283,20
AL_94,19
AL_262,19
AL_333,19
AL_247,18
AL_260,18
AL_124,17
CAT_3,17
AL_169,17
AL_266,17
AL_219,17
AL_243,16
AL_130,16
AL_230,16
AL_103,16
AL_301,16
AL_69,16
AL_166,16
AL_154,16
AL_291,15
AL_194,15
AL_66,15
AL_97,15
AL_151,15
AL_157,15
AL_279,14
is_missing_AL_16,14
AL_118,14
AL_106,13
AL_330,13
AL_61,13
AL_6,13
CAT_2,13
AL_100,13
AL_329,13
AL_145,12
AL_199,12
AL_304,12
AL_160,12
AL_181,12
AL_218,12
AL_1,12
AL_63,12
AL_239,12
AL_3,11
AL_271,11
AL_211,11
AL_238,10
AL_334,10
AL_188,10
AL_45,10
AL_190,9
AL_275,9
AL_60,9
AL_310,8
AL_317,8
CAT_4,8
AL_83,8
AL_59,7
CAT_6,7
AL_129,7
AL_48,7
AL_235,7
AL_42,7
AL_206,7
AL_123,7
AL_168,7
AL_326,7
AL_150,7
AL_68,6
AL_117,6
AL_241,6
AL_105,6
AL_96,6
AL_85,6
AL_203,6
AL_202,6
AL_297,6
AL_295,6
AL_57,6
AL_81,6
AL_51,5
AL_4,5
AL_321,5
AL_162,5
AL_277,5
AL_90,5
is_missing_CAT_6,5
AL_177,5
AL_325,5
AL_294,5
AL_87,5
AL_74,4
AL_242,4
AL_141,4
AL_36,4
AL_213,4
AL_72,4
AL_289,4
AL_171,4
AL_174,3
AL_274,3
AL_273,3
AL_254,3
AL_192,3
AL_54,3
is_missing_AL_187,3
AL_153,3
AL_144,3
AL_77,3
AL_156,3
AL_259,2
is_missing_AL_214,2
AL_281,2
AL_253,2
AL_261,2
is_missing_AL_183,2
is_missing_AL_18,2
is_missing_AL_2,2
AL_278,2
AL_258,2
AL_198,2
AL_86,2
AL_114,2
AL_120,2
AL_126,2
AL_50,2
AL_138,2
AL_147,2
AL_39,2
AL_193,2
AL_38,2
AL_99,2
AL_33,2
AL_209,2
AL_234,2
AL_245,2
AL_237,2
AL_84,2
AL_270,1
AL_232,1
AL_102,1
AL_183,1
AL_322,1
AL_27,1
AL_159,1
AL_308,1
AL_30,1
AL_132,1
AL_314,1
AL_246,1
AL_257,1
AL_249,1
AL_264,1
AL_78,1
AL_32,1
AL_98,1
AL_223,1
AL_89,1
AL_221,1
is_missing_AL_286,1
AL_250,1
AL_214,1
AL_93,1
AL_111,1
AL_286,1
AL_53,1
AL_34,1
AL_205,1
AL_290,1
AL_201,1
is_missing_AL_222,0
is_missing_AL_221,0
AL_252,0
is_missing_AL_223,0
is_missing_AL_224,0
is_missing_AL_218,0
is_missing_AL_225,0
is_missing_AL_226,0
is_missing_AL_228,0
is_missing_AL_229,0
is_missing_AL_230,0
is_missing_AL_232,0
is_missing_AL_234,0
is_missing_AL_235,0
is_missing_AL_237,0
is_missing_AL_219,0
is_missing_AL_213,0
is_missing_AL_217,0
is_missing_AL_202,0
is_missing_AL_190,0
is_missing_AL_192,0
is_missing_AL_193,0
is_missing_AL_194,0
is_missing_AL_196,0
is_missing_AL_198,0
is_missing_AL_199,0
is_missing_AL_200,0
is_missing_AL_201,0
is_missing_AL_203,0
is_missing_AL_216,0
is_missing_AL_205,0
is_missing_AL_206,0
is_missing_AL_207,0
is_missing_AL_209,0
is_missing_AL_210,0
is_missing_AL_211,0
is_missing_AL_239,0
AL_28,0
is_missing_AL_215,0
is_missing_AL_238,0
is_missing_AL_260,0
is_missing_AL_241,0
is_missing_AL_281,0
is_missing_AL_270,0
is_missing_AL_271,0
is_missing_AL_273,0
is_missing_AL_274,0
is_missing_AL_275,0
is_missing_AL_277,0
is_missing_AL_278,0
is_missing_AL_279,0
is_missing_AL_282,0
is_missing_AL_242,0
is_missing_AL_283,0
is_missing_AL_285,0
is_missing_AL_287,0
is_missing_AL_288,0
is_missing_AL_289,0
is_missing_AL_290,0
is_missing_AL_291,0
is_missing_AL_293,0
is_missing_AL_268,0
is_missing_AL_266,0
is_missing_AL_265,0
is_missing_AL_264,0
is_missing_AL_243,0
is_missing_AL_245,0
is_missing_AL_246,0
is_missing_AL_247,0
is_missing_AL_249,0
is_missing_AL_250,0
is_missing_AL_251,0
is_missing_AL_252,0
is_missing_AL_253,0
is_missing_AL_254,0
is_missing_AL_255,0
is_missing_AL_257,0
is_missing_AL_258,0
is_missing_AL_259,0
is_missing_AL_188,0
is_missing_AL_261,0
is_missing_AL_262,0
is_missing_AL_189,0
is_missing_AL_77,0
AL_29,0
AL_47,0
AL_95,0
AL_328,0
AL_92,0
AL_75,0
AL_71,0
AL_65,0
AL_62,0
AL_56,0
AL_44,0
is_missing_AL_19,0
AL_41,0
AL_37,0
AL_35,0
is_missing_AL_3,0
is_missing_AL_4,0
is_missing_AL_5,0
is_missing_AL_6,0
is_missing_AL_17,0
AL_108,0
AL_135,0
AL_165,0
AL_180,0
AL_265,0
AL_229,0
AL_268,0
AL_228,0
AL_225,0
AL_222,0
AL_217,0
AL_216,0
AL_282,0
AL_210,0
AL_285,0
AL_288,0
AL_293,0
AL_200,0
AL_196,0
AL_189,0
AL_187,0
AL_31,0
is_missing_AL_20,0
is_missing_AL_184,0
is_missing_AL_90,0
is_missing_AL_82,0
is_missing_AL_83,0
is_missing_AL_84,0
is_missing_AL_85,0
is_missing_AL_86,0
is_missing_AL_87,0
is_missing_AL_88,0
is_missing_AL_89,0
is_missing_AL_91,0
is_missing_AL_21,0
is_missing_AL_92,0
is_missing_AL_93,0
is_missing_AL_94,0
is_missing_AL_95,0
is_missing_CAT_2,0
