panel,method,threshold,train_f1,train_mcc,f1_5050,f1_boot_8020,f1_boot_std,mcc,precision,recall,tn,fp,fn,tp,overfit_gap
PAH,Baseline_BalancedBagging_M3,0.68,0.9014,0.7422,0.8968,0.5792,0.0446,0.5174,0.9431,0.8548,46,16,45,265,0.0047
PAH,D1_NoiseAware_Weight,0.92,0.9254,0.7908,0.849,0.5579,0.0563,0.4356,0.9447,0.771,48,14,71,239,0.0764
PAH,D2_NoiseRemoval,0.92,0.8401,0.5417,0.8829,0.535,0.0446,0.4581,0.9319,0.8387,43,19,50,260,-0.0428
PAH,D3_RF_Top50,0.82,0.8466,0.6527,0.7339,0.6463,0.0914,0.3895,0.9785,0.5871,58,4,128,182,0.1127
PAH,D3_LGBM_Top50,0.68,0.9767,0.9217,0.9037,0.5411,0.0425,0.5033,0.9315,0.8774,42,20,38,272,0.0731
PAH,D3_RF_Top100,0.8,0.872,0.6915,0.7349,0.6234,0.0889,0.3799,0.9734,0.5903,57,5,127,183,0.1371
PAH,D3_LGBM_Top100,0.78,0.9696,0.9005,0.8941,0.542,0.0442,0.4857,0.9333,0.8581,43,19,44,266,0.0755
PAH,D3_RF_Top150,0.8,0.8694,0.6875,0.7236,0.6267,0.0932,0.38,0.978,0.5742,58,4,132,178,0.1459
PAH,D3_LGBM_Top150,0.72,0.979,0.9288,0.9058,0.5341,0.044,0.5015,0.9288,0.8839,41,21,36,274,0.0732
PAH,D4_GHOST_Threshold,0.68,0.9014,0.7422,0.8968,0.5792,0.0446,0.5174,0.9431,0.8548,46,16,45,265,0.0047
PAH,D5_PanelSpecific_Sentinel,0.46,0.9462,0.825,0.915,0.5303,0.0363,0.5229,0.9272,0.9032,40,22,30,280,0.0312
PAH,D6_Combined_NoiseFS_Sentinel,0.94,0.9071,0.7536,0.8037,0.5848,0.0724,0.4057,0.9556,0.6935,52,10,95,215,0.1034
PAH,D7_Combined_GHOST,0.7,0.9732,0.911,0.8933,0.5148,0.0404,0.4582,0.9241,0.8645,40,22,42,268,0.0798
CFTR,Baseline_LightGBM_M3,0.69,0.979,0.9269,0.8916,0.7248,0.1159,0.6128,0.9737,0.8222,19,2,16,74,0.0875
CFTR,D1_NoiseAware_Weight,0.85,0.9554,0.8582,0.8642,0.6965,0.1299,0.56,0.9722,0.7778,19,2,20,70,0.0912
CFTR,D3_FS_Top100,0.66,0.9798,0.9293,0.9048,0.7489,0.0847,0.642,0.9744,0.8444,19,2,14,76,0.075
