feature,importance
EK_7,0.046701233374189674
EK_9,0.02711481671427719
EK_2,0.023287724585141414
missing_count,0.02103117350253318
EK_4,0.017446259028099938
EK_3,0.013857080302783048
AL_327,0.013285175977535249
EK_6,0.013008055722536865
AL_26,0.011315217700743996
is_missing_AL_16,0.010542769282778941
EK_1,0.010447988550299481
EK_8,0.01030180888415441
CAT_1,0.009727224962623258
AA_2,0.009528321688029414
AL_14,0.009237394500805619
is_missing_AL_17,0.00915176559642578
is_missing_AL_23,0.009115359246298716
is_missing_AL_22,0.008833292280246326
is_missing_AL_25,0.00882566122423575
EK_5,0.008778455766868167
AL_7,0.008715451211389027
AL_296,0.008670398126755118
is_missing_AL_20,0.00858973507514978
is_missing_AL_19,0.008532669162718467
is_missing_AL_18,0.00846950087442492
AL_8,0.00827871259788999
AA_1,0.008111537934648513
is_missing_AL_6,0.008047837114275948
is_missing_AL_21,0.007992157350897052
AL_186,0.00789682896669321
AL_9,0.007866855588250687
is_missing_AL_24,0.0077546327497443664
AL_12,0.007624139722881141
AL_11,0.007521498117878542
AL_13,0.007436630743908554
is_missing_AL_2,0.007399853050501487
AL_323,0.007332698055186862
is_missing_AL_5,0.007313906040130115
is_missing_AL_3,0.007295768583531427
AL_306,0.007237304577366076
is_missing_AL_4,0.007234596182806863
AL_10,0.007157413993468399
AL_15,0.007102907746700457
AL_311,0.007069765900523958
AL_315,0.006878936531130389
AL_298,0.006803300749864063
AL_73,0.0067644713075058595
AL_331,0.006738751236854669
is_missing_AL_1,0.0065101946427896535
AL_319,0.006157711464215685
AL_302,0.006118869446233028
AL_287,0.005842450364812135
AL_16,0.00573171710222996
AL_64,0.005667403530934796
AL_43,0.0052720964156773385
CAT_3,0.005052636494971887
AL_40,0.005034809237883405
AL_17,0.005029533147672563
CAT_4,0.0050063783012136605
AL_49,0.004955338946497588
AL_52,0.004731039947671295
AL_24,0.004649374186385541
AL_23,0.004647230709822111
AL_67,0.004547416468289814
AL_224,0.004514818936095284
AL_175,0.0044794214618203935
AL_166,0.004455815642826067
AL_19,0.004446567454216337
AL_103,0.004438068692531813
AL_79,0.004432438726320825
AL_136,0.004428801258205586
AL_151,0.004397039928234181
AL_70,0.004362029177896825
AL_58,0.0042487841723576215
AL_304,0.0042480330984490545
AL_46,0.004195508172077629
AL_91,0.004147548707679794
AL_181,0.004146934679508299
AL_178,0.004139878799715973
AL_55,0.004086703091401963
AL_94,0.004080828950699611
AL_157,0.004062346918158532
AL_145,0.0038916283307260024
AL_215,0.0038868530445914894
AL_260,0.0038735412371423998
AL_22,0.003867902453802968
AL_251,0.0037971793461551925
AL_61,0.003779558750959703
AL_172,0.0037706823216540003
AL_112,0.0037671781740114866
AL_124,0.0037659590566517303
AL_127,0.0037636628499444504
AL_82,0.0037448811371645365
AL_109,0.00374289367022657
AL_20,0.0036781240193241743
AL_21,0.0036743929272506372
AL_160,0.003657736666648502
AL_115,0.003648092526441553
AL_100,0.0036359848420620274
AL_169,0.003616874475491695
AL_184,0.003593560297487623
AL_106,0.0035791131924909716
AL_163,0.0035145906575533305
is_missing_AL_37,0.0034849709098819133
AL_18,0.0034831355152268617
AL_142,0.0034576550643481948
AL_139,0.0034497923402377444
AL_154,0.0034334643505093904
AL_133,0.0034200194755987464
AL_130,0.0033888879030931412
AL_118,0.003335832686830972
AL_148,0.003325884235038902
AL_121,0.003168849660382965
AL_188,0.0031517917227986336
AL_25,0.0030857585055737518
AL_301,0.003050690007811809
is_missing_AL_28,0.002924112011007553
is_missing_AL_216,0.002908390205542901
is_missing_AL_214,0.00285181398012029
is_missing_AL_30,0.002803919600541192
AL_97,0.0027333708191734974
is_missing_AL_33,0.0027296159211699462
is_missing_AL_32,0.002695475161844238
AL_85,0.002673094546362761
is_missing_AL_27,0.0026730531244041882
is_missing_AL_36,0.00265916423581723
AL_45,0.002636216200305404
is_missing_AL_34,0.0026199978488241227
is_missing_AL_38,0.002604414841112267
AL_211,0.0025763065128143582
AL_76,0.0025507794693816347
AL_88,0.0025176902600146022
is_missing_AL_29,0.0024888141968568223
is_missing_AL_217,0.0024796896696616553
is_missing_AL_35,0.002409159936739987
is_missing_AL_31,0.0024010508691226346
AL_313,0.002382648091537791
AL_262,0.0023728927163004765
AL_266,0.002335536154038812
is_missing_AL_215,0.0023089504639475277
AL_317,0.00221276914457131
AL_226,0.002153734027738792
AL_207,0.002145718884152603
AL_243,0.0021452570954454894
