Deney,Boot_F1,Boot_std,AUPRC,Precision,Recall,MCC,FP,FN,Thr,Train_F1
E6_alpha_0.5,0.7200501387993649,0.041594080387599014,0.968587479865861,0.9312977099236641,0.9172932330827067,0.7605562177934038,9,11,0.77,0.9840573933838183
E6_alpha_0.3,0.7180718041894513,0.04051002854372026,0.9676849181982902,0.9307692307692308,0.9097744360902256,0.7499704842393221,9,12,0.77,0.9840573933838183
E6_alpha_0.4,0.7180718041894513,0.04051002854372026,0.9675570813868402,0.9307692307692308,0.9097744360902256,0.7499704842393221,9,12,0.77,0.9840573933838183
E6_alpha_0.6,0.7075737246789877,0.038399033705114494,0.9691166886200848,0.924812030075188,0.924812030075188,0.7581453634085213,10,10,0.77,0.9840573933838183
E6_alpha_0.7,0.689773221231501,0.03791407215123671,0.968932252162694,0.917910447761194,0.924812030075188,0.7449407272741416,11,10,0.77,0.9840573933838183
E0_nofe,0.651699709437059,0.0459610014467575,0.958708983837224,0.9037037037037037,0.9172932330827067,0.7073057123564509,13,11,0.81,0.9822319824316231
E4_C_saerens,0.6452005923741602,0.03597155064839025,0.9670138911583251,0.8985507246376812,0.9323308270676691,0.7167309791332392,14,9,0.25,0.9838548933625673
E3_OOB_only,0.6378028325974411,0.042524265664924454,0.9293480503199167,0.904,0.849624060150376,0.6294396319995363,12,20,0.5,0.9169960474308301
E3_OOF_only,0.6378028325974411,0.042524265664924454,0.9292690931580412,0.904,0.849624060150376,0.6294396319995363,12,20,0.5,0.905511811023622
E5_ensemble,0.6375775746280568,0.02993776022454699,0.965058131200614,0.8936170212765957,0.9473684210526315,0.7275326610776948,15,7,0.73,0.9840573933838183
E5_M3minus,0.6357593928098749,0.029022088215137916,0.9632691934105249,0.8928571428571429,0.9398496240601504,0.7154082185705342,15,8,0.73,0.9824351297405189
E3_OOB_OOF,0.6286380980848247,0.04558081411508375,0.9292383961861701,0.9024390243902439,0.8345864661654135,0.6109289079939859,12,22,0.61,0.9032258064516129
E4_A_raw,0.6164454407983472,0.03504226651022023,0.9670138911583251,0.8857142857142857,0.9323308270676691,0.6903266951946735,16,9,0.77,0.9840573933838183
E0_with_fe,0.6164454407983472,0.03504226651022023,0.9670138911583251,0.8857142857142857,0.9323308270676691,0.6903266951946735,16,9,0.77,0.9840573933838183
E5_M3plus,0.6164454407983472,0.03504226651022023,0.9670138911583251,0.8857142857142857,0.9323308270676691,0.6903266951946735,16,9,0.77,0.9840573933838183
E4_D_platt_saerens,0.6009350730374545,0.03332379616297064,0.9708675530739195,0.8758620689655172,0.9548872180451128,0.7012346051646519,18,6,0.15,0.9844621513944223
E4_B_platt,0.6009350730374545,0.03332379616297064,0.9708675530739195,0.8758620689655172,0.9548872180451128,0.7012346051646519,18,6,0.7,0.9840573933838183
E2_single_stack_lr,0.5973192851866991,0.03442378135449195,0.9658704277143974,0.875,0.9473684210526315,0.6884520066159542,18,7,0.54,0.9133858267716536
E2_multilayer_stack,0.5973192851866991,0.03442378135449195,0.96432943688053,0.875,0.9473684210526315,0.6884520066159542,18,7,0.54,0.9176470588235294
E1_nn_ft,0.5577053727442256,0.033900362862153886,0.8950386468208611,0.8601398601398601,0.924812030075188,0.6248669171454627,20,10,0.5,0.8727272727272727
E1_dnn_ft,0.5129065686235497,0.02788281801158246,0.8841669264512563,0.8300653594771242,0.9548872180451128,0.5955591743002595,26,6,0.5,0.8873239436619719
