experiment,exp_group,pool,model,boot_f1,boot_std,boot_lo,boot_hi,auprc,precision,recall,mcc,fp,fn,thr,train_f1,overfit_gap
E2_P9_REVERSE_6040_catboost_with_fe,E2,P9_REVERSE_6040_catboost_with,fe,0.7299697893382102,0.03345520893183659,0.6371428571428571,0.7692307692307693,0.968341026561965,0.9328358208955224,0.9398496240601504,0.7935375027900818,9,8,0.45,0.7337278106508875,0.0037580213126773288
E4_alpha_0.6,E4,-,E4_alpha_0.6,0.7253420700872119,0.07241654584447163,0.5714285714285714,0.8235294117647058,0.965861599324752,0.9519230769230769,0.7443609022556391,0.6137752124834231,5,34,0.77,0.7747747747747747,0.04943270468756289
E2_P9_REVERSE_6040_catboost_no_fe,E2,P9_REVERSE_6040_catboost_no,fe,0.7104382504506345,0.041621106089423134,0.6285714285714286,0.7692307692307693,0.9715533900036267,0.9296875,0.8947368421052632,0.7293611414074249,9,14,0.48,0.72,0.009561749549365506
E1_P9_REVERSE_6040_catboost,E1,P9_REVERSE_6040,catboost,0.7104382504506345,0.041621106089423134,0.6285714285714286,0.7692307692307693,0.9715533900036267,0.9296875,0.8947368421052632,0.7293611414074249,9,14,0.48,0.72,0.009561749549365506
E1_P3_COMBINED_RAW_lgbm,E1,P3_COMBINED_RAW,lgbm,0.7071977848293636,0.03262491674173762,0.6486486486486487,0.75,0.9552832984612705,0.9242424242424242,0.9172932330827067,0.7472630249244804,10,11,0.8,0.8392370572207084,0.13203927239134483
E1_P3_COMBINED_RAW_xgb,E1,P3_COMBINED_RAW,xgb,0.702955283218441,0.03708952680480552,0.6111111111111112,0.75,0.9556300638654942,0.9236641221374046,0.9097744360902256,0.7365831082010263,10,12,0.73,0.8290288153681964,0.12607353214975536
E1_P8_COMBINED_BAL_xgb,E1,P8_COMBINED_BAL,xgb,0.7007087589076754,0.05199705686445826,0.6060606060606061,0.7894736842105263,0.957735759979744,0.9338842975206612,0.849624060150376,0.685538486079396,8,20,0.62,0.7363245236631838,0.03561576475550843
E1_P8_COMBINED_BAL_lgbm,E1,P8_COMBINED_BAL,lgbm,0.7004650773319503,0.04522720473495343,0.5973109243697479,0.7692307692307693,0.9511847920847644,0.928,0.8721804511278195,0.6997416279346697,9,17,0.58,0.7473053892215569,0.04684031188960658
E1_P4_COMBINED_KANSER_xgb,E1,P4_COMBINED_KANSER,xgb,0.6981863008178796,0.03801697761062037,0.6195570570570571,0.75,0.9675697180047151,0.9230769230769231,0.9022556390977443,0.7260971041538546,10,13,0.72,0.8383980680217348,0.1402117672038552
E1_P1_BALANCED_625_catboost,E1,P1_BALANCED_625,catboost,0.6958106723184123,0.04857129242736814,0.6060606060606061,0.7894736842105263,0.9581613806650511,0.9327731092436975,0.8345864661654135,0.6675547947295585,8,22,0.59,0.7403598971722365,0.044549224853824176
E1_P8_COMBINED_BAL_catboost,E1,P8_COMBINED_BAL,catboost,0.6927326061033492,0.05955440995106478,0.5625,0.7894736842105263,0.960317119014299,0.9316239316239316,0.8195488721804511,0.6500732069511312,8,24,0.64,0.7154893065456902,0.022756700442341016
E1_P4_COMBINED_KANSER_catboost,E1,P4_COMBINED_KANSER,catboost,0.691083304241199,0.043258725865092953,0.5803571428571428,0.75,0.9579210241532673,0.9224806201550387,0.8947368421052632,0.7157969517103236,10,14,0.69,0.8081103678929766,0.11702706365177762
E4_alpha_0.7,E4,-,E4_alpha_0.7,0.6880914018622584,0.0794601838027625,0.5185185185185185,0.7878787878787878,0.964890238949379,0.9489795918367347,0.6992481203007519,0.5702262895215653,5,40,0.77,0.7747747747747747,0.08668337291251638
E2_P9_REVERSE_6040_xgb_with_fe,E2,P9_REVERSE_6040_xgb_with,fe,0.6875751402067191,0.044216942595247465,0.5803571428571428,0.75,0.9677550106300713,0.9212598425196851,0.8796992481203008,0.6957240116013534,10,16,0.41,0.7323943661971831,0.04481922599046406
E1_P1_BALANCED_625_xgb,E1,P1_BALANCED_625,xgb,0.6872188380052157,0.051968049669129025,0.5882352941176471,0.7692307692307693,0.9615590597856267,0.926829268292683,0.8571428571428571,0.6807803767397438,9,19,0.52,0.7605177993527508,0.07329896134753511
E4_alpha_0.3,E4,-,E4_alpha_0.3,0.682713149818413,0.04501911963359738,0.5714285714285714,0.75,0.9651608395139237,0.9193548387096774,0.8571428571428571,0.6668294398227909,10,19,0.77,0.7747747747747747,0.09206162495636172
E4_alpha_0.5,E4,-,E4_alpha_0.5,0.6808262272062584,0.05920253781408702,0.5625,0.7567567567567568,0.9669057955312998,0.9285714285714286,0.7819548872180451,0.6083328950954489,8,29,0.77,0.7747747747747747,0.09394854756851634
E1_P3_COMBINED_RAW_catboost,E1,P3_COMBINED_RAW,catboost,0.6800494310587188,0.05185526668996969,0.5882352941176471,0.7368421052631579,0.9621410368318705,0.9243697478991597,0.8270676691729323,0.6445315503795218,9,23,0.73,0.7778030475324085,0.09775361647368963
E1_P1_BALANCED_625_nn_ft,E1,P1_BALANCED_625,nn_ft,0.6694403697608371,0.08651841323840119,0.5384615384615384,0.8125,0.951369498589054,0.9545454545454546,0.631578947368421,0.5249844938344498,4,49,0.52,0.7747747747747747,0.10533440501393765
E1_P0_KANSER_ONLY_catboost,E1,P0_KANSER_ONLY,catboost,0.666639212674317,0.06638021474158122,0.5333333333333333,0.7699206349206349,0.9308871268051427,0.9333333333333333,0.7368421052631579,0.5763416725791243,7,35,0.86,0.8103448275862069,0.14370561491188982
E1_P9_REVERSE_6040_xgb,E1,P9_REVERSE_6040,xgb,0.6652348764577867,0.05414976884804804,0.5294117647058824,0.75,0.9594207237812873,0.9180327868852459,0.8421052631578947,0.6483032963513297,10,21,0.49,0.7225583405358686,0.057323464078081976
E2_P9_REVERSE_6040_xgb_no_fe,E2,P9_REVERSE_6040_xgb_no,fe,0.6652348764577867,0.05414976884804804,0.5294117647058824,0.75,0.9594207237812873,0.9180327868852459,0.8421052631578947,0.6483032963513297,10,21,0.49,0.7225583405358686,0.057323464078081976
E1_P9_REVERSE_6040_lgbm,E1,P9_REVERSE_6040,lgbm,0.660109020538587,0.05658634735714108,0.5388655462184874,0.75,0.9646053398743359,0.9180327868852459,0.8421052631578947,0.6483032963513297,10,21,0.41,0.7085811384876806,0.04847211794909356
E2_P9_REVERSE_6040_lgbm_no_fe,E2,P9_REVERSE_6040_lgbm_no,fe,0.660109020538587,0.05658634735714108,0.5388655462184874,0.75,0.9646053398743359,0.9180327868852459,0.8421052631578947,0.6483032963513297,10,21,0.41,0.7085811384876806,0.04847211794909356
E1_P2_KANSER_BAL625_xgb,E1,P2_KANSER_BAL625,xgb,0.6597671169508033,0.07187538243863191,0.5161290322580645,0.7821123755334282,0.9526747982680417,0.9279279279279279,0.7744360902255639,0.6002893999438736,8,30,0.73,0.7324364723467862,0.07266935539598296
E2_P9_REVERSE_6040_lgbm_with_fe,E2,P9_REVERSE_6040_lgbm_with,fe,0.6578103383056942,0.058324522773298804,0.4948752228163993,0.7427884615384615,0.9668504408380262,0.9173553719008265,0.8345864661654135,0.6392442496156719,10,22,0.49,0.7024647887323944,0.04465445042670013
E1_P1_BALANCED_625_lgbm,E1,P1_BALANCED_625,lgbm,0.657711424354688,0.0663286593072651,0.5333333333333333,0.7777777777777778,0.9509457115777153,0.9333333333333333,0.7368421052631579,0.5763416725791243,7,35,0.77,0.7167420814479638,0.05903065709327582
E1_P4_COMBINED_KANSER_lgbm,E1,P4_COMBINED_KANSER,lgbm,0.6540494573621508,0.06387012720278235,0.5,0.7368421052631579,0.9481174120542994,0.9196428571428571,0.7744360902255639,0.5856496940225312,9,30,0.89,0.7849347314359084,0.1308852740737576
E4_alpha_0.4,E4,-,E4_alpha_0.4,0.6519566618637826,0.05865767599754887,0.5294117647058824,0.7427884615384615,0.9659798995780757,0.9145299145299145,0.8045112781954887,0.6042499312237506,10,26,0.77,0.7747747747747747,0.1228181129109921
E1_P5_FINAL_8020_catboost,E1,P5_FINAL_8020,catboost,0.6495142283730218,0.050518520065108104,0.5405405405405406,0.7142857142857143,0.9512940334726463,0.9069767441860465,0.8796992481203008,0.668241422732667,12,16,0.23,0.5245901639344263,-0.1249240644385955
