experiment,boot_f1,boot_std,boot_lo,boot_hi,auprc,precision,recall,mcc,fp,fn,tp,tn,thr,train_f1,train_mcc,train_prec,train_rec
E1d_GroupDE_AAdelta,0.7575853206147323,0.04477832621395355,0.6666666666666666,0.8108108108108109,0.9621270582390891,0.9444444444444444,0.8947368421052632,0.756480156301082,7,14,119,53,0.49,0.7266553480475382,0.538361366661871,0.7121464226289518,0.7417677642980935
E3_RFE_10,0.7512551197814357,0.03135746675571987,0.6857142857142857,0.7894736842105263,0.965204028094835,0.9384615384615385,0.9172932330827067,0.7738438643247896,8,11,122,52,0.49,0.7218430034129693,0.5316760144423017,0.7109243697478992,0.733102253032929
E2_lgbm_v2_full,0.744710803240215,0.04725465119780292,0.634375,0.8108108108108109,0.971504558866847,0.9435483870967742,0.8796992481203008,0.7369009907587973,7,16,117,53,0.41,0.7195945945945946,0.5249978954212058,0.7018121911037891,0.7383015597920277
E3_RFE_18,0.7409732888214862,0.04921579984421306,0.6666666666666666,0.8108108108108109,0.9696477080267245,0.9435483870967742,0.8796992481203008,0.7369009907587973,7,16,117,53,0.51,0.7141615986099045,0.5243244764156697,0.7160278745644599,0.7123050259965338
E1h_All_minus_C,0.7409732888214862,0.04921579984421306,0.6666666666666666,0.8108108108108109,0.9696477080267245,0.9435483870967742,0.8796992481203008,0.7369009907587973,7,16,117,53,0.51,0.7141615986099045,0.5243244764156697,0.7160278745644599,0.7123050259965338
E2_catboost_v2_safe,0.7409732888214862,0.04921579984421306,0.6666666666666666,0.8108108108108109,0.9696477080267245,0.9435483870967742,0.8796992481203008,0.7369009907587973,7,16,117,53,0.51,0.7141615986099045,0.5243244764156697,0.7160278745644599,0.7123050259965338
E3_RFE_12,0.7329085354905789,0.04040735900780136,0.6557563025210085,0.7894736842105263,0.9679934662459015,0.937007874015748,0.8947368421052632,0.7429207547433785,8,14,119,52,0.49,0.7278911564625851,0.5409180157411204,0.7145242070116862,0.7417677642980935
E3_RFE_14,0.7325030410974683,0.04663971589098486,0.6470588235294118,0.7894736842105263,0.9651088120462509,0.937007874015748,0.8947368421052632,0.7429207547433785,8,14,119,52,0.49,0.729431721798134,0.5428262539820655,0.7142857142857143,0.7452339688041595
E1f_Baseline_F,0.7299697893382102,0.03345520893183659,0.6371428571428571,0.7692307692307693,0.968341026561965,0.9328358208955224,0.9398496240601504,0.7935375027900818,9,8,125,51,0.45,0.7337278106508875,0.5492053997432871,0.7161716171617162,0.7521663778162911
E2_catboost_nb32_fe,0.7299697893382102,0.03345520893183659,0.6371428571428571,0.7692307692307693,0.968341026561965,0.9328358208955224,0.9398496240601504,0.7935375027900818,9,8,125,51,0.45,0.7337278106508875,0.5492053997432871,0.7161716171617162,0.7521663778162911
E3_RFE_8,0.7262389997250678,0.04028383458693211,0.6285714285714286,0.7692307692307693,0.97155420868525,0.9312977099236641,0.9172932330827067,0.7605562177934038,9,11,122,51,0.48,0.7252559726962458,0.5374264283753138,0.7142857142857143,0.7365684575389948
E1a_GroupA_FCS,0.7200350147718568,0.026431060131463444,0.6566500711237554,0.75,0.9722251664044115,0.9259259259259259,0.9398496240601504,0.7805537909567701,10,8,125,50,0.44,0.7448389760528489,0.5626944556643235,0.7113564668769716,0.7816291161178509
E3_RFE_9,0.7174302001794263,0.03973785921125484,0.6371428571428571,0.7692307692307693,0.968540172211001,0.9302325581395349,0.9022556390977443,0.7395747161991519,9,13,120,51,0.49,0.7240204429301533,0.5348602049514848,0.711892797319933,0.7365684575389948
