feature,importance
is_missing_AL_294,0.0
is_missing_AL_93,0.0
is_missing_AL_92,0.0
AL_101,0.0
is_missing_AL_91,0.0
is_missing_AL_90,0.0
is_missing_AL_88,0.0
is_missing_AL_87,0.0
is_missing_AL_94,0.0
is_missing_AL_86,0.0
is_missing_AL_84,0.0
is_missing_AL_83,0.0
is_missing_AL_81,0.0
AL_118,0.0
is_missing_AL_79,0.0
is_missing_AL_77,0.0
is_missing_AL_76,0.0
is_missing_AL_85,0.0
is_missing_AL_75,0.0
is_missing_AL_96,0.0
is_missing_AL_185,0.0
is_missing_AL_200,0.0
is_missing_AL_199,0.0
is_missing_AL_198,0.0
AL_87,0.0
AL_88,0.0
AL_89,0.0
AL_90,0.0
is_missing_AL_183,0.0
is_missing_AL_194,0.0
is_missing_AL_192,0.0
is_missing_AL_191,0.0
AL_95,0.0
is_missing_AL_190,0.0
is_missing_AL_189,0.0
is_missing_AL_188,0.0
is_missing_AL_187,0.0
is_missing_AL_193,0.0
is_missing_AL_36,0.0
is_missing_AL_35,0.0
is_missing_AL_34,0.0
AL_288,0.0
AL_286,0.0
AL_274,0.0
AL_268,0.0
AL_265,0.0
AL_264,0.0
is_missing_AL_293,0.0
AL_295,0.0
AL_259,0.0
AL_252,0.0
AL_185,0.0
AL_250,0.0
AL_216,0.0
AL_214,0.0
AL_191,0.0
AL_211,0.0
AL_257,0.0
AL_299,0.0
AL_305,0.0
AL_322,0.0
AL_135,0.0
is_missing_AL_31,0.0
AL_138,0.0
is_missing_AL_30,0.0
is_missing_AL_29,0.0
is_missing_AL_27,0.0
is_missing_AL_23,0.0
is_missing_AL_21,0.0
is_missing_AL_17,0.0
is_missing_AL_4,0.0
is_missing_AL_3,0.0
is_missing_AL_2,0.0
is_missing_AL_1,0.0
fe_aa_nonstandard,0.0
fe_aa_stopgain,0.0
AL_334,0.0
AL_328,0.0
is_missing_AL_201,0.0
is_missing_AL_202,0.0
is_missing_AL_196,0.0
is_missing_AL_203,0.0
is_missing_AL_264,0.0
is_missing_AL_261,0.0
is_missing_AL_260,0.0
is_missing_AL_258,0.0
is_missing_AL_257,0.0
is_missing_AL_255,0.0
is_missing_AL_254,0.0
is_missing_AL_265,0.0
is_missing_AL_252,0.0
is_missing_AL_249,0.0
AL_36,0.0
AL_37,0.0
AL_80,0.0
is_missing_AL_246,0.0
AL_41,0.0
is_missing_AL_245,0.0
is_missing_AL_250,0.0
is_missing_AL_266,0.0
is_missing_AL_268,0.0
is_missing_AL_270,0.0
AL_2,0.0
is_missing_AL_291,0.0
is_missing_AL_290,0.0
is_missing_AL_289,0.0
is_missing_AL_288,0.0
is_missing_AL_286,0.0
is_missing_AL_285,0.0
is_missing_AL_283,0.0
is_missing_AL_282,0.0
is_missing_AL_281,0.0
is_missing_AL_279,0.0
is_missing_AL_278,0.0
is_missing_AL_277,0.0
is_missing_AL_275,0.0
is_missing_AL_274,0.0
is_missing_AL_273,0.0
is_missing_AL_271,0.0
is_missing_AL_243,0.0
AL_44,0.0
is_missing_AL_247,0.0
is_missing_AL_226,0.0
AL_60,0.0
AL_62,0.0
is_missing_AL_225,0.0
is_missing_AL_224,0.0
is_missing_AL_223,0.0
is_missing_AL_222,0.0
is_missing_AL_221,0.0
AL_68,0.0
AL_59,0.0
is_missing_AL_219,0.0
is_missing_AL_215,0.0
is_missing_AL_211,0.0
is_missing_AL_210,0.0
is_missing_AL_209,0.0
is_missing_AL_207,0.0
is_missing_AL_205,0.0
AL_77,0.0
AL_78,0.0
is_missing_AL_216,0.0
is_missing_AL_228,0.0
AL_200,0.0
is_missing_AL_238,0.0
is_missing_AL_229,0.0
is_missing_AL_237,0.0
is_missing_AL_235,0.0
AL_48,0.0
is_missing_AL_239,0.0
is_missing_AL_234,0.0
is_missing_AL_241,0.0
is_missing_AL_242,0.0
is_missing_AL_230,0.0
AL_56,0.0
is_missing_AL_232,0.0
AL_38,0.0004207805040452121
AL_109,0.002157100276189283
AL_47,0.0022907013973565344
AL_30,0.006197817994842787
AL_238,0.007057671437496525
AL_3,0.008600347818902758
is_missing_AL_95,0.008811734632427464
AL_229,0.009776566070363977
AL_114,0.010220630441740215
AL_28,0.010615347361427043
AL_206,0.011194729793161606
AL_171,0.011293122453056076
AL_32,0.014486763345815203
is_missing_AL_80,0.014526398048991541
is_missing_AL_32,0.014801751060499755
AL_275,0.01581370001303436
AL_301,0.016612663576268352
AL_120,0.017233560963422725
AL_1,0.01844927256633075
AL_150,0.018960135763606757
AL_71,0.019695394119382145
CAT_6,0.020856008714494025
AL_84,0.02601471152353383
AL_177,0.026681909104551316
AL_97,0.027097158751132364
is_missing_AL_253,0.027620925452907657
is_missing_AL_28,0.030392389695570867
AL_93,0.030522457075822865
AL_205,0.03105501216542259
AL_282,0.032396146714169294
AL_86,0.03296854573004318
AL_168,0.033563097272278374
AL_326,0.03402440248956388
AL_193,0.03648312043909292
is_missing_AL_98,0.036860698067491204
is_missing_AL_218,0.03729340433365572
AL_103,0.037370421625224956
AL_260,0.03774964399291327
AL_281,0.038408118311532874
AL_35,0.03842189236716659
is_missing_AL_82,0.03982617559412667
AL_5,0.040176951581656364
AL_27,0.040231494334139396
AL_29,0.041308955477801286
AL_85,0.04142698112581992
is_missing_AL_259,0.0418542016623964
AL_33,0.04543956939061734
AL_147,0.04572350947643093
AL_237,0.047131783116306614
AL_65,0.047462805934167906
AL_290,0.05084356322737115
is_missing_AL_5,0.05217917059097858
AL_243,0.052358706823141435
AL_277,0.05326104018069511
AL_144,0.05352223309502792
AL_293,0.054232584276699324
AL_325,0.054697061976319544
AL_42,0.05492475303219408
AL_291,0.055461657731326386
is_missing_AL_184,0.057276351065173564
AL_58,0.05754494074755932
AL_81,0.05815334743847064
AL_196,0.05820028343161641
is_missing_AL_78,0.05933274963008227
AL_249,0.060012691561330475
AL_258,0.06038529405140398
AL_246,0.06193534445174075
AL_225,0.06215578473013336
AL_108,0.06356303046184515
AL_31,0.06461132765896518
AL_226,0.06499184859523705
AL_187,0.06569261131231711
is_missing_AL_213,0.06844906882643015
AL_129,0.06971383713691588
AL_198,0.07195778713364044
AL_215,0.07295601331535198
AL_189,0.07658301091011274
AL_154,0.0790881150497689
is_missing_AL_97,0.08023184345880546
AL_76,0.08081554152152548
AL_242,0.08349989612157069
AL_105,0.08429849450526615
is_missing_AL_217,0.08569430493748886
AL_139,0.08709585926980284
is_missing_AL_16,0.08734470546294792
AL_74,0.08789067183463234
is_missing_AL_37,0.08814104434954943
AL_181,0.088382421344861
AL_289,0.08880068720328911
is_missing_AL_262,0.08981242793181839
AL_96,0.09112094077772072
AL_4,0.09164351179368807
AL_50,0.09248175904624804
AL_123,0.0927712741713446
AL_239,0.09289155224115117
AL_165,0.09680724561232029
AL_63,0.09710899187961416
AL_57,0.09724313437662736
AL_283,0.09809102294605299
AL_245,0.09824183212725125
AL_235,0.09895367507601664
AL_285,0.0992907526509427
AL_241,0.1017111043102032
AL_160,0.10305013125549459
AL_201,0.10316973447393234
AL_199,0.10384712939938039
AL_190,0.10759276975270557
AL_22,0.10771109972868055
AL_287,0.10797439969604232
AL_279,0.11006160410757526
AL_34,0.11355809654561817
AL_297,0.11390076851768292
AL_273,0.114764766154247
AL_221,0.11589831329306567
AL_46,0.11676087034875156
AL_54,0.11936816398249868
AL_130,0.12171262120299035
AL_314,0.12417815494339547
AL_132,0.1249783178993678
AL_251,0.12529165753396426
AL_49,0.12554312671377937
AL_166,0.1259785986652532
AL_194,0.12634256255618148
AL_98,0.12711683089766
AL_294,0.13009360285607482
AL_223,0.1309248857853465
AL_178,0.13225675081143387
AL_159,0.1360893804266977
is_missing_AL_89,0.13621112447532632
is_missing_AL_251,0.13671000786767584
fe_charge_change,0.13927671639174796
is_missing_AL_287,0.14028495421640183
AL_115,0.1411960090017005
AL_111,0.1412021228685947
is_missing_AL_20,0.14204433227001306
AL_142,0.14287118000587876
AL_163,0.14643161633404442
AL_53,0.14693706791452507
is_missing_AL_25,0.14929872911136566
is_missing_AL_24,0.15074171696552563
AL_99,0.15275284487344631
AL_141,0.15367878384118222
AL_331,0.15368547457006976
AL_213,0.15509670212500876
AL_148,0.15555379545286033
AL_39,0.15688950085492998
AL_157,0.15809729842841452
AL_117,0.15931944665989395
AL_124,0.1641715350200704
AL_254,0.16503302671439382
is_missing_AL_19,0.16738036640455453
AL_92,0.1707223405092188
AL_51,0.1707951613203669
AL_192,0.1729534977276428
AL_106,0.17347554179994987
AL_174,0.17505404947697875
is_missing_AL_33,0.17716419663692448
