n_fe,fe_cols,boot_f1,boot_std,precision,dropped,dropped_importance
18,"['fe_aa_stopgain', 'fe_aa_nonstandard', 'fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_range', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_vol_abs', 'fe_mw_abs', 'fe_polar_abs', 'fe_grantham_cat', 'fe_charge_change']",0.7409732888214862,0.04921579984421306,0.9435483870967742,fe_aa_stopgain,0.0
17,"['fe_aa_nonstandard', 'fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_range', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_vol_abs', 'fe_mw_abs', 'fe_polar_abs', 'fe_grantham_cat', 'fe_charge_change']",0.6470272684197513,0.036610201725281614,0.9022556390977443,fe_aa_nonstandard,0.055804197614244155
16,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_range', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_vol_abs', 'fe_mw_abs', 'fe_polar_abs', 'fe_grantham_cat', 'fe_charge_change']",0.6913533173738567,0.03276928896269493,0.917910447761194,fe_grantham_cat,0.13702483567595858
15,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_range', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_vol_abs', 'fe_mw_abs', 'fe_polar_abs', 'fe_charge_change']",0.6978969426337847,0.0428011646104087,0.9230769230769231,fe_charge_change,0.2458682424895503
14,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_range', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_vol_abs', 'fe_mw_abs', 'fe_polar_abs']",0.7325030410974683,0.04663971589098486,0.937007874015748,fe_vol_abs,0.2746843947429044
13,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_range', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_mw_abs', 'fe_polar_abs']",0.716720480088901,0.04061550481636185,0.9302325581395349,fe_ek_range,0.5126202403468215
12,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_delta_12', 'fe_hydro_abs', 'fe_mw_abs', 'fe_polar_abs']",0.7329085354905789,0.04040735900780136,0.937007874015748,fe_hydro_abs,0.688520531412816
11,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_log_max_freq', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_delta_12', 'fe_mw_abs', 'fe_polar_abs']",0.6839033025323141,0.03624421328068277,0.9166666666666666,fe_log_max_freq,0.5997682791131909
10,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_consensus', 'fe_ek_delta_12', 'fe_mw_abs', 'fe_polar_abs']",0.7512551197814357,0.03135746675571987,0.9384615384615385,fe_ek_consensus,0.7241657630884796
9,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_delta_12', 'fe_mw_abs', 'fe_polar_abs']",0.7174302001794263,0.03973785921125484,0.9302325581395349,fe_mw_abs,1.0999207942886597
8,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_ek_mean_top3', 'fe_ek_max', 'fe_ek_delta_12', 'fe_polar_abs']",0.7262389997250678,0.04028383458693211,0.9312977099236641,fe_ek_mean_top3,0.8030578119948593
7,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_ek_max', 'fe_ek_delta_12', 'fe_polar_abs']",0.6708145551496001,0.038550902125576006,0.9104477611940298,fe_ek_delta_12,1.1705800904441028
6,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek9', 'fe_fcs_ek7', 'fe_ek_max', 'fe_polar_abs']",0.6334334083386834,0.04133277217712323,0.8955223880597015,fe_fcs_ek9,1.4383137953109344
5,"['fe_grantham', 'fe_blosum62', 'fe_fcs_ek7', 'fe_ek_max', 'fe_polar_abs']",0.6911350187665977,0.042204028411219556,0.9224806201550387,fe_blosum62,1.2281508299950676
4,"['fe_grantham', 'fe_fcs_ek7', 'fe_ek_max', 'fe_polar_abs']",0.6656926925091239,0.04747943073000671,0.9140625,fe_grantham,2.502033138501013
3,"['fe_fcs_ek7', 'fe_ek_max', 'fe_polar_abs']",0.6298650961441659,0.03550772490641542,0.8913043478260869,fe_ek_max,1.3700232212236656
2,"['fe_fcs_ek7', 'fe_polar_abs']",0.6809364922625514,0.030788819131544656,0.9117647058823529,fe_fcs_ek7,3.2684333557015224
