feature,importance
EK_7,1050.8464192792774
is_missing_AL_16,939.3816192585975
fe_ek_7_x_vol,842.2754618570209
fe_ek_delta_7_1,759.356964661181
is_missing_AL_1,678.3162971362472
fe_ek_mean_top3,559.8717874724418
AL_327,531.4468903675676
fe_grantham,393.895999908261
AA_2,378.80272690113634
fe_ek_delta_12,377.2233607366681
fe_ek_consensus,354.48993096183983
AL_14,330.593024966307
EK_9,328.89759192299096
AL_26,319.1180772073567
EK_1,318.9473815547302
EK_8,313.0370170366019
CAT_1,309.4136495109648
EK_2,307.6958443654701
fe_vol_abs,303.4927226824686
AL_12,299.03719635214657
fe_ek_max,291.68465324211866
EK_5,276.9400457583368
AL_11,268.8433332933113
EK_4,267.6507571956143
EK_3,251.97919345758856
AL_7,248.60255789849907
AL_13,247.94897799491883
EK_6,245.7907694919035
AL_15,243.50452178884296
AL_311,241.3346187952906
AA_1,239.66613238789142
AL_8,236.72880015503614
AL_186,230.45892678126694
fe_ek_mean_all,229.7639718623832
AL_73,223.20610456895082
AL_298,221.07125990539788
fe_mw_abs,218.35557118747383
AL_9,216.95032608620824
fe_log_max_freq,215.1401309095323
is_missing_AL_17,214.87429049722851
fe_ek_std,206.81168262641876
AL_296,203.9156535265967
fe_blosum62,201.97950745485724
AL_315,198.03732785210013
fe_disorder_abs,196.13677864242345
AL_10,193.35405303873122
AL_20,185.74433929342777
fe_accessibility_abs,183.09412186536937
AL_287,174.23310626056045
fe_ek_range,173.2974866013974
AL_323,161.09430981576443
AL_331,159.50936203170568
fe_hydro_abs,158.8711550226435
AL_43,156.36265974454582
AL_22,154.87846549656243
AL_64,151.49190485049039
AL_17,150.53924830984323
AL_23,146.58250462133438
AL_302,145.62972301729025
AL_16,139.41614980064332
AL_319,135.72073654420674
is_missing_AL_2,131.11697573605926
AL_306,128.65167209059
AL_40,122.78652545921504
AL_21,108.11069861147553
AL_19,107.6663313390687
AL_91,107.4497972421348
AL_25,104.28001867476851
AL_24,96.06521204672754
AL_304,88.81486594490707
AL_18,88.04761410579086
AL_46,87.92872916683555
AL_301,87.54904698096216
AL_67,87.24283466674387
AL_49,86.25609722360969
AL_184,85.74101770296693
AL_70,85.23453412428498
AL_79,84.565568202734
AL_148,82.97174828350543
fe_charge_change,82.41741688419134
AL_151,82.2707604020834
AL_224,80.91996991746127
AL_52,79.24304205384105
AL_172,76.568614006415
AL_82,76.36052219457925
AL_127,74.26711256019772
AL_109,74.02186884786934
AL_61,73.05431830640882
AL_55,72.05933358818292
AL_178,71.41426873989403
AL_136,70.72511950433254
AL_58,69.6381612477824
AL_251,69.32638396564872
AL_115,68.9713945094496
AL_313,66.52867335937917
AL_207,65.2378917498514
AL_133,64.63176018670201
AL_175,63.04676018692553
AL_5,58.40664669759572
is_missing_AL_214,58.23079899139702
AL_163,58.124635187722745
fe_has_any_freq,57.76856898292899
AL_215,56.58986375089735
AL_76,56.48096723854542
AL_226,56.107353208772835
AL_260,55.04735357966274
CAT_3,53.46013209633529
AL_103,53.295883665792644
AL_106,53.14875745289028
AL_157,50.95222585052252
AL_124,50.801473373174666
AL_112,50.396643499471246
AL_121,50.369184812903406
AL_239,50.324101362004875
AL_139,48.39727075695991
AL_169,47.91598183102906
AL_181,46.24739141222089
AL_255,45.68220098093152
AL_266,45.288314926624295
AL_154,45.26709037460387
AL_45,44.53301659747958
AL_166,43.20797661971301
AL_118,43.06681655719876
AL_100,42.94774443544448
AL_94,41.74531407877803
AL_142,41.588203470781444
AL_329,40.63465141430497
AL_317,40.100923797115684
AL_188,39.97293501906097
AL_271,39.822780810110274
AL_291,39.69250856097788
AL_275,39.66650875005871
AL_97,38.132573413848874
AL_247,37.64462715182454
AL_283,37.552017509751025
AL_145,37.444735737517476
AL_160,36.32777135204524
AL_219,35.356051163375376
AL_194,34.99471089411527
AL_85,34.55578666962683
AL_130,33.83242722731084
AL_211,32.16978448219597
AL_203,32.15470107793808
AL_321,31.905737747624517
AL_51,31.16548405922949
AL_262,30.47908873464912
AL_69,29.91921177059412
AL_2,29.407717768661676
AL_66,28.454697935283185
AL_326,28.243853943608702
AL_190,27.434542508609592
fe_grantham_cat,26.597134900093078
AL_238,25.681372650712728
AL_199,25.276733641698957
AL_63,24.890303153917195
AL_3,24.783286202698946
AL_325,24.034696290642025
AL_230,23.664968129247427
AL_235,23.501389545574785
AL_279,23.47268567867577
AL_33,22.448136529698967
AL_4,22.144094822742044
AL_39,21.812606055475772
AL_308,21.048724918439984
AL_243,20.91737614441663
AL_330,19.899317092821
is_missing_AL_18,19.836475762724877
AL_57,19.595646841451526
AL_273,19.370329616218804
AL_300,18.821091847121714
AL_334,18.61838860101998
CAT_2,18.012870312295853
AL_314,17.03446367122233
AL_88,16.815080636180937
AL_237,16.698868931829928
AL_264,16.27252828255296
AL_202,16.190279519557954
AL_310,15.481972656771541
is_missing_AL_183,15.438982392475008
AL_6,15.367150599323214
AL_241,15.364391033165157
AL_297,13.671519024670124
fe_proline_involved,13.279058350995182
AL_72,12.87392454147339
AL_333,12.867689700052143
CAT_4,12.444130782037973
AL_36,12.389004774391651
AL_1,12.283964903652668
AL_305,12.247468488290906
AL_209,12.21324957050383
