experiment,loo_mcc,f1,precision,recall,auc,thr,boot_mean,boot_std,boot_lo,boot_hi,TN,FP,FN,TP,n_features
E1a_GroupA_Freq,0.3686,0.797,0.9422,0.6906,0.8163,0.3572,0.5329,0.0624,0.41,0.6341,49,13,95,212,430
E1b_GroupB_EKCombo,0.3508,0.791,0.9375,0.684,0.8105,0.383,0.5086,0.0637,0.3889,0.619,48,14,97,210,433
E1c_GroupD_AAphyschem,0.3596,0.7978,0.9383,0.6938,0.8195,0.3618,0.5187,0.0604,0.3987,0.619,48,14,94,213,433
E1d_GroupE_AAsubst,0.3546,0.7778,0.9442,0.6612,0.8255,0.4388,0.5261,0.0708,0.3745,0.65,50,12,104,203,433
E1e_GroupF_Disagree,0.3399,0.7739,0.9395,0.658,0.8167,0.4162,0.508,0.073,0.3635,0.6,49,13,105,202,432
E1f_All_ABDEF,0.3807,0.7909,0.9498,0.6775,0.827,0.3918,0.5388,0.0768,0.4242,0.6316,51,11,99,208,449
E1g_NoFE,0.3627,0.7925,0.9417,0.684,0.8111,0.3808,0.5284,0.0618,0.41,0.6341,49,13,97,210,428
E2a_NoFE,0.3627,0.7925,0.9417,0.684,0.8111,0.3808,0.5284,0.0618,0.41,0.6341,49,13,97,210,428
E2b_NB16_FE,0.3631,0.7848,0.945,0.671,0.8256,0.3976,0.5328,0.0675,0.3636,0.65,50,12,101,206,430
E2c_Full_PAH_FE,0.3807,0.7909,0.9498,0.6775,0.827,0.3918,0.5388,0.0768,0.4242,0.6316,51,11,99,208,449
E2d_Best2_Groups,0.3745,0.8015,0.9427,0.6971,0.8279,0.349,0.5312,0.0646,0.4,0.6341,49,13,93,214,435
E2e_F_plus_D,0.3518,0.7754,0.9439,0.658,0.8231,0.3988,0.5164,0.0709,0.3636,0.6422,50,12,105,202,437
