name,f1_8020_mean,f1_8020_std,f1_8020_ci,mcc_8020_mean,prec_8020_mean,rec_8020_mean,f1_5050,auc_roc,auc_pr,thr_f1_8020,thr_mcc_8020
BalancedBag_XGB,0.6025114115015618,0.04539985026279915,"[0.504, 0.681]",0.4956860851951428,0.5198727451757386,0.7210256410256409,0.800524934383202,0.8400533254332692,0.9206481197312975,0.44999999999999984,0.45999999999999985
Stack_LR(lgbm+xgb+cb+bb),0.5990564907620045,0.039116874383171095,"[0.520, 0.672]",0.4949617978012105,0.48136858423899825,0.7974358974358974,0.8475836431226765,0.8456821211672345,0.9197760078118717,0.5749999999999997,0.5599999999999997
BalancedBag_XGB+FE,0.5910762927473006,0.04334881384337837,"[0.510, 0.676]",0.4815799801579383,0.48798501514864706,0.7548717948717949,0.8214285714285714,0.8393423196563471,0.9184982849674557,0.4099999999999998,0.4099999999999998
BalancedBag_LGBM,0.588970412642188,0.041877630817156376,"[0.516, 0.673]",0.4821169455243346,0.46858512813367215,0.796923076923077,0.8479604449938195,0.8350318471337579,0.9151079910919032,0.5899999999999997,0.5899999999999997
CatBoost+FE,0.580448447087984,0.04887633114523045,"[0.488, 0.679]",0.4685390203054095,0.46527948371275946,0.7748717948717947,0.8335419274092616,0.8412531476818248,0.9189389052959586,0.8499999999999996,0.7799999999999997
BalBag_robust(no_leak),0.5799927842325205,0.04280145676204134,"[0.505, 0.660]",0.466992323250818,0.4740956185364364,0.7523076923076922,0.8193384223918575,0.8355947267071546,0.9130001448484244,0.7199999999999996,0.6499999999999997
XGBoost+FE,0.5771784600511929,0.05327132496878938,"[0.501, 0.679]",0.461895534146963,0.49277084613980165,0.7020512820512821,0.7889182058047494,0.8296400533254333,0.9046445513601249,0.6799999999999997,0.6799999999999997
CatBoost_baseline,0.5770578453623714,0.03814594725304696,"[0.504, 0.647]",0.46660329674521067,0.4540638743417146,0.7953846153846154,0.8415841584158416,0.8375944304547475,0.9118964082626468,0.8299999999999996,0.7999999999999996
BalancedBag+FE,0.5766430480468139,0.04009918207856559,"[0.505, 0.657]",0.464636278146306,0.4587486804499903,0.781025641025641,0.8354114713216958,0.8377277440379203,0.9161554770281376,0.6299999999999997,0.5799999999999997
XGBoost_baseline,0.5696743043896639,0.04345287641786235,"[0.488, 0.646]",0.452150410732054,0.49442660523342163,0.6779487179487179,0.7654986522911051,0.8311509406013925,0.9147526123031673,0.6849999999999997,0.6899999999999997
LightGBM_baseline,0.5682222147764007,0.04242951102179455,"[0.481, 0.646]",0.4611425327452009,0.4303403825950858,0.8394871794871794,0.8646706586826347,0.8346319063842395,0.9093897733087608,0.8799999999999996,0.8799999999999996
LightGBM+FE,0.5587332333268514,0.04032535109714575,"[0.490, 0.639]",0.4519434613051168,0.41472584754045294,0.858974358974359,0.8672985781990521,0.8327507035994667,0.9124979813933283,0.8799999999999996,0.8699999999999996
LGBM_robust(no_leak),0.549356750037547,0.03084690594164361,"[0.490, 0.600]",0.4414994688150387,0.40244949415859227,0.8682051282051282,0.8735362997658079,0.8325285142941786,0.9038391661178362,0.8099999999999996,0.6699999999999997
