config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
lightgbm_no_fe_multi_panel,lightgbm,no_fe,multi_panel,All,0.5999999999999998,0.6761453396524486,0.6885318221030088,3429,858,758,0.7024029574861368,0.8696067893210679,0.7710942856175637,0.5655161396767066,0.7116104868913857,0.6934306569343066,0.8681506849315068,0.7807906709329067,0.5654151801725277,796.7605819702148
lightgbm_no_fe_single_General,lightgbm,no_fe,single_panel,General,0.5299999999999998,0.6666666666666666,0.6732788233000728,2524,632,754,0.6828087167070218,0.8558235052514229,0.6931613204838293,0.5313957956687119,0.6467889908256881,0.7230769230769231,0.8237986270022883,0.7734377750396058,0.5295802177322212,442.45899963378906
lightgbm_no_fe_single_Hereditary_Cancer,lightgbm,no_fe,single_panel,Hereditary_Cancer,0.5999999999999998,0.7115384615384616,0.7102612293656062,572,143,754,0.7674418604651163,0.9233234714003945,0.8073638189048439,0.6746255856777623,0.7021276595744681,0.8461538461538461,0.8653846153846154,0.8557692307692308,0.6686746987951807,110.11999154090881
lightgbm_no_fe_single_PAH,lightgbm,no_fe,single_panel,PAH,0.11,0.4186046511627907,0.6423407073134841,259,65,754,0.5352112676056338,0.6385281385281386,0.5780031845794946,0.2222312407982379,0.38,0.9047619047619048,0.29545454545454547,0.6001082251082251,0.147117296222664,102.21999979019165
lightgbm_with_fe_multi_panel,lightgbm,with_fe,multi_panel,All,0.4999999999999998,0.6970172684458399,0.6909280931658083,3429,858,57,0.6970172684458399,0.8736438856114389,0.7660340974874328,0.5367481852610088,0.6115702479338843,0.8102189781021898,0.7585616438356164,0.7843903109689031,0.523637744446554,269.44699883461
lightgbm_with_fe_single_General,lightgbm,with_fe,single_panel,General,0.5099999999999998,0.6637362637362637,0.6672477327588628,2524,632,53,0.6711409395973155,0.8530423047585519,0.71579060272003,0.5054588608791336,0.5952380952380952,0.7692307692307693,0.7665903890160183,0.7679105791233938,0.4957008858780615,373.2969994544983
lightgbm_with_fe_single_Hereditary_Cancer,lightgbm,with_fe,single_panel,Hereditary_Cancer,0.6199999999999998,0.7526881720430108,0.7240227501519391,572,143,53,0.7901234567901234,0.9282544378698224,0.7853503802121585,0.7083003986019998,0.7619047619047619,0.8205128205128205,0.9038461538461539,0.8621794871794872,0.7073552425665102,142.59400177001953
lightgbm_with_fe_single_PAH,lightgbm,with_fe,single_panel,PAH,0.23999999999999994,0.47058823529411764,0.6532224532224532,259,65,53,0.56,0.6666666666666666,0.5802214581629663,0.3064645609367946,0.4827586206896552,0.6666666666666666,0.6590909090909091,0.6628787878787878,0.29625984251968507,83.89900016784668
xgboost_no_fe_multi_panel,xgboost,no_fe,multi_panel,All,0.5799999999999997,0.6687598116169545,0.6800571514986234,3429,858,758,0.6859205776173285,0.8548957604239575,0.7434824134141143,0.5362732765878829,0.6785714285714286,0.6934306569343066,0.8458904109589042,0.7696605339466054,0.5362046897717246,6485.433338880539
xgboost_no_fe_single_General,xgboost,no_fe,single_panel,General,0.45999999999999985,0.6531531531531531,0.6589125731794531,2524,632,754,0.6610526315789473,0.8405679751217509,0.6736817215922339,0.48692281639952184,0.5607142857142857,0.8051282051282052,0.7185354691075515,0.7618318371178783,0.4672670157068063,2875.5357282161713
xgboost_no_fe_single_Hereditary_Cancer,xgboost,no_fe,single_panel,Hereditary_Cancer,0.6099999999999998,0.7184466019417476,0.7073170127646,572,143,754,0.7560975609756098,0.9142011834319527,0.783578625268808,0.6599271747465717,0.7209302325581395,0.7948717948717948,0.8846153846153846,0.8397435897435896,0.6583850931677019,1179.99999833107
xgboost_no_fe_single_PAH,xgboost,no_fe,single_panel,PAH,0.6699999999999997,0.45,0.6725706157285105,259,65,754,0.5333333333333333,0.6612554112554112,0.600462257425346,0.48503908945427543,0.8888888888888888,0.38095238095238093,0.9772727272727273,0.6791125541125541,0.4211195928753181,1832.5367674827576
