Model,F1_8020,CI_95,MCC_8020,Prec_8020,Rec_8020,F1_5050,AUC,Gap
V1_calib,0.6165,[0.508-0.699],0.5142,0.5497,0.7062,0.8021,0.8341,-0.0212
V2_calib+shift,0.6165,[0.508-0.699],0.5142,0.5497,0.7062,0.8021,0.8341,-0.0212
V3_stack+shift,0.6106,[0.491-0.703],0.5064,0.5392,0.7087,0.7979,0.8477,-0.02
HetStack_LR,0.6088,[0.517-0.691],0.504,0.5236,0.7323,0.8099,0.8439,-0.0258
Single_rf,0.6087,[0.497-0.696],0.5042,0.5453,0.6933,0.7926,0.8389,-0.0159
V0_ham,0.6087,[0.497-0.696],0.5042,0.5453,0.6933,0.7926,0.8389,-0.0159
NB36_BalBag_XGB,0.6025,,0.0,0.0,0.0,0.6025,0.0,0.0
RawMeta_LGBM,0.6014,[0.482-0.694],0.4951,0.5423,0.68,0.7812,0.8434,-0.0002
RawMeta_LGBM+Shift,0.6014,[0.482-0.694],0.4951,0.5423,0.68,0.7812,0.8439,-0.0012
RawMeta_LR,0.5951,[0.501-0.678],0.4856,0.5046,0.7297,0.8093,0.845,-0.025
RawMeta_CatBoost,0.5941,[0.483-0.688],0.484,0.5143,0.7077,0.7974,0.846,-0.0143
Single_balbag,0.5747,[0.485-0.646],0.4585,0.4839,0.7123,0.7963,0.8413,-0.0095
Single_lgbm,0.5511,[0.453-0.640],0.4263,0.4621,0.6867,0.7794,0.84,-0.004
Single_dnn,0.5188,[0.426-0.590],0.3845,0.3991,0.7436,0.8075,0.7895,-0.0564
Single_mlp,0.5092,[0.448-0.575],0.3761,0.3761,0.7908,0.8254,0.7642,-0.0271
