Model,Scenario,n_train,F1_8020,CI_95,MCC_8020,Prec_8020,Rec_8020,F1_5050,AUC,Gap,Thr_raw,Thr_8020
S1_6040/balbag,S1_6040,1041,0.6379,[0.519-0.716],0.5423,0.5829,0.7082,0.8021,0.8317,0.253,0.38,0.55
NB38_V1_calib,REF,2345,0.6165,,0.0,0.0,0.0,0.6165,0.0,0.0,0.0,0.0
S0_baseline/rf,S0_baseline,2344,0.6087,[0.497-0.696],0.5042,0.5453,0.6933,0.7926,0.8389,0.0941,0.38,0.71
S1_6040/rf,S1_6040,1041,0.6065,[0.489-0.680],0.5013,0.5448,0.6882,0.7877,0.8261,0.259,0.37,0.48
S1_6040/catboost,S1_6040,1041,0.5963,[0.480-0.665],0.4889,0.5444,0.6636,0.774,0.8374,0.1983,0.48,0.55
S4_weighted/lgbm,S4_weighted,2344,0.5917,[0.483-0.673],0.4849,0.5523,0.6421,0.7514,0.8354,0.1469,0.17,0.7
S4_weighted/catboost,S4_weighted,2344,0.5911,[0.508-0.665],0.4806,0.4992,0.7292,0.8098,0.8424,0.1017,0.31,0.72
S3_7030/catboost,S3_7030,892,0.5823,[0.465-0.671],0.472,0.5416,0.6338,0.7497,0.8391,0.2263,0.52,0.52
S0_baseline/catboost,S0_baseline,2344,0.581,[0.491-0.663],0.4669,0.4914,0.7149,0.799,0.8376,0.0753,0.36,0.63
S1_6040/lgbm,S1_6040,1041,0.5804,[0.491-0.656],0.4664,0.513,0.6728,0.7758,0.8339,0.22,0.47,0.545
S4_weighted/balbag,S4_weighted,2344,0.5747,[0.485-0.646],0.4585,0.4839,0.7123,0.7963,0.8413,0.0967,0.22,0.7
S0_baseline/balbag,S0_baseline,2344,0.5747,[0.485-0.646],0.4585,0.4839,0.7123,0.7963,0.8413,0.0967,0.22,0.7
S3_7030/balbag,S3_7030,892,0.5738,[0.439-0.652],0.4611,0.5307,0.6292,0.7503,0.8301,0.2532,0.53,0.585
S3_7030/lgbm,S3_7030,892,0.57,[0.446-0.657],0.4544,0.5155,0.6426,0.7568,0.8292,0.2839,0.37,0.49
S3_7030/rf,S3_7030,892,0.5621,[0.429-0.656],0.4417,0.487,0.6692,0.7694,0.8325,0.3281,0.39,0.42
S0_baseline/lgbm,S0_baseline,2344,0.5511,[0.453-0.640],0.4263,0.4621,0.6867,0.7794,0.84,0.0999,0.36,0.75
S2_8020/balbag,S2_8020,780,0.5486,[0.424-0.643],0.4287,0.5079,0.6015,0.7157,0.8134,0.2857,0.52,0.52
S2_8020/lgbm,S2_8020,780,0.5146,[0.448-0.600],0.3802,0.3891,0.7626,0.809,0.8065,0.4311,0.24,0.25
S2_8020/catboost,S2_8020,780,0.4915,[0.424-0.552],0.3516,0.3558,0.7974,0.8255,0.7871,0.2533,0.38,0.425
S2_8020/rf,S2_8020,780,0.4876,[0.371-0.587],0.3379,0.384,0.6708,0.7503,0.7927,0.4823,0.35,0.325
S4_weighted/rf,S4_weighted,2344,0.4708,[0.383-0.560],0.3175,0.3927,0.5923,0.7056,0.7658,0.1066,0.28,0.61
