col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_1,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_29,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_27,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_2,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_30,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_31,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_32,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_33,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_34,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_35,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_36,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_37,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_38,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_6,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_5,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_4,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_3,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_28,0.8648648648648649,0.9333333333333333,0.5714285714285714,0.36190476190476195,0.4146139914483853,0.4146139914483853,6.064481395437539e-06,ok
AL_25,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_24,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_23,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_22,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_21,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_20,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_19,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_18,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_17,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_16,0.5045045045045045,0.5333333333333333,0.38095238095238093,0.1523809523809524,0.11936753551247854,0.11936753551247854,0.2120875703403327,ok
AL_214,0.5045045045045045,0.5222222222222223,0.42857142857142855,0.0936507936507937,0.07336129786704412,0.07336129786704412,0.4441573752717813,ok
AL_215,0.5045045045045045,0.5222222222222223,0.42857142857142855,0.0936507936507937,0.07336129786704412,0.07336129786704412,0.4441573752717813,ok
AL_217,0.5045045045045045,0.5222222222222223,0.42857142857142855,0.0936507936507937,0.07336129786704412,0.07336129786704412,0.4441573752717813,ok
