col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
EK_3,0.44144144144144143,0.5,0.19047619047619047,0.30952380952380953,0.2441355809516085,0.2441355809516085,0.009817025352793711,ok
AL_315,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_296,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_297,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_298,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_300,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_301,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_302,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_304,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_305,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_306,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_308,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_310,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_311,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_313,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_314,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_317,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_318,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_319,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_321,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_322,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_323,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_325,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_326,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_327,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
AL_328,0.13513513513513514,0.16666666666666666,0.0,0.16666666666666666,0.19094065395649326,0.19094065395649326,0.04470480091887292,ok
