col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_20,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_22,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_25,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_24,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_16,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_17,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_18,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_19,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_23,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_21,0.6855670103092784,0.8619402985074627,0.2916666666666667,0.5702736318407959,0.567702200529808,0.567702200529808,1.7535336813094442e-34,ok
AL_215,0.7731958762886598,0.917910447761194,0.45,0.467910447761194,0.5164387235905934,0.5164387235905934,7.7743280051126335e-28,ok
AL_217,0.7731958762886598,0.917910447761194,0.45,0.467910447761194,0.5164387235905934,0.5164387235905934,7.7743280051126335e-28,ok
AL_214,0.7731958762886598,0.917910447761194,0.45,0.467910447761194,0.5164387235905934,0.5164387235905934,7.7743280051126335e-28,ok
AL_184,0.7319587628865979,0.8731343283582089,0.4166666666666667,0.45646766169154224,0.47631273788317563,0.47631273788317563,2.285921540527269e-23,ok
AL_183,0.7319587628865979,0.8731343283582089,0.4166666666666667,0.45646766169154224,0.47631273788317563,0.47631273788317563,2.285921540527269e-23,ok
AL_2,0.884020618556701,0.9850746268656716,0.6583333333333333,0.3267412935323383,0.4716379327896739,0.4716379327896739,6.9553721852276e-23,ok
AL_6,0.884020618556701,0.9850746268656716,0.6583333333333333,0.3267412935323383,0.4716379327896739,0.4716379327896739,6.9553721852276e-23,ok
AL_5,0.884020618556701,0.9850746268656716,0.6583333333333333,0.3267412935323383,0.4716379327896739,0.4716379327896739,6.9553721852276e-23,ok
AL_4,0.884020618556701,0.9850746268656716,0.6583333333333333,0.3267412935323383,0.4716379327896739,0.4716379327896739,6.9553721852276e-23,ok
AL_3,0.884020618556701,0.9850746268656716,0.6583333333333333,0.3267412935323383,0.4716379327896739,0.4716379327896739,6.9553721852276e-23,ok
AL_1,0.884020618556701,0.9850746268656716,0.6583333333333333,0.3267412935323383,0.4716379327896739,0.4716379327896739,6.9553721852276e-23,ok
AL_253,0.7216494845360825,0.8582089552238806,0.4166666666666667,0.44154228855721395,0.45534380353211706,0.45534380353211706,2.9501235660168233e-21,ok
AL_250,0.7216494845360825,0.8582089552238806,0.4166666666666667,0.44154228855721395,0.45534380353211706,0.45534380353211706,2.9501235660168233e-21,ok
AL_251,0.7216494845360825,0.8582089552238806,0.4166666666666667,0.44154228855721395,0.45534380353211706,0.45534380353211706,2.9501235660168233e-21,ok
AL_242,0.6984536082474226,0.835820895522388,0.39166666666666666,0.44415422885572137,0.44731580686492467,0.44731580686492467,1.738492183749055e-20,ok
AL_241,0.6984536082474226,0.835820895522388,0.39166666666666666,0.44415422885572137,0.44731580686492467,0.44731580686492467,1.738492183749055e-20,ok
AL_223,0.6984536082474226,0.835820895522388,0.39166666666666666,0.44415422885572137,0.44731580686492467,0.44731580686492467,1.738492183749055e-20,ok
AL_243,0.6984536082474226,0.835820895522388,0.39166666666666666,0.44415422885572137,0.44731580686492467,0.44731580686492467,1.738492183749055e-20,ok
AL_224,0.6984536082474226,0.835820895522388,0.39166666666666666,0.44415422885572137,0.44731580686492467,0.44731580686492467,1.738492183749055e-20,ok
AL_225,0.6984536082474226,0.835820895522388,0.39166666666666666,0.44415422885572137,0.44731580686492467,0.44731580686492467,1.738492183749055e-20,ok
