col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_7,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_12,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_8,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_14,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_13,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_15,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_11,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_10,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_9,0.44587628865979384,0.6044776119402985,0.09166666666666666,0.5128109452736318,0.47684037908792776,0.47684037908792776,2.0139496009828383e-23,ok
AL_26,0.42783505154639173,0.582089552238806,0.08333333333333333,0.49875621890547267,0.4659247841253732,0.4659247841253732,2.648045472771396e-22,ok
CAT_1,0.42783505154639173,0.582089552238806,0.08333333333333333,0.49875621890547267,0.4659247841253732,0.4659247841253732,2.648045472771396e-22,ok
AL_305,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_313,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_311,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_310,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_308,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_306,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_298,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_304,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_302,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_301,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_300,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_315,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_297,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_296,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_314,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_323,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_317,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_318,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_319,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_321,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_322,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_325,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_326,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_327,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
AL_328,0.4896907216494845,0.6156716417910447,0.20833333333333334,0.40733830845771135,0.3766204344464563,0.3766204344464563,1.6007408170873443e-14,ok
