col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_1,0.8996929375639714,0.962308050255933,0.7276214833759591,0.2346865668799739,0.34552628127735735,0.34552628127735735,5.8307549894338115e-83,ok
AL_5,0.8996929375639714,0.962308050255933,0.7276214833759591,0.2346865668799739,0.34552628127735735,0.34552628127735735,5.8307549894338115e-83,ok
AL_6,0.8996929375639714,0.962308050255933,0.7276214833759591,0.2346865668799739,0.34552628127735735,0.34552628127735735,5.8307549894338115e-83,ok
AL_2,0.8996929375639714,0.962308050255933,0.7276214833759591,0.2346865668799739,0.34552628127735735,0.34552628127735735,5.8307549894338115e-83,ok
AL_4,0.8996929375639714,0.962308050255933,0.7276214833759591,0.2346865668799739,0.34552628127735735,0.34552628127735735,5.8307549894338115e-83,ok
AL_3,0.8996929375639714,0.962308050255933,0.7276214833759591,0.2346865668799739,0.34552628127735735,0.34552628127735735,5.8307549894338115e-83,ok
AL_27,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_38,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_37,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_35,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_33,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_32,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_31,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_30,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_29,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_28,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_36,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_34,0.9140225179119754,0.9664960446719404,0.7698209718670077,0.19667507280493268,0.31030178702459965,0.31030178702459965,1.9140353489079618e-66,ok
AL_19,0.6397134083930399,0.7282456956724058,0.39641943734015345,0.3318262583322524,0.3057030270634482,0.3057030270634482,1.9011145838125253e-64,ok
AL_23,0.6397134083930399,0.7282456956724058,0.39641943734015345,0.3318262583322524,0.3057030270634482,0.3057030270634482,1.9011145838125253e-64,ok
AL_16,0.6397134083930399,0.7282456956724058,0.39641943734015345,0.3318262583322524,0.3057030270634482,0.3057030270634482,1.9011145838125253e-64,ok
