col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_300,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_305,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_315,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_314,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_313,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_311,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_308,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_306,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_304,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_318,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_302,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_301,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_298,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_297,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_296,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_295,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_317,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_310,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_319,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_328,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_334,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_321,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_331,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_330,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_329,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_333,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_326,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_325,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_323,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_322,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_327,0.44319344933469806,0.5058166589111215,0.2710997442455243,0.2347169146655972,0.20897836128024305,0.20897836128024305,2.7800249188895763e-30,ok
AL_26,0.3701808256567724,0.4160074453234062,0.2442455242966752,0.17176192102673102,0.15733225073141327,0.15733225073141327,1.0571881403238625e-17,ok
CAT_1,0.3701808256567724,0.4160074453234062,0.2442455242966752,0.17176192102673102,0.15733225073141327,0.15733225073141327,1.0571881403238625e-17,ok
AL_132,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_139,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_138,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_136,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_135,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_133,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_127,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_130,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_129,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_126,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_124,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
AL_142,0.4930058000682361,0.5388552815262913,0.3670076726342711,0.17184760889202016,0.15202735852652072,0.15202735852652072,1.2824357164537872e-16,ok
