col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_184,0.6801075268817204,0.6645161290322581,0.7580645161290323,-0.09354838709677415,-0.07474450230688401,0.07474450230688401,0.15021248065069562,ok
AL_183,0.6801075268817204,0.6645161290322581,0.7580645161290323,-0.09354838709677415,-0.07474450230688401,0.07474450230688401,0.15021248065069562,ok
AL_41,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_57,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_45,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_46,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_47,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_48,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_49,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_50,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_51,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_52,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_53,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_54,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_55,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_56,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_59,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_58,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_43,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_60,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_61,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_62,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_63,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_64,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_65,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_66,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_67,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_68,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_69,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_70,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_44,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_71,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_42,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_40,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_39,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_73,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
AL_74,0.5806451612903226,0.5645161290322581,0.6612903225806451,-0.09677419354838701,-0.07308816827558581,0.07308816827558581,0.15948328996883407,ok
