config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
lightgbm_full_fe_multi_panel,lightgbm,full_fe,multi_panel,All,0.43999999999999984,0.6585858585858586,0.6940206852886858,3429,858,1533,0.6966666666666667,0.8721127887211279,0.7649083487223629,0.540239751811904,0.6411042944785276,0.7627737226277372,0.7996575342465754,0.7812156284371563,0.5354601489802233,589.4296624660492
lightgbm_full_fe_single_General,lightgbm,full_fe,single_panel,General,0.29999999999999993,0.45,0.6754967397169794,2524,632,1529,0.6636971046770601,0.8381270903010033,0.6861180850752537,0.4934963506520576,0.5866141732283464,0.764102564102564,0.7597254004576659,0.761913982280115,0.483335859843645,743.3600976467133
lightgbm_full_fe_single_Hereditary_Cancer,lightgbm,full_fe,single_panel,Hereditary_Cancer,0.5199999999999998,0.7407407407407407,0.7504094627448448,572,143,1529,0.759493670886076,0.9186390532544377,0.7761342562661848,0.6678286798506545,0.75,0.7692307692307693,0.9038461538461539,0.8365384615384616,0.6677265500794912,170.36070656776428
lightgbm_full_fe_single_PAH,lightgbm,full_fe,single_panel,PAH,0.3899999999999999,0.45,0.6709166196122718,259,65,1529,0.5614035087719298,0.6525974025974026,0.5492303107349534,0.2891559312493344,0.4444444444444444,0.7619047619047619,0.5454545454545454,0.6536796536796536,0.2590059279525764,146.3268859386444
xgboost_full_fe_multi_panel,xgboost,full_fe,multi_panel,All,0.5399999999999998,0.6795580110497238,0.6722059912019378,3429,858,1533,0.6878787878787879,0.854558294170583,0.7050359093352396,0.5212588113406039,0.5880829015544041,0.8284671532846716,0.7277397260273972,0.7781034396560345,0.5017702507667329,4633.818657398224
xgboost_full_fe_single_General,xgboost,full_fe,single_panel,General,0.5099999999999998,0.6365503080082136,0.6523324952192014,2524,632,1529,0.6394849785407726,0.8281992606935398,0.6532729851554018,0.4525802236272728,0.5498154981549815,0.764102564102564,0.7208237986270023,0.7424631813647832,0.4376926417472541,3720.1473474502563
xgboost_full_fe_single_Hereditary_Cancer,xgboost,full_fe,single_panel,Hereditary_Cancer,0.5399999999999998,0.7640449438202247,0.7339281180338433,572,143,1529,0.775,0.9125986193293887,0.711079702060964,0.6881115673297014,0.7560975609756098,0.7948717948717948,0.9038461538461539,0.8493589743589743,0.6876971608832807,3218.793780565262
xgboost_full_fe_single_PAH,xgboost,full_fe,single_panel,PAH,0.4299999999999998,0.375,0.6831354102365204,259,65,1529,0.5454545454545454,0.6493506493506493,0.5387038944593157,0.3143633444497451,0.5217391304347826,0.5714285714285714,0.75,0.6607142857142857,0.31362196409714893,3069.231196641922
nn_full_fe_multi_panel,nn,full_fe,multi_panel,All,0.4999999999999998,0.6121495327102804,0.6144637300603853,3429,858,1533,0.6121495327102804,0.765604689531047,0.5748259824383974,0.4074756153298292,0.45017182130584193,0.9562043795620438,0.4520547945205479,0.7041295870412959,0.31444579217928725,530.3452370166779
nn_full_fe_single_General,nn,full_fe,single_panel,General,0.4999999999999998,0.5923566878980892,0.5896205254620699,2524,632,1529,0.5923566878980892,0.7408789532359327,0.49703864594380603,0.38647595366419724,0.4295612009237875,0.9538461538461539,0.43478260869565216,0.6943143812709031,0.2904668765842492,574.035769701004
