config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
lightgbm_no_fe_multi_panel,lightgbm,no_fe,multi_panel,All,0.5299999999999998,0.6943164362519201,0.6943073327017271,3429,858,534,0.7096774193548387,0.8719315568443156,0.7708502825338743,0.5580457235583479,0.6358381502890174,0.8029197080291971,0.7842465753424658,0.7935831416858314,0.5488853577604338,892.581463098526
lightgbm_no_fe_single_General,lightgbm,no_fe,single_panel,General,0.3999999999999998,0.6575963718820862,0.6720243601665589,2524,632,530,0.659877800407332,0.8495687378982574,0.7001906397841423,0.4851590047235913,0.5472972972972973,0.8307692307692308,0.6933638443935927,0.7620665375814117,0.45839320169136666,656.6799159049988
lightgbm_no_fe_single_Hereditary_Cancer,lightgbm,no_fe,single_panel,Hereditary_Cancer,0.46999999999999986,0.7692307692307693,0.7538147368323024,572,143,530,0.7692307692307693,0.9285009861932939,0.7994888567265055,0.6795282142561355,0.6730769230769231,0.8974358974358975,0.8365384615384616,0.8669871794871795,0.6647314949201741,155.1819999217987
lightgbm_no_fe_single_PAH,lightgbm,no_fe,single_panel,PAH,0.14999999999999997,0.4375,0.6752619895801162,259,65,530,0.5,0.5865800865800865,0.5382089365487022,0.13346298691471978,0.3617021276595745,0.8095238095238095,0.3181818181818182,0.5638528138528138,0.09648405560098128,118.1079969406128
lightgbm_with_fe_multi_panel,lightgbm,with_fe,multi_panel,All,0.47999999999999976,0.7070707070707071,0.6976384749558269,3429,858,219,0.7079934747145188,0.8769185581441855,0.7694031538386665,0.556053284970387,0.640117994100295,0.791970802919708,0.791095890410959,0.7915333466653335,0.5485299045804892,394.7228002548218
lightgbm_with_fe_single_General,lightgbm,with_fe,single_panel,General,0.3899999999999999,0.6666666666666666,0.6769268768735865,2524,632,215,0.6823027718550106,0.850542744821921,0.6913032047437943,0.5216179206258567,0.583941605839416,0.8205128205128205,0.7391304347826086,0.7798216276477146,0.503197079367759,206.15100169181824
lightgbm_with_fe_single_Hereditary_Cancer,lightgbm,with_fe,single_panel,Hereditary_Cancer,0.23999999999999994,0.7160493827160493,0.7531533931533931,572,143,215,0.717391304347826,0.9058185404339251,0.7523306542270902,0.6029278668121223,0.6226415094339622,0.8461538461538461,0.8076923076923077,0.8269230769230769,0.5878962536023056,136.98400282859802
lightgbm_with_fe_single_PAH,lightgbm,with_fe,single_panel,PAH,0.2699999999999999,0.5294117647058824,0.6862941696962702,259,65,215,0.5531914893617021,0.6233766233766234,0.5431965017260565,0.3088988028763958,0.5,0.6190476190476191,0.7045454545454546,0.6617965367965368,0.3046357615894041,116.21300005912781
lightgbm_clean_multi_panel,lightgbm,clean,multi_panel,All,0.33999999999999986,0.4489795918367347,0.6140768153961188,3429,858,1056,0.5956834532374101,0.7619675532446756,0.6045832152957427,0.36281884579766427,0.4916864608076009,0.7554744525547445,0.6335616438356164,0.6945180481951805,0.3405451830132221,351.8119966983795
lightgbm_clean_single_General,lightgbm,clean,single_panel,General,0.23999999999999994,0.2601626016260163,0.5896138214718488,2524,632,1052,0.5938697318007663,0.7694654696943027,0.5660408455032356,0.3709204584575173,0.4740061162079511,0.7948717948717948,0.6064073226544623,0.7006395587631286,0.3379386680107128,275.0430028438568
lightgbm_clean_single_Hereditary_Cancer,lightgbm,clean,single_panel,Hereditary_Cancer,0.44999999999999984,0.55,0.6512369923166108,572,143,1052,0.6222222222222222,0.8091715976331362,0.5704493283285275,0.46189905698784783,0.5490196078431373,0.717948717948718,0.7788461538461539,0.7483974358974359,0.45321637426900585,159.91199922561646
lightgbm_clean_single_PAH,lightgbm,clean,single_panel,PAH,0.5099999999999998,0.5079365079365079,0.5789442673621172,259,65,1052,0.5245901639344263,0.6103896103896104,0.49756823886069396,0.20806259464411975,0.4,0.7619047619047619,0.45454545454545453,0.6082251082251082,0.17505470459518602,114.4419994354248
lightgbm_clean_fe_multi_panel,lightgbm,clean_fe,multi_panel,All,0.29999999999999993,0.5021834061135371,0.6123524770708826,3429,858,1499,0.5790172642762285,0.7572992700729928,0.6112553698600728,0.32737805629972194,0.4551148225469729,0.7956204379562044,0.553082191780822,0.6743513148685132,0.29093127414737907,405.1289932727814
lightgbm_clean_fe_single_General,lightgbm,clean_fe,single_panel,General,0.4299999999999998,0.5581395348837209,0.5952463387287817,2524,632,1495,0.6120689655172413,0.7741477439417943,0.5638798557112771,0.4087834080857497,0.5278810408921933,0.7282051282051282,0.7093821510297483,0.7187936396174383,0.39597956864785655,329.83900356292725
lightgbm_clean_fe_single_Hereditary_Cancer,lightgbm,clean_fe,single_panel,Hereditary_Cancer,0.19999999999999996,0.5352112676056338,0.6496345351914508,572,143,1495,0.6206896551724138,0.8237179487179487,0.6533703808197477,0.472455591261534,0.4675324675324675,0.9230769230769231,0.6057692307692307,0.7644230769230769,0.4054054054054054,206.20699906349182
