model_type,panel,v1_best_f1,v2_clean_fe_f1,delta
dnn,All,0.6852713178294574,0.5617128463476071,-0.12355847148185028
dnn,General,0.6506024096385542,0.5250379362670713,-0.1255644733714829
dnn,Hereditary_Cancer,0.7551020408163265,0.6046511627906976,-0.15045087802562884
dnn,PAH,0.6666666666666666,0.547945205479452,-0.1187214611872146
lightgbm,All,0.7024029574861368,0.5790172642762285,-0.12338569320990833
lightgbm,General,0.6828087167070218,0.6120689655172413,-0.07073975118978049
lightgbm,Hereditary_Cancer,0.7901234567901234,0.6206896551724138,-0.1694338016177096
lightgbm,PAH,0.56,0.6037735849056604,0.0437735849056603
nn,All,0.6795827123695977,0.5627118644067797,-0.11687084796281799
nn,General,0.6454183266932271,0.5398373983739837,-0.10558092831924337
nn,Hereditary_Cancer,0.7524752475247525,0.5742574257425742,-0.17821782178217827
nn,PAH,0.5789473684210527,0.5316455696202531,-0.047301798800799544
xgboost,All,0.69,0.5796019900497512,-0.11039800995024873
xgboost,General,0.6681127982646421,0.5560975609756098,-0.11201523728903229
xgboost,Hereditary_Cancer,0.7727272727272727,0.6526315789473685,-0.12009569377990426
xgboost,PAH,0.5652173913043478,0.49382716049382713,-0.07139023081052065
