fold,model,panel,fe_mode,split,threshold,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,elapsed_sec,best_params
1,lightgbm,ALL,v3,cv,0.13999999999999999,0.9862433862433863,0.9950399968319342,0.9980619972816733,0.955804055843931,0.985200845665962,0.9872881355932204,0.9672897196261683,0.9772889276096943,0.9557985309132724,34.1,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
1,xgboost,ALL,v3,cv,0.24999999999999992,0.9852320675105485,0.9958122128940281,0.998327602280293,0.952303860419945,0.9810924369747899,0.989406779661017,0.9579439252336449,0.9736753524473309,0.9522151016996377,42.3,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}"
2,lightgbm,ALL,v3,cv,0.11,0.982010582010582,0.9961587201013781,0.9982344664558015,0.9422035252007255,0.9809725158562368,0.9830508474576272,0.9579439252336449,0.9704973863456361,0.9421980788865869,34.6,"{'n_estimators': 100, 'num_leaves': 127, 'learning_rate': 0.1}"
2,xgboost,ALL,v3,cv,0.30999999999999994,0.985200845665962,0.9960003168065896,0.9981521687557879,0.9523595456797307,0.9831223628691983,0.9872881355932204,0.9626168224299065,0.9749524790115635,0.9523374689826303,42.3,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}"
3,lightgbm,ALL,v3,cv,0.2699999999999999,0.9831223628691983,0.9957726120703311,0.997751784851731,0.9454768100672636,0.9789915966386554,0.9872881355932204,0.9532710280373832,0.9702795818153018,0.9453886876567289,34.5,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.05}"
3,xgboost,ALL,v3,cv,0.3599999999999999,0.9831223628691983,0.9964062252494852,0.9982773257299176,0.9454768100672636,0.9789915966386554,0.9872881355932204,0.9532710280373832,0.9702795818153018,0.9453886876567289,42.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1}"
4,lightgbm,ALL,v3,cv,0.8699999999999996,0.9851063829787234,0.9980001584032948,0.9991249792575299,0.9527878467374803,0.9893162393162394,0.9809322033898306,0.9766355140186916,0.9787838587042611,0.952700839210433,32.4,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
4,xgboost,ALL,v3,cv,0.5599999999999997,0.9872340425531915,0.9980001584032948,0.9991239332870481,0.9595454868075979,0.9914529914529915,0.9830508474576272,0.9813084112149533,0.9821796293362902,0.9594578621803711,42.3,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}"
5,lightgbm,ALL,v3,cv,0.7499999999999997,0.9840595111583422,0.9967971671838943,0.9985003674147045,0.9491448019089658,0.9872068230277186,0.9809322033898306,0.971830985915493,0.9763815946526617,0.949095611075606,32.4,"{'n_estimators': 50, 'num_leaves': 127, 'learning_rate': 0.1}"
5,xgboost,ALL,v3,cv,0.29999999999999993,0.9842271293375394,0.9973840216439882,0.9987982590217803,0.9487086784145056,0.9770354906054279,0.9915254237288136,0.9483568075117371,0.9699411156202753,0.948433947776512,42.5,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}"
holdout,lightgbm,ALL,v3,holdout,0.13999999999999999,0.9890664423885618,0.9989163292077796,0.9995009159200314,0.9645785196173342,0.9832775919732442,0.9949238578680203,0.9625468164794008,0.9787353371737105,0.9644012944983819,0.0,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
holdout,lightgbm,ALL,v3,holdout,0.13999999999999999,0.9890664423885618,0.9989163292077796,0.9995009159200314,0.9645785196173342,0.9832775919732442,0.9949238578680203,0.9625468164794008,0.9787353371737105,0.9644012944983819,0.0,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
holdout,lightgbm,ALL,v3,holdout,0.13999999999999999,0.9890664423885618,0.9989163292077796,0.9995009159200314,0.9645785196173342,0.9832775919732442,0.9949238578680203,0.9625468164794008,0.9787353371737105,0.9644012944983819,0.0,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}"
holdout,xgboost,ALL,v3,holdout,0.5599999999999997,0.9898648648648649,0.9986691762200803,0.9993847132835583,0.9673230399241239,0.9881956155143339,0.9915397631133672,0.9737827715355806,0.9826612673244739,0.9673086814882551,0.0,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}"
