label,thr_raw,thr_8020,f1_raw,f1_5050_8020thr,mcc_5050_8020thr,prec_5050,rec_5050,f1_8020_boot,f1_8020_std,f1_8020_ci_lo,f1_8020_ci_hi,mcc_8020_boot,auprc,fp,fn,tp,tn,floor_f1,gecti_mi_floor,train_f1,train_mcc,train_test_gap,panel,strategy,model,use_fe,n_flags,n_dropped,n_features,n_pool,n_test
MASTER/M1,0.4,0.52,0.8363109608884597,0.7911749615187276,0.4090001715157332,0.8821510297482837,0.7172093023255814,0.5164597462785674,0.026594599416711908,0.4727856031800899,0.5642857142857143,0.37778640796902674,0.9055182604756687,103,304,771,288,0.8461235733963007,False,0.653211009174312,0.40602601939802985,0.13675126289574457,MASTER,M1,balbag,False,0,0,288,652,1466
MASTER/M2,0.13,0.42,0.8343711083437111,0.7414829659318637,0.20631333049124276,0.8034744842562432,0.6883720930232559,0.3914721037971841,0.017085426074742845,0.35507157730348776,0.4147727272727273,0.18447894774981985,0.8393650796851713,181,335,740,210,0.8461235733963007,False,0.5745682888540031,0.2058111313089051,0.18309618505681902,MASTER,M2,balbag,False,0,281,7,652,1466
MASTER/M3,0.41,0.47,0.8334138097537421,0.8139650872817955,0.42929846484545225,0.8774193548387097,0.7590697674418605,0.5179044664239159,0.021158969339258146,0.4815079365079365,0.5616118989968869,0.38249136700495084,0.905079384314536,114,259,816,277,0.8461235733963007,False,0.6915254237288135,0.45266042069821466,0.17362095730489768,MASTER,M3,balbag,False,138,0,426,652,1466
MASTER/M4,0.16,0.3,0.8550662676357418,0.8362652232746955,0.33302159008891713,0.8117338003502627,0.8623255813953489,0.42497038668104226,0.013033561263899615,0.39989593663552375,0.4466501240694789,0.25661015090320083,0.8453999633656686,215,148,927,176,0.8461235733963007,False,0.6341463414634146,0.30903419660318227,0.2091759547823724,MASTER,M4,balbag,False,138,281,145,652,1466
MASTER/M5,0.44,0.55,0.823413674372848,0.7594799566630552,0.4189804283752827,0.9092088197146563,0.652093023255814,0.5505492747473797,0.031261208019097375,0.49478699551569505,0.6076489505169611,0.4244562676930652,0.9022771089882029,70,374,701,321,0.8461235733963007,False,0.6628571428571428,0.43567511549340526,0.11230786810976312,MASTER,M5,balbag,False,138,138,288,652,1466
MASTER/native_nan,0.41,0.41,0.8422575976845152,0.8422575976845152,0.46711347416622073,0.874749498997996,0.812093023255814,0.5262217905959988,0.020192434350671584,0.48013767571007115,0.5566343042071198,0.4003067081881283,0.9058751854706959,125,202,873,266,0.8461235733963007,False,0.722495894909688,0.5063487769374251,0.1962741043136892,MASTER,native_nan,balbag,False,0,0,288,652,1466
KANSER/M1,0.45,0.57,0.8992248062015504,0.8524590163934426,0.6229351884874952,0.9369369369369369,0.7819548872180451,0.6943340798103605,0.07187988112671122,0.5439784946236559,0.8108108108108109,0.6166014819938106,0.9503525645479058,7,29,104,53,0.8159509202453987,False,0.7052341597796143,0.5298570491082747,0.010900079969253795,KANSER,M1,catboost,True,0,0,292,1442,193
KANSER/M2,0.24,0.51,0.8581081081081081,0.8032786885245902,0.4870604572257662,0.8828828828828829,0.7368421052631579,0.5643600075778269,0.07083216509993039,0.41000000000000003,0.6666666666666666,0.44689717188698874,0.9083964711524009,13,35,98,47,0.8159509202453987,False,0.569502948609941,0.26907881733418365,0.005142941032114101,KANSER,M2,catboost,True,0,281,11,1442,193
KANSER/M3,0.35,0.51,0.9191176470588235,0.8862745098039215,0.671517124959086,0.9262295081967213,0.849624060150376,0.6900418279737164,0.05227266151909941,0.5882352941176471,0.7692307692307693,0.6137513333802378,0.9607264184609542,9,20,113,51,0.8159509202453987,False,0.7106420404573439,0.5225478447498121,0.020600212483627534,KANSER,M3,catboost,True,138,0,430,1442,193
KANSER/M4,0.27,0.46,0.8819444444444444,0.8787878787878788,0.6167175602391393,0.8854961832061069,0.8721804511278195,0.6112940850036709,0.03942074192911934,0.5365853658536586,0.6666666666666666,0.5220704801701774,0.9345891790120839,15,17,116,45,0.8159509202453987,False,0.6052009456264775,0.303452976548045,-0.006093139377193357,KANSER,M4,catboost,True,138,281,149,1442,193
KANSER/M5,0.31,0.51,0.9381818181818182,0.90625,0.727348022570249,0.943089430894309,0.8721804511278195,0.741792628763217,0.04793589599401047,0.625,0.8108108108108109,0.6786831206461986,0.9528265151054693,7,17,116,53,0.8159509202453987,False,0.7050487156775908,0.5157993557205287,-0.0367439130856263,KANSER,M5,catboost,True,138,138,292,1442,193
KANSER/native_nan,0.33,0.51,0.9163636363636364,0.9049429657794676,0.7022237240683873,0.9153846153846154,0.8947368421052632,0.6754526130752061,0.04314141609885814,0.5945945945945946,0.7317073170731707,0.6007026963109077,0.9618753330833042,11,14,119,49,0.8159509202453987,False,0.7167832167832168,0.5306555947020296,0.04133060370801067,KANSER,native_nan,catboost,True,0,0,292,1442,193
PAH/M1,0.14,0.74,0.9235474006116208,0.8771929824561403,0.4914312950815736,0.946969696969697,0.8169934640522876,0.5946966229803758,0.08364810609688998,0.42105263157894735,0.6956521739130435,0.4885409388597422,0.9448919071337776,7,28,125,24,0.9080118694362018,False,0.802071605494258,0.4852415083479052,0.2073749825138822,PAH,M1,balbag,False,0,0,288,3427,184
PAH/M2,0.16,0.55,0.9047619047619048,0.7985074626865671,0.3411687155751155,0.9304347826086956,0.6993464052287581,0.5026266852903009,0.08524729085200163,0.33473684210526317,0.6666666666666666,0.35673562534451037,0.9355570756968061,8,46,107,23,0.9080118694362018,False,0.7414104882459313,0.3142328357761404,0.2387838029556304,PAH,M2,balbag,False,0,281,7,3427,184
PAH/M3,0.26,0.67,0.9125,0.8972602739726028,0.5208577331023736,0.9424460431654677,0.8562091503267973,0.5882717861848297,0.06921308943125239,0.41714285714285715,0.6666666666666666,0.4839546950702333,0.9453286628700797,8,22,131,23,0.9080118694362018,False,0.8286835222319093,0.5097193620868709,0.24041173604707966,PAH,M3,balbag,False,138,0,426,3427,184
PAH/M4,0.2,0.56,0.8948948948948949,0.8088235294117647,0.3356453673179518,0.9243697478991597,0.7189542483660131,0.4960946219303198,0.08676265069141295,0.3,0.64,0.3482752023343048,0.9386916424786171,9,43,110,22,0.9080118694362018,False,0.7649544140538137,0.35172790005103993,0.2688597921234939,PAH,M4,balbag,False,138,281,145,3427,184
PAH/M5,0.22,0.67,0.9158878504672897,0.8865979381443299,0.477845682086464,0.9347826086956522,0.8431372549019608,0.5590648974214192,0.06284433178495265,0.45454545454545453,0.64,0.4441719096468279,0.9451143305728785,9,24,129,22,0.9080118694362018,False,0.8289387666158204,0.5101498983588446,0.26987386919440126,PAH,M5,balbag,False,138,138,288,3427,184
PAH/native_nan,0.21,0.74,0.9216300940438872,0.8692579505300353,0.4751955139465366,0.9461538461538461,0.803921568627451,0.5864692363319365,0.08666171951245155,0.3530701754385965,0.6956521739130435,0.47665662673894105,0.9414931313227264,7,30,123,24,0.9080118694362018,False,0.8159822419533851,0.5016757437692528,0.2295130056214486,PAH,native_nan,balbag,False,0,0,288,3427,184
CFTR/M1,0.33,0.87,0.9318181818181818,0.75,0.477059961531621,1.0,0.6,0.7019999999999998,0.25257870060636545,0.0,1.0,0.7032893237501896,0.9893825348937682,0,18,27,11,0.8910891089108911,False,0.7987513007284079,0.4735606788470791,0.0967513007284081,CFTR,M1,lgbm,False,0,0,288,3685,56
CFTR/M2,0.13,0.57,0.9072164948453608,0.759493670886076,0.24651188388483655,0.8823529411764706,0.6666666666666666,0.43866666666666665,0.14399485587519617,0.25,0.6,0.25980974617563685,0.9403855634983415,4,15,30,7,0.8910891089108911,False,0.7559709241952233,0.3412974925443747,0.3173042575285566,CFTR,M2,lgbm,False,0,281,7,3685,56
CFTR/M3,0.3,0.83,0.9318181818181818,0.75,0.477059961531621,1.0,0.6,0.6859999999999999,0.2306599228301267,0.11250000000000004,1.0,0.6901414049142818,0.9877883952604608,0,18,27,11,0.8910891089108911,False,0.8252056993778848,0.4891955455959823,0.13920569937788485,CFTR,M3,lgbm,False,138,0,426,3685,56
CFTR/M4,0.16,0.54,0.9263157894736842,0.8,0.35976048897510887,0.9142857142857143,0.7111111111111111,0.5242857142857142,0.14113967607751304,0.2857142857142857,0.6666666666666666,0.3869141764671992,0.9617327893669383,3,13,32,8,0.8910891089108911,False,0.7982525814138205,0.3840584358192368,0.27396686712810625,CFTR,M4,lgbm,False,138,281,145,3685,56
CFTR/M5,0.35,0.84,0.9302325581395349,0.7671232876712328,0.4944132324730442,1.0,0.6222222222222222,0.7539999999999999,0.2523568901377571,0.0,1.0,0.7508285616037572,0.9910747528131523,0,17,28,11,0.8910891089108911,False,0.8172217709179529,0.4851884665290249,0.063221770917953,CFTR,M5,lgbm,False,138,138,288,3685,56
