base__hugo,n,n_pathogenic,prevalence,n_benign
FBN1,569,545,0.9578207381370826,24
LDLR,506,493,0.974308300395257,13
PAH,405,404,0.9975308641975309,1
TTN,336,9,0.026785714285714284,327
BRCA1,335,151,0.4507462686567164,184
GCK,301,293,0.973421926910299,8
BRCA2,289,81,0.28027681660899656,208
ABCA4,279,267,0.956989247311828,12
SCN1A,274,253,0.9233576642335767,21
NF1,273,258,0.945054945054945,15
TP53,272,199,0.7316176470588235,73
KMT2D,249,24,0.0963855421686747,225
GLA,238,234,0.9831932773109243,4
USH2A,222,135,0.6081081081081081,87
COL4A5,218,191,0.8761467889908257,27
ALPL,201,196,0.9751243781094527,5
MYH7,197,185,0.9390862944162437,12
COL1A2,186,175,0.9408602150537635,11
MECP2,186,67,0.3602150537634409,119
RYR1,180,133,0.7388888888888889,47
CFTR,178,175,0.9831460674157303,3
PTEN,175,169,0.9657142857142857,6
GAA,172,152,0.8837209302325582,20
TSC2,171,64,0.3742690058479532,107
MSH2,169,113,0.6686390532544378,56
MLH1,161,131,0.8136645962732919,30
NOTCH3,155,109,0.7032258064516129,46
COL3A1,146,133,0.910958904109589,13
HNF1A,145,114,0.7862068965517242,31
ATP7B,145,134,0.9241379310344827,11
FLG,144,0,0.0,144
KCNQ1,139,130,0.935251798561151,9
COL7A1,135,100,0.7407407407407407,35
COL1A1,133,119,0.8947368421052632,14
DNAH11,131,5,0.03816793893129771,126
DMD,131,7,0.05343511450381679,124
ANKRD11,129,7,0.05426356589147287,122
KCNQ2,126,114,0.9047619047619048,12
KAT6A,124,1,0.008064516129032258,123
NSD1,122,30,0.2459016393442623,92
KMT2C,122,0,0.0,122
OBSCN,122,0,0.0,122
F8,119,102,0.8571428571428571,17
SLC26A4,118,104,0.8813559322033898,14
IDS,118,101,0.8559322033898306,17
PKD1,116,36,0.3103448275862069,80
CACNA1E,116,6,0.05172413793103448,110
COL2A1,114,101,0.8859649122807017,13
VWF,113,84,0.7433628318584071,29
SCN2A,111,97,0.8738738738738738,14
