,0
ditto__score,0.9968409504826496
metarnn__score,0.9960179857547666
metarnn__rank_score,0.9960179074631244
cardioboost__arrhythmias,0.9956675508399646
clinpred__rankscore,0.9943857773832483
clinpred__score,0.9943857773832483
bayesdel__bayesdel_addAF_rankscore,0.9929262479979828
bayesdel__bayesdel_addAF_score,0.9929262474206917
brca1_func_assay__score,0.9808270676691729
revel__score,0.9763199098007228
revel__rankscore,0.9763199098007227
bayesdel__bayesdel_noAF_score,0.9747595016304896
bayesdel__bayesdel_noAF_rankscore,0.9747595010531986
gmvp__score,0.9691978830553757
gmvp__rank_score,0.969197877517762
vest__score,0.9685057511909644
vest__pval,0.9685003668894713
mistic__score,0.9660454055008709
varity_r__varity_r,0.9644915614387503
varity_r__varity_r_loo,0.9604711712635365
arrvars__lqt_penetrance,0.9603174603174603
gnomad4__af,0.9599361047314837
gnomad4__ac,0.9595023450630483
alphamissense__am_pathogenicity,0.9591572657269737
varity_r__varity_er,0.9546475627822905
allofus250k__gvs_max_af,0.9544136045939705
varity_r__varity_er_loo,0.9536554186255622
mutpred2__score,0.9531450720270171
mutpred2__rankscore,0.9531450708701865
gnomad__af,0.9522926989253746
cardioboost__cardiomyopathy,0.9498939043209876
metasvm__rankscore,0.949580342038997
metasvm__score,0.9495803373879882
mutpred1__mutpred_general_score,0.9493620589654063
mutpred1__mutpred_rankscore,0.9493620589654063
metalr__rankscore,0.9489835112251932
metalr__score,0.9489835112251932
gnomad4__af_rem,0.9483877691542814
regeneron__ALL_AF,0.9481551089110523
allofus250k__gvs_all_af,0.9472575400241665
regeneron__ALL_AC,0.9471615495503571
gnomad4__ac_rem,0.947076700720678
allofus250k__gvs_all_ac,0.9470676570789951
gnomad3__af,0.935708008196043
thousandgenomes__af,0.9301981564895335
allofus250k__gvs_oth_af,0.9246304988114742
allofus250k__gvs_oth_ac,0.9243698190307682
esm1b__score,0.923805318576641
esm1b__rankscore,0.9238053179308215
allofus250k__gvs_max_ac,0.9212389252800004
cadd_exome__score,0.9209927846984223
cadd_exome__phred,0.9209826559265732
cadd__score,0.920948190570047
cadd__phred,0.9209381580186926
gnomad__af_afr,0.9196393604663644
fathmm_xf__score,0.9155366276482015
fathmm_xf_coding__fathmm_xf_coding_rankscore,0.9152602312671849
fathmm_xf_coding__fathmm_xf_coding_score,0.915260162970342
gnomad4__af_amr,0.9100825611784271
gnomad4__ac_amr,0.9094416286088892
provean__rankscore,0.9085202765600631
provean__score,0.9085202729611899
eve__rank_score,0.9072298990777814
eve__score,0.9072298971917809
gnomad4__ac_afr,0.9065514923928443
gnomad4__af_afr,0.9061599152609487
polyphen2__hvar_rank,0.9024159772851323
