,0
ditto__score,340
mutpred1__external_protein_id,179
gnomad__af,171
primateai__primateai_score,134
metarnn__score,131
swissprot_domains__domain,123
alphamissense__am_pathogenicity,117
vest__score,106
metarnn__rank_score,103
allofus250k__gvs_max_af,101
mutpred1__mutpred_general_score,99
gmvp__score,98
revel__score,92
regeneron__ALL_AN,87
mistic__score,76
regeneron__ALL_AF,72
ncer__score,66
vest__pval,65
sift__seqs,65
bayesdel__bayesdel_addAF_score,64
cscape__score,60
primateai__primateai_rankscore,60
mutation_assessor__score,57
dann__score,56
bayesdel__bayesdel_addAF_rankscore,53
clinpred__score,51
allofus250k__gvs_max_an,51
chasmplus_UCEC__pval,51
polyphen2__hvar_rank,47
fitcons__fitcons_coding_score,46
phylop__phylop100_vert,45
varity_r__varity_r,44
eve__score,42
gnomad__af_sas,42
ensembl_regulatory_build__ensr,41
gmvp__rank_score,41
gnomad3__af,40
varity_r__varity_er_loo,37
sift__med,37
regeneron__ALL_AC,35
hg19__chrom,34
base__exonno,34
phylop__phylop470_mamm,33
varity_r__varity_r_loo,32
genehancer__ident,31
metalr__score,31
varity_r__varity_er,31
phastcons__phastcons17way_primate,31
chasmplus_PRAD__pval,31
esm1b__score,30
lrt__lrt_omega,30
chasmplus_SKCM__pval,30
metasvm__score,30
provean__score,28
allofus250k__gvs_eur_an,28
polyphen2__hdiv_rank,27
fathmm_xf__score,27
spliceai__ds_dg,27
alfa__total_freq,27
hg19__pos,27
gnomad__af_amr,26
allofus250k__gvs_all_ac,26
esm1b__rankscore,25
fathmm_xf_coding__fathmm_xf_coding_score,25
genocanyon__score,25
gnomad__af_fin,24
phdsnpg__fdr,24
chasmplus_LGG__pval,24
fathmm_mkl__fathmm_mkl_coding_score,24
phdsnpg__score,24
gnomad__af_afr,23
provean__rankscore,23
base__gposend,22
chasmplus_HNSC__pval,22
chasmplus_LUSC__pval,22
phylop__phylop17_primate,21
gerp__gerp_rs,21
interpro__domain,21
chasmplus_KIRC__pval,21
siphy__logodds_rank,21
allofus250k__gvs_max_ac,21
gnomad__af_nfe,20
dbscsnv__rf_score,20
segway__mean_score,20
allofus250k__gvs_all_an,20
gwas_catalog__pmid,20
fathmm_mkl__fathmm_mkl_group,20
mutpred2__rankscore,19
chasmplus__pval,19
allofus250k__gvs_afr_ac,18
