,auc,category
ditto__score,0.9968409504826496,meta_predictor
metarnn__score,0.9960179857547666,meta_predictor
metarnn__rank_score,0.9960179074631244,meta_predictor
cardioboost__arrhythmias,0.9956675508399646,UNKNOWN_INVESTIGATE
clinpred__rankscore,0.9943857773832484,meta_predictor
clinpred__score,0.9943857773832484,meta_predictor
bayesdel__bayesdel_addAF_rankscore,0.9929262479979828,meta_predictor
bayesdel__bayesdel_addAF_score,0.9929262474206916,meta_predictor
brca1_func_assay__score,0.9808270676691728,functional_assay
revel__score,0.9763199098007228,meta_predictor
revel__rankscore,0.9763199098007228,meta_predictor
bayesdel__bayesdel_noAF_score,0.9747595016304896,meta_predictor
bayesdel__bayesdel_noAF_rankscore,0.9747595010531986,meta_predictor
gmvp__score,0.9691978830553756,meta_predictor
gmvp__rank_score,0.969197877517762,meta_predictor
vest__score,0.9685057511909644,meta_predictor
vest__pval,0.9685003668894712,meta_predictor
mistic__score,0.9660454055008708,meta_predictor
varity_r__varity_r,0.9644915614387504,meta_predictor
varity_r__varity_r_loo,0.9604711712635364,meta_predictor
arrvars__lqt_penetrance,0.9603174603174603,functional_assay
gnomad4__af,0.9599361047314836,population_freq
gnomad4__ac,0.9595023450630484,population_freq
alphamissense__am_pathogenicity,0.9591572657269736,meta_predictor
varity_r__varity_er,0.9546475627822903,meta_predictor
allofus250k__gvs_max_af,0.9544136045939704,population_freq
varity_r__varity_er_loo,0.9536554186255622,meta_predictor
mutpred2__score,0.9531450720270171,meta_predictor
mutpred2__rankscore,0.9531450708701864,meta_predictor
gnomad__af,0.9522926989253746,population_freq
