,0
ditto__score,4.41476412734913
metarnn__score,1.2462006461461532
allofus250k__gvs_max_af,0.771110625611075
gnomad__af,0.7607687431849172
metarnn__rank_score,0.6779440518061227
mistic__score,0.618236690890167
alphamissense__am_pathogenicity,0.5511660800736196
vest__pval,0.4225869797621544
flank_seq__ref_seq,0.42028866035654044
bayesdel__bayesdel_addAF_score,0.39870130670728277
bayesdel__bayesdel_addAF_rankscore,0.354236494912398
gmvp__score,0.3466987230876274
gnomad__af_sas,0.34295149123038116
vest__score,0.34194244567831306
dbsnp__rsid,0.2993721503245595
clinpred__score,0.2954952701952892
gmvp__rank_score,0.2855322891733911
mutpred1__mutpred_general_score,0.27736980966555086
allofus250k__gvs_oth_af,0.20580075755746421
primateai__primateai_rankscore,0.19219908432049515
regeneron__ALL_AF,0.18419641684964094
revel__score,0.18383586767115084
metalr__score,0.18216322893947776
primateai__primateai_score,0.17110559225748745
hg19__chrom,0.16297039842284466
allofus250k__gvs_afr_af,0.16031294682232555
chasmplus_HNSC__pval,0.15203491252144508
gnomad3__af_oth,0.1517725941179539
eve__all_annotations,0.14835697065962353
allofus250k__gvs_sas_af,0.14370234484117944
