panel,model,fe_mode,threshold,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,elapsed_sec,best_params,n_train,n_test
General,lightgbm,v3_no_insil,0.19999999999999996,0.9465478841870824,0.9674118406383853,0.9825175945767262,0.8192080285317811,0.9219088937093276,0.9725400457665904,0.8153846153846154,0.8939623305756028,0.815723293362977,23.8,"{'n_estimators': 100, 'num_leaves': 127, 'learning_rate': 0.1}",2524,632
General,xgboost,v3_no_insil,0.23999999999999994,0.9486607142857143,0.9685501378865223,0.9850785004120961,0.8268563276513949,0.9259259259259259,0.9725400457665904,0.8256410256410256,0.8990905357038079,0.8239191791939724,40.9,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",2524,632
General,nn,v3_no_insil,0.3599999999999999,0.8814317673378076,0.8813178431027401,0.933814413989664,0.5971768469618112,0.862144420131291,0.9016018306636155,0.676923076923077,0.7892624537933463,0.5954345069146687,131.0,"{'dropout': 0.2, 'lr': 0.001}",2524,632
General,dnn,v3_no_insil,0.48999999999999977,0.888641425389755,0.8818517866572786,0.9339894218367333,0.618722105578767,0.8655097613882863,0.9130434782608695,0.6820512820512821,0.7975473801560757,0.6160901945062021,46.8,"{'n_layers': 4, 'hidden_dim': 512, 'dropout': 0.3, 'lr': 0.001}",2524,632
General,svm,v3_no_insil,0.46999999999999986,0.8954895489548955,0.896027694654697,0.9436439421226992,0.6352437553888687,0.8622881355932204,0.931350114416476,0.6666666666666666,0.7990083905415712,0.6292911830081502,149.2,"{'C': 10, 'gamma': 'scale'}",2524,632
Hereditary_Cancer,lightgbm,v3_no_insil,0.6299999999999997,0.9361702127659575,0.9810250391236307,0.9822490775526473,0.8741929339700124,0.9428571428571428,0.9295774647887324,0.9444444444444444,0.9370109546165883,0.8741074048713685,8.5,"{'n_estimators': 50, 'num_leaves': 63, 'learning_rate': 0.1}",572,143
Hereditary_Cancer,xgboost,v3_no_insil,0.6999999999999996,0.9343065693430657,0.9806338028169015,0.9809273835807765,0.8762054815538762,0.9696969696969697,0.9014084507042254,0.9722222222222222,0.9368153364632238,0.8740581270182992,28.6,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05}",572,143
Hereditary_Cancer,nn,v3_no_insil,0.4999999999999998,0.8413793103448276,0.8865414710485132,0.8930829387693294,0.6789979639969664,0.8243243243243243,0.8591549295774648,0.8194444444444444,0.8392996870109546,0.6784003128972329,23.1,"{'dropout': 0.3, 'lr': 0.001}",572,143
Hereditary_Cancer,dnn,v3_no_insil,0.5599999999999997,0.8592592592592593,0.9017996870109546,0.9063776731774387,0.7376193694548996,0.90625,0.8169014084507042,0.9166666666666666,0.8667840375586855,0.7340706665361653,7.4,"{'n_layers': 3, 'hidden_dim': 512, 'dropout': 0.3, 'lr': 0.001}",572,143
Hereditary_Cancer,svm,v3_no_insil,0.3699999999999999,0.88,0.9235133020344287,0.9256918810408857,0.7531585508380828,0.8354430379746836,0.9295774647887324,0.8194444444444444,0.8745109546165883,0.748436278342455,6.8,"{'C': 1, 'gamma': 'auto'}",572,143
