panel,model,fe_mode,threshold,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,elapsed_sec,best_params,n_train,n_test
General,lightgbm,v3_with_insil,0.21999999999999995,0.9783845278725825,0.9960218271431086,0.9982095408883358,0.9292011480448228,0.9728506787330317,0.9839816933638444,0.9384615384615385,0.9612216159126914,0.9290391206713154,30.7,"{'n_estimators': 100, 'num_leaves': 63, 'learning_rate': 0.05}",2524,632
General,xgboost,v3_with_insil,0.46999999999999986,0.9781859931113662,0.9956463064014551,0.9980627848767534,0.929898839096139,0.9815668202764977,0.9748283752860412,0.958974358974359,0.9669013671302,0.9298417817663418,40.6,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",2524,632
General,nn,v3_with_insil,0.45999999999999985,0.9611872146118722,0.9727982162764772,0.9831884915691067,0.8735839997698042,0.958997722095672,0.9633867276887872,0.9076923076923077,0.9355395176905474,0.873559836653996,209.5,"{'dropout': 0.2, 'lr': 0.001}",2524,632
General,dnn,v3_with_insil,0.48999999999999977,0.9533560864618885,0.9786129202605175,0.9900676668347035,0.8470215894715891,0.9479638009049773,0.9588100686498856,0.882051282051282,0.9204306753505838,0.8468738919749439,43.4,"{'n_layers': 4, 'hidden_dim': 512, 'dropout': 0.3, 'lr': 0.001}",2524,632
General,svm,v3_with_insil,0.6199999999999998,0.9667812142038946,0.9829255412779441,0.9909682316280847,0.8926188507919373,0.9678899082568807,0.965675057208238,0.9282051282051282,0.9469400927066831,0.8926127308521609,142.4,"{'C': 10, 'gamma': 'scale'}",2524,632
Hereditary_Cancer,lightgbm,v3_with_insil,0.7399999999999997,0.9726027397260274,0.9923708920187793,0.9915503197453023,0.9455549027285904,0.9466666666666667,1.0,0.9444444444444444,0.9722222222222222,0.9440750879937426,10.3,"{'n_estimators': 50, 'num_leaves': 63, 'learning_rate': 0.1}",572,143
Hereditary_Cancer,xgboost,v3_with_insil,0.48999999999999977,0.9659863945578231,0.9918818466353677,0.9911908265922825,0.9323812499839522,0.9342105263157895,1.0,0.9305555555555556,0.9652777777777778,0.9301006941049956,29.9,"{'n_estimators': 50, 'max_depth': 4, 'learning_rate': 0.05}",572,143
Hereditary_Cancer,nn,v3_with_insil,0.5599999999999997,0.9251700680272109,0.9757433489827856,0.9749568230482157,0.8482964157936821,0.8947368421052632,0.9577464788732394,0.8888888888888888,0.9233176838810642,0.8462215270309903,23.6,"{'dropout': 0.3, 'lr': 0.0003}",572,143
Hereditary_Cancer,dnn,v3_with_insil,0.5899999999999997,0.9271523178807947,0.9714397496087638,0.9681291443369769,0.8530553392535556,0.875,0.9859154929577465,0.8611111111111112,0.9235133020344288,0.8462816378383661,7.2,"{'n_layers': 4, 'hidden_dim': 256, 'dropout': 0.3, 'lr': 0.001}",572,143
Hereditary_Cancer,svm,v3_with_insil,0.5799999999999997,0.9295774647887324,0.9773082942097027,0.9758968193434321,0.860133020344288,0.9295774647887324,0.9295774647887324,0.9305555555555556,0.9300665101721439,0.860133020344288,7.2,"{'C': 1, 'gamma': 'auto'}",572,143
