config,balance,missing,meta,n_features,n_cat_cols,n_train,n_test,meta_threshold,redundant_dropped,train_f1,train_auc_roc,train_auc_pr,train_mcc,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_cohens_kappa,meta_f1,meta_auc_roc,meta_auc_pr,meta_mcc,meta_precision,meta_recall,meta_specificity,meta_balanced_accuracy,meta_cohens_kappa,base_oof_f1_catboost,base_test_f1_catboost,base_oof_f1_lightgbm,base_test_f1_lightgbm,base_oof_f1_logreg_l1,base_test_f1_logreg_l1,base_oof_f1_mlp3,base_test_f1_mlp3,base_oof_f1_deep_mlp,base_test_f1_deep_mlp,base_oof_f1_knn,base_test_f1_knn
B1_M1,B1,M1,LR,287,7,2344,587,0.18999999999999995,64,0.8921993499458288,0.851129726585224,0.9289017076032758,0.5288430531852739,0.8347693867207299,0.9581151832460733,0.4784,0.7182575916230366,0.5013496365869641,0.8942202835332607,0.863620204414161,0.9360463446528455,0.5451806575095899,0.8418891170431212,0.9534883720930233,0.5095541401273885,0.7315212561102059,0.5233594789844214,0.8869613878007835,0.896551724137931,0.8813008130081301,0.8945054945054945,0.8740978348035284,0.8779443254817987,0.8609198567887634,0.8732984293193717,0.8586470123716767,0.8680412371134021,0.8378672470076169,0.8366013071895425
B1_M1,B1,M1,LightGBM,287,7,2344,587,0.24999999999999992,64,0.9032786885245901,0.9096390924956369,0.9648424240401181,0.5869239334502963,0.8516228748068007,0.9616055846422339,0.5392,0.750402792321117,0.5646236230784487,0.893523600439078,0.8484150496222782,0.9241233365280863,0.5467783331677365,0.8461538461538461,0.9465116279069767,0.5286624203821656,0.7375870241445712,0.5298066838980321,0.8869613878007835,0.896551724137931,0.8813008130081301,0.8945054945054945,0.8740978348035284,0.8779443254817987,0.8609198567887634,0.8732984293193717,0.8586470123716767,0.8680412371134021,0.8378672470076169,0.8366013071895425
B1_M3,B1,M3,LR,309,7,2344,587,0.19999999999999996,393,0.894406548431105,0.8557291448516579,0.9292594996093524,0.5444431564186305,0.84224049331963,0.9534613147178592,0.5088,0.7311306573589296,0.5226677162636312,0.8930540242557883,0.8635831728632796,0.9296950056184743,0.5481645350084031,0.8490566037735849,0.9418604651162791,0.5414012738853503,0.7416308695008147,0.5340087896619172,0.8869613878007835,0.896551724137931,0.8858150257662056,0.8938053097345132,0.8842681258549931,0.8837719298245614,0.8720836685438456,0.8564760793465578,0.865323435843054,0.8740740740740741,0.8504446240905417,0.8586839266450917
B1_M3,B1,M3,LightGBM,309,7,2344,587,0.2799999999999999,393,0.90944229707344,0.9043802210587552,0.9614037121269653,0.6206230649672039,0.8654755648975302,0.9581151832460733,0.5904,0.7742575916230366,0.605211727722452,0.890625,0.8504147533698712,0.9164450155375652,0.5483663681777792,0.8562231759656652,0.9279069767441861,0.5732484076433121,0.750577692193749,0.5404977953862866,0.8869613878007835,0.896551724137931,0.8858150257662056,0.8938053097345132,0.8842681258549931,0.8837719298245614,0.8720836685438456,0.8564760793465578,0.865323435843054,0.8740740740740741,0.8504446240905417,0.8586839266450917
B1_M5,B1,M5,LR,172,7,2344,587,0.16999999999999998,367,0.893491124260355,0.8538126817917394,0.9272475668676079,0.5310313733776078,0.8309154577288644,0.9662594531704479,0.4592,0.7127297265852239,0.496195784914488,0.8937568455640745,0.8668123241001333,0.9307581036685775,0.5461787077603025,0.84472049689441,0.9488372093023256,0.5222929936305732,0.7355651014664495,0.5276770827284718,0.8810307017543859,0.8998899889988999,0.8856128856128856,0.8962472406181016,0.8864628820960698,0.8888888888888888,0.8726673984632273,0.8727678571428571,0.8700351256417185,0.8799149840595112,0.8517699115044248,0.8533627342888643
B1_M5,B1,M5,LightGBM,172,7,2344,587,0.29999999999999993,367,0.905416783609318,0.9030380453752183,0.9589368679286601,0.6139364102248765,0.8747288503253796,0.9383362420011635,0.6304,0.7843681210005817,0.6073916500994037,0.8741258741258742,0.8503777218189899,0.9246190850843496,0.5323805848166832,0.8761682242990654,0.872093023255814,0.6624203821656051,0.7672567027107096,0.5323606213947449,0.8810307017543859,0.8998899889988999,0.8856128856128856,0.8962472406181016,0.8864628820960698,0.8888888888888888,0.8726673984632273,0.8727678571428571,0.8700351256417185,0.8799149840595112,0.8517699115044248,0.8533627342888643
B2_M1,B2,M1,LR,287,7,1250,587,0.3799999999999999,64,0.7893569844789357,0.84290688,0.8326413059718585,0.5515412205726979,0.7335164835164835,0.8544,0.6896,0.772,0.544,0.8738317757009346,0.8524588949785219,0.9264132609844856,0.534316017833615,0.8779342723004695,0.8697674418604651,0.6687898089171974,0.7692786253888313,0.5342365111084989,0.780377358490566,0.8608799048751486,0.7635850388143967,0.8683602771362586,0.7340425531914894,0.822360248447205,0.7034700315457413,0.8253588516746412,0.6839032527105922,0.7017045454545454,0.6451104100946372,0.7581699346405228
B2_M1,B2,M1,LightGBM,287,7,1250,587,0.3999999999999998,64,0.8297397769516729,0.91026944,0.9140778261846574,0.6410486691557944,0.775,0.8928,0.7408,0.8168,0.6335999999999999,0.8680142687277052,0.8324618575025922,0.9090642112516059,0.5369815968902604,0.8880778588807786,0.8488372093023255,0.7070063694267515,0.7779217893645385,0.535279978888358,0.780377358490566,0.8608799048751486,0.7635850388143967,0.8683602771362586,0.7340425531914894,0.822360248447205,0.7034700315457413,0.8253588516746412,0.6839032527105922,0.7017045454545454,0.6451104100946372,0.7581699346405228
B2_M3,B2,M3,LR,309,7,1250,587,0.34999999999999987,393,0.7930785868781542,0.8474368,0.8347849330604515,0.5542801216449321,0.7217847769028871,0.88,0.6608,0.7704,0.5408,0.8802736602052451,0.8560509554140128,0.9275582777649641,0.5288140309678858,0.8635346756152126,0.8976744186046511,0.6114649681528662,0.7545696933787587,0.5272628260686154,0.780377358490566,0.8608799048751486,0.7572209211553473,0.8322981366459627,0.7553107789142408,0.8454882571075402,0.7156398104265402,0.8298653610771114,0.7262658227848101,0.838479809976247,0.6799363057324841,0.7918263090676884
B2_M3,B2,M3,LightGBM,309,7,1250,587,0.3899999999999999,393,0.8271334792122538,0.91395456,0.9147099382556859,0.6327716942326047,0.760053619302949,0.9072,0.7136,0.8104,0.6208,0.8837744533947065,0.8510739149755591,0.9252115971309595,0.5532030762980668,0.8747152619589977,0.8930232558139535,0.6496815286624203,0.7713523922381869,0.5527635916507623,0.780377358490566,0.8608799048751486,0.7572209211553473,0.8322981366459627,0.7553107789142408,0.8454882571075402,0.7156398104265402,0.8298653610771114,0.7262658227848101,0.838479809976247,0.6799363057324841,0.7918263090676884
