config,balance,missing,meta,panel,meta_threshold,tn,fp,fn,tp,panel_f1,panel_auc_roc,panel_auc_pr,panel_mcc,panel_precision,panel_recall,panel_specificity,panel_balanced_accuracy,panel_cohens_kappa
B1_M1,B1,M1,LR,CFTR,0.18999999999999995,15,6,4,86,0.945054945054945,0.9343915343915343,0.9845997972870264,0.6965175912572527,0.9347826086956522,0.9555555555555556,0.7142857142857143,0.834920634920635,0.6952224052718288
B1_M1,B1,M1,LightGBM,CFTR,0.24999999999999992,15,6,5,85,0.9392265193370166,0.9095238095238094,0.9750743129454862,0.6712785273857246,0.9340659340659341,0.9444444444444444,0.7142857142857143,0.8293650793650793,0.6709781729991916
B1_M1,B1,M1,LR,KANSER,0.18999999999999995,63,57,3,265,0.8983050847457628,0.9299284825870647,0.9613437918946809,0.6320584803509729,0.8229813664596274,0.9888059701492538,0.525,0.7569029850746269,0.5867064337452066
B1_M1,B1,M1,LightGBM,KANSER,0.24999999999999992,64,56,3,265,0.8998302207130731,0.9076337064676618,0.9477807746388824,0.6384905707674351,0.8255451713395638,0.9888059701492538,0.5333333333333333,0.7610696517412936,0.594659678447482
B1_M1,B1,M1,LR,PAH,0.18999999999999995,22,40,4,306,0.9329268292682927,0.8337408949011447,0.9493425080129118,0.49979987101997875,0.884393063583815,0.9870967741935484,0.3548387096774194,0.6709677419354838,0.4453781512605042
B1_M1,B1,M1,LightGBM,PAH,0.24999999999999992,22,40,2,308,0.9361702127659575,0.7848595213319459,0.9296048230965488,0.5284981975632331,0.8850574712643678,0.9935483870967742,0.3548387096774194,0.6741935483870968,0.46153846153846156
B1_M3,B1,M3,LR,CFTR,0.19999999999999996,17,4,6,84,0.9438202247191011,0.9423280423280423,0.9860706988012328,0.7178454493936232,0.9545454545454546,0.9333333333333333,0.8095238095238095,0.8714285714285714,0.7166921898928025
B1_M3,B1,M3,LightGBM,CFTR,0.2799999999999999,17,4,7,83,0.9378531073446328,0.9275132275132275,0.9810630621204673,0.6961871947311619,0.9540229885057471,0.9222222222222223,0.8095238095238095,0.8658730158730159,0.6937547027840482
B1_M3,B1,M3,LR,KANSER,0.19999999999999996,72,48,5,263,0.9084628670120898,0.9320740049751244,0.9641440213953854,0.6736977893051163,0.8456591639871383,0.9813432835820896,0.6,0.7906716417910448,0.6451791013872593
B1_M3,B1,M3,LightGBM,KANSER,0.2799999999999999,75,45,7,261,0.9094076655052264,0.9349036069651742,0.9675378729616018,0.6780014510158555,0.8529411764705882,0.9738805970149254,0.625,0.7994402985074627,0.6562627777020581
