scenario,panel,model,thr_mode,threshold,best_combo,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
S1,CFTR,lightgbm,f1_raw,0.52,,0.964635063957863,0.9726858877086495,0.9567164179104478,0.9280820593882588,0.8888888888888888,1.0,0.8,0.6633249580710799,0.8599999999999998,0.1907878402833891,0.5,1.0,56
S1,CFTR,lightgbm,f1_8020,0.55,,0.9643128321943811,0.98145285935085,0.9477611940298507,0.9285624142960444,0.8607594936708861,1.0,0.7555555555555555,0.6146362971528592,0.8059999999999999,0.23273160507331186,0.11250000000000004,1.0,56
S1,CFTR,lightgbm,mcc_8020,0.55,,0.9643128321943811,0.98145285935085,0.9477611940298507,0.9285624142960444,0.8607594936708861,1.0,0.7555555555555555,0.6146362971528592,0.8059999999999999,0.23273160507331186,0.11250000000000004,1.0,56
S1,CFTR,catboost,f1_raw,0.4,,0.9327485380116959,0.9140401146131805,0.9522388059701492,0.8595343677600947,0.9156626506024096,1.0,0.8444444444444444,0.718365772233094,0.8939999999999999,0.158,0.5,1.0,56
S1,CFTR,catboost,f1_8020,0.5,,0.9311377245508982,0.933933933933934,0.9283582089552239,0.8589417075893596,0.875,1.0,0.7777777777777778,0.6382847385042254,0.8499999999999999,0.1688194301613413,0.5,1.0,56
S1,CFTR,catboost,mcc_8020,0.5,,0.9311377245508982,0.933933933933934,0.9283582089552239,0.8589417075893596,0.875,1.0,0.7777777777777778,0.6382847385042254,0.8499999999999999,0.1688194301613413,0.5,1.0,56
S1,CFTR,nn,f1_raw,0.39,"{'hidden': 64, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8658367911479945,0.8067010309278351,0.9343283582089552,0.7107029385667601,0.8433734939759037,0.9210526315789473,0.7777777777777778,0.4296446006178791,0.5466666666666666,0.1304935685333627,0.2857142857142857,0.6666666666666666,56
S1,CFTR,nn,f1_8020,0.5,"{'hidden': 64, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8412698412698413,0.8983050847457628,0.7910447761194029,0.6995224239908819,0.684931506849315,0.8928571428571429,0.5555555555555556,0.22473328748774735,0.4533333333333333,0.1619719748441706,0.06428571428571431,0.6666666666666666,56
S1,CFTR,nn,mcc_8020,0.5,"{'hidden': 64, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8412698412698413,0.8983050847457628,0.7910447761194029,0.6995224239908819,0.684931506849315,0.8928571428571429,0.5555555555555556,0.22473328748774735,0.4533333333333333,0.1619719748441706,0.06428571428571431,0.6666666666666666,56
S1,CFTR,dnn,f1_raw,0.39,"{'hidden': 128, 'n_layers': 3, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8362369337979094,0.7843137254901961,0.8955223880597015,0.6451120056886475,0.7532467532467533,0.90625,0.6444444444444445,0.29842459526191717,0.4476190476190475,0.1908329991382274,0.0,0.6666666666666666,56
S1,CFTR,dnn,f1_8020,0.51,"{'hidden': 128, 'n_layers': 3, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.7885906040268457,0.9003831417624522,0.7014925373134329,0.6321519538564473,0.6176470588235294,0.9130434782608695,0.4666666666666667,0.23003590360667073,0.42238095238095236,0.2210601133089032,0.0,0.75,56
S1,CFTR,dnn,mcc_8020,0.54,"{'hidden': 128, 'n_layers': 3, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.7557117750439367,0.9188034188034188,0.6417910447761194,0.6064893517793191,0.6176470588235294,0.9130434782608695,0.4666666666666667,0.23003590360667073,0.42238095238095236,0.2210601133089032,0.0,0.75,56
S2,CFTR,lightgbm,f1_raw,0.1,,0.994475138121547,0.989010989010989,1.0,0.969309258988296,0.9166666666666666,0.8627450980392157,0.9777777777777777,0.475679039504044,0.45128205128205123,0.03478117940064241,0.3333333333333333,0.46153846153846156,56
S2,CFTR,lightgbm,f1_8020,0.38,,0.9887640449438202,1.0,0.9777777777777777,0.9428090415820634,0.898876404494382,0.9090909090909091,0.8888888888888888,0.5085735707141052,0.5416666666666667,0.09876552854933562,0.25,0.6,56
S2,CFTR,lightgbm,mcc_8020,0.38,,0.9887640449438202,1.0,0.9777777777777777,0.9428090415820634,0.898876404494382,0.9090909090909091,0.8888888888888888,0.5085735707141052,0.5416666666666667,0.09876552854933562,0.25,0.6,56
S2,CFTR,catboost,f1_raw,0.11,,0.994475138121547,0.989010989010989,1.0,0.969309258988296,0.9183673469387755,0.8490566037735849,1.0,0.48120774301568586,0.4285714285714285,5.551115123125783e-17,0.42857142857142855,0.42857142857142855,56
S2,CFTR,catboost,f1_8020,0.42,,0.9887640449438202,1.0,0.9777777777777777,0.9428090415820634,0.8636363636363636,0.8837209302325582,0.8444444444444444,0.36690092409894554,0.4766060606060606,0.09339176971634021,0.2222222222222222,0.5454545454545454,56
