axis,value,train_f1,master_cv_f1,master_cv_mcc,memorization_gap,loo_mcc,loo_f1,loo_auc,boot_mean,boot_std,transfer_gap,ms_f1_mean,ms_f1_std
min_child_samples,5,0.9813,0.8257,0.4804,0.1555,0.6734,0.9176,0.9402,0.7475,0.0963,-0.0919,0.9287,0.0126
min_child_samples,10,0.9801,0.7919,0.4498,0.1881,0.6901,0.924,0.946,0.7547,0.0923,-0.132,0.9255,0.0169
min_child_samples,20,0.9786,0.8195,0.4749,0.1591,0.6552,0.9186,0.9423,0.6915,0.0877,-0.0991,0.9227,0.0167
min_child_samples,40,0.9774,0.8393,0.5012,0.1381,0.6734,0.9176,0.9365,0.7427,0.0998,-0.0784,0.9081,0.0197
min_child_samples,80,0.9659,0.7998,0.4613,0.1661,0.5335,0.8079,0.937,0.7667,0.1504,-0.0082,0.5806,0.0548
min_child_samples,160,0.8817,0.8315,0.494,0.0502,0.5335,0.8079,0.9339,0.7992,0.1445,0.0235,0.6335,0.05
min_child_samples,320,0.8593,0.7824,0.4567,0.077,0.5956,0.8696,0.9222,0.7728,0.115,-0.0872,0.3821,0.0751
num_leaves,63,0.9822,0.8319,0.494,0.1504,0.5717,0.8553,0.9365,0.7436,0.1229,-0.0235,0.5212,0.057
num_leaves,31,0.9786,0.8195,0.4749,0.1591,0.6552,0.9186,0.9423,0.6915,0.0877,-0.0991,0.9227,0.0167
num_leaves,15,0.9192,0.8032,0.4712,0.116,0.6695,0.8957,0.9476,0.8613,0.124,-0.0925,0.7539,0.0524
num_leaves,7,0.89,0.7888,0.4614,0.1012,0.5602,0.8481,0.9291,0.7179,0.1386,-0.0593,0.6374,0.0658
num_leaves,3,0.8241,0.7819,0.4388,0.0422,0.6271,0.8982,0.8905,0.7317,0.098,-0.1163,0.7338,0.0413
