n_estimators,max_features,MCC_raw,MCC_prior,Boot_mean,Boot_std,Precision,Recall,FP,FN
10,1.0,0.5359,0.5359,0.5905,0.0391,0.9433,0.8664,16,41
30,1.0,0.5309,0.5309,0.5882,0.0451,0.9431,0.8632,16,42
20,1.0,0.5288,0.5164,0.5757,0.0447,0.9401,0.8697,17,40
100,0.7,0.5285,0.5285,0.5952,0.0482,0.9458,0.8534,15,45
75,0.85,0.5238,0.5145,0.5919,0.0474,0.9457,0.8502,15,46
75,0.7,0.5238,0.5191,0.5919,0.0474,0.9457,0.8502,15,46
30,0.7,0.5191,0.5191,0.5919,0.0474,0.9455,0.8469,15,47
20,0.85,0.5145,0.5145,0.59,0.0474,0.9453,0.8436,15,48
30,0.85,0.5145,0.5145,0.5899,0.0489,0.9453,0.8436,15,48
50,0.85,0.5145,0.5145,0.5913,0.047,0.9453,0.8436,15,48
75,1.0,0.5055,0.4882,0.5893,0.0474,0.9449,0.8371,15,50
10,0.7,0.5025,0.4891,0.5805,0.0445,0.9418,0.8436,16,48
75,0.5,0.5025,0.4798,0.5785,0.0454,0.9418,0.8436,16,48
10,0.5,0.5011,0.4968,0.5839,0.0484,0.9446,0.8339,15,51
50,1.0,0.5011,0.5011,0.5887,0.0474,0.9446,0.8339,15,51
100,1.0,0.5011,0.5011,0.5887,0.0474,0.9446,0.8339,15,51
50,0.5,0.498,0.4798,0.5753,0.0452,0.9416,0.8404,16,49
100,0.5,0.4935,0.4757,0.5745,0.0466,0.9414,0.8371,16,50
10,0.85,0.4935,0.5117,0.5759,0.0452,0.9414,0.8371,16,50
100,0.85,0.4924,0.5071,0.5854,0.0467,0.9442,0.8274,15,53
50,0.7,0.4882,0.5145,0.5838,0.0507,0.944,0.8241,15,54
20,0.7,0.4877,0.5011,0.5918,0.0508,0.947,0.8143,14,57
30,0.5,0.4796,0.4836,0.5802,0.0486,0.9466,0.8078,14,59
20,0.5,0.4639,0.4639,0.5784,0.055,0.9457,0.7948,14,63
