k,feature,feature_group,xgb_gain,xgb_cover,xgb_weight,lgbm_importance,nn_permutation_importance,consensus_avg_rank
2,ditto__score,Numeric score,0.308873,0.025676,0.106845,0.063755,0.220852,1.0
3,ditto__score,Numeric score,0.222575,0.03419,0.11493,0.074808,0.068349,1.33
2,metarnn__score,Label-enc pred,0.146827,0.031103,0.066778,0.056756,0.060314,3.33
2,gmvp__score,Numeric score,0.014293,0.017758,0.063439,0.055995,0.066592,4.67
2,bayesdel__bayesdel_addAF_score,Numeric score,0.013691,0.014598,0.008347,0.024194,0.057354,7.33
3,clinpred__rankscore,Numeric score,0.267432,0.058551,0.002148,0.012442,0.045315,7.67
3,metarnn__score,Label-enc pred,0.081503,0.033587,0.071966,0.072657,0.020198,8.33
2,alphamissense__am_pathogenicity,Label-enc pred,0.012455,0.009013,0.018364,0.019933,0.011525,10.67
2,mutpred2__score,Numeric score,0.009973,0.013365,0.03005,0.017346,0.01722,11.33
3,revel__score,Numeric score,0.008102,0.016593,0.027927,0.015975,0.03374,12.0
3,alphamissense__am_pathogenicity,Label-enc pred,0.005892,0.010088,0.038668,0.027035,0.037618,14.0
3,gmvp__score,Numeric score,0.00862,0.023498,0.059076,0.041321,0.015221,14.33
2,vest__score,Numeric score,0.00801,0.009975,0.038397,0.017194,0.025336,14.67
3,gnomad4__af,Numeric score,0.008893,0.013843,0.138561,0.058372,0.001389,17.33
3,gnomad4__ac,Numeric score,0.006617,0.011292,0.025779,0.02596,0.017651,17.33
3,fathmm_xf__score,Numeric score,0.005125,0.003953,0.016112,0.009524,0.053649,20.0
2,chasmplus__score,Numeric score,0.008073,0.004138,0.015025,0.013086,0.006099,20.33
3,revel__rankscore,Numeric score,0.006012,0.011117,0.002148,0.008602,0.033914,20.67
2,metarnn__pred,Label-enc pred,0.016262,0.019758,0.003339,0.004717,0.087892,21.0
2,clinpred__score,Numeric score,0.004534,0.006444,0.010017,0.020998,0.11157,21.33
2,metalr__score,Label-enc pred,0.008949,0.012142,0.010017,0.006999,0.010314,21.67
2,mutpred2__rankscore,Numeric score,0.00913,0.008527,0.015025,0.025867,0.002691,21.67
2,chasmplus_COAD__score,Numeric score,0.007176,0.012821,0.011686,0.017498,0.006682,22.0
3,mutpred2__rankscore,Numeric score,0.004049,0.008518,0.005371,0.025653,0.045431,22.0
3,metasvm__rankscore,Label-enc pred,0.00516,0.002128,0.002148,0.007066,0.034898,26.67
2,fathmm_xf__score,Numeric score,0.005982,0.009862,0.005008,0.00989,0.006906,27.0
3,metarnn__pred,Label-enc pred,0.019813,0.035177,0.002148,0.003994,0.040222,27.0
3,vest__score,Numeric score,0.004553,0.015107,0.033298,0.024885,0.01198,28.33
2,cadd__score,Numeric score,0.004701,0.010808,0.016694,0.014303,0.006861,29.67
2,mistic__score,Label-enc pred,0.004211,0.001655,0.003339,0.009434,0.016996,29.67
3,clinpred__score,Numeric score,0.003156,0.008478,0.002148,0.014286,0.019966,33.0
2,gnomad4__an,Numeric score,0.010137,0.013054,0.035058,0.02678,0.000404,33.33
3,cscape__score,Numeric score,0.005098,0.004701,0.004296,0.00553,0.033451,33.33
2,chasmplus_GBM__score,Numeric score,0.007615,0.004128,0.005008,0.004565,0.008206,33.67
3,cscape_coding__score,Numeric score,0.00676,0.002627,0.003222,0.00384,0.030789,34.33
2,clinpred__rankscore,Numeric score,0.001877,0.001399,0.001669,0.019172,0.085561,34.67
3,metalr__score,Label-enc pred,0.003281,0.013107,0.009667,0.008295,0.02668,34.67
2,chasmplus_STAD__score,Numeric score,0.00734,0.002271,0.008347,0.004413,0.005022,38.67
3,phdsnpg__score,Label-enc pred,0.002358,0.005731,0.005371,0.014747,0.019851,39.0
2,chasmplus_UCEC__score,Numeric score,0.008739,0.002547,0.010017,0.007152,0.000762,39.67
3,metalr__rankscore,Label-enc pred,0.005476,0.005039,0.001074,0.00553,0.001968,40.33
2,gerp__gerp_rs,Numeric score,0.006179,0.002923,0.010017,0.008521,0.0013,41.0
3,gerp__gerp_rs,Numeric score,0.003373,0.004232,0.008593,0.006759,0.017478,41.0
3,mistic__score,Label-enc pred,0.001493,0.00621,0.003222,0.011367,0.03212,41.33
3,ncer__score,Numeric score,0.005315,0.003292,0.004296,0.006144,0.00081,41.33
2,chasmplus_PRAD__score,Numeric score,0.012597,0.002906,0.016694,0.003956,0.002108,41.67
3,chasmplus_LAML__score,Numeric score,0.003609,0.018966,0.007519,0.010292,0.000347,44.0
3,chasmplus_SKCM__score,Numeric score,0.006061,0.004179,0.007519,0.004147,0.000926,45.0
3,chasmplus_THCA__score,Numeric score,0.00903,0.003401,0.001074,0.003994,0.000289,45.0
3,chasmplus_PAAD__score,Numeric score,0.007367,0.002507,0.004296,0.005223,0.000174,47.67
3,chasmplus_TGCT__score,Numeric score,0.004977,0.003617,0.003222,0.00768,0.000174,47.67
2,chasmplus_KIRC__score,Numeric score,0.005717,0.006278,0.003339,0.003956,0.004798,48.0
3,fathmm_mkl__fathmm_mkl_coding_score,Numeric score,0.000222,0.002326,0.002148,0.009217,0.028995,48.33
2,chasmplus_BLCA__score,Numeric score,0.005765,0.001822,0.003339,0.003956,0.003857,49.33
2,revel__rankscore,Numeric score,0.000205,0.001629,0.001669,0.009434,0.006906,49.67
3,chasmplus_THYM__score,Numeric score,0.005024,0.005282,0.003222,0.002919,0.002604,50.0
2,chasmplus_READ__score,Numeric score,0.00356,0.001717,0.001669,0.007912,0.001749,50.33
3,chasmplus_HNSC__score,Numeric score,0.004454,0.007712,0.001074,0.00768,0.0,50.33
2,chasmplus_LGG__score,Numeric score,0.003359,0.001863,0.006678,0.006695,0.003408,50.67
2,phdsnpg__score,Label-enc pred,0.000604,0.00251,0.001669,0.008217,0.005112,52.67
3,chasmplus_GBM__score,Numeric score,0.005618,0.003929,0.004296,0.00553,5.8e-05,53.0
3,mutationtaster__score,Label-enc pred,0.001312,0.001711,0.005371,0.006144,0.022397,53.67
2,chasmplus_BRCA__score,Numeric score,0.004177,0.009264,0.010017,0.006999,0.000717,54.67
3,chasmplus_PCPG__score,Numeric score,0.002624,0.010995,0.004296,0.005991,0.001505,55.33
3,chasmplus_LGG__score,Numeric score,0.003049,0.005937,0.003222,0.00553,0.00081,55.67
2,genocanyon__score,Numeric score,0.005334,0.001434,0.001669,0.003652,0.002915,56.0
3,delta_hydropathy,Numeric score,0.002179,0.004111,0.004296,0.005376,0.017073,57.0
2,chasmplus_LAML__score,Numeric score,0.00383,0.030917,0.006678,0.010499,0.000179,58.33
2,chasmplus_PCPG__score,Numeric score,0.006329,0.015704,0.005008,0.002435,0.001659,58.33
2,DNA_11mer_Ref__2mer_AC,DNA k-mer,0.005312,0.001484,0.005008,0.001065,0.010135,59.0
3,cscape_coding__rankscore,Numeric score,0.00252,0.002918,0.003222,0.003226,0.017015,61.33
2,cscape__score,Numeric score,0.002009,0.001745,0.008347,0.006086,0.001704,61.67
3,chasmplus_UCS__score,Numeric score,0.004685,0.003216,0.002148,0.002458,0.000289,61.67
3,chasmplus_CHOL__score,Numeric score,0.002141,0.029485,0.002148,0.002765,0.01904,62.67
2,DNA_11mer_Ref__2mer_GG,DNA k-mer,0.004452,0.001669,0.001669,0.000913,0.008744,63.0
3,chasmplus_KIRC__score,Numeric score,0.003078,0.006021,0.002148,0.003687,0.000579,63.0
3,chasmplus_MESO__score,Numeric score,0.001998,0.005464,0.004296,0.004608,0.00162,63.33
2,chasmplus_MESO__score,Numeric score,0.004062,0.002008,0.001669,0.003652,0.00139,63.67
2,chasmplus_TGCT__score,Numeric score,0.003731,0.007461,0.003339,0.005326,0.000583,64.33
2,Prot_11mer_Alt__2mer_ED,Protein k-mer,0.001188,0.019647,0.001669,0.003043,0.007668,64.33
3,delta_pi,Numeric score,0.002955,0.00617,0.003222,0.00553,0.000231,64.33
2,base__ref_base__G,OHE (base/AA),0.003542,0.001544,0.001669,0.001978,0.003857,65.33
3,chasmplus_UVM__score,Numeric score,0.002314,0.001352,0.001074,0.004455,0.000579,65.33
3,DNA_11mer_Alt__3mer_CTT,DNA k-mer,0.004211,0.006452,0.002148,0.000768,0.002546,65.67
2,chasmplus_KIRP__score,Numeric score,0.003002,0.001722,0.001669,0.002282,0.003722,68.0
2,cscape_coding__score,Numeric score,0.00587,0.001582,0.003339,0.002435,0.000583,68.0
2,chasmplus_THCA__score,Numeric score,0.003991,0.002643,0.003339,0.003652,0.000762,68.33
3,ref_amino__G,OHE (base/AA),0.004349,0.006514,0.001074,0.001075,0.000289,68.33
2,Prot_11mer_Alt__2mer_DS,Protein k-mer,0.001603,0.027144,0.010017,0.008369,0.000224,70.33
2,chasmplus_ESCA__score,Numeric score,0.001084,0.001386,0.001669,0.007304,0.000269,73.0
2,DNA_11mer_Ref__2mer_TC,DNA k-mer,0.007314,0.001316,0.001669,0.000609,0.001614,75.0
2,DNA_11mer_Ref__2mer_CG,DNA k-mer,0.004144,0.00202,0.006678,0.001369,0.000628,75.67
2,DNA_11mer_Alt__2mer_AA,DNA k-mer,0.003827,0.002627,0.001669,0.003956,0.000179,76.0
2,metasvm__rankscore,Label-enc pred,0.000629,0.004832,0.001669,0.006847,0.000269,76.67
3,base__ref_base__G,OHE (base/AA),0.002189,0.001364,0.001074,0.000768,0.0011,77.0
2,funseq2__score,Numeric score,0.002041,0.002488,0.001669,0.000913,0.004081,77.67
2,Prot_11mer_Alt__2mer_LL,Protein k-mer,0.005918,0.005393,0.001669,0.000761,0.000448,84.67
2,Prot_11mer_Ref__2mer_LL,Protein k-mer,0.001548,0.02182,0.001669,0.001217,0.000897,86.67
2,provean__prediction,Label-enc pred,0.006565,0.001599,0.001669,0.000152,0.007758,89.0
2,Prot_11mer_Ref__2mer_LP,Protein k-mer,0.000567,0.016058,0.001669,0.000456,0.004484,95.67
2,DNA_11mer_Ref__2mer_GT,DNA k-mer,0.003923,0.00147,0.006678,0.000761,0.000224,96.33
2,DNA_11mer_Alt__2mer_AT,DNA k-mer,0.003226,0.001474,0.001669,0.000304,0.004081,97.33
3,DNA_11mer_Alt__3mer_CTC,DNA k-mer,0.0012,0.003318,0.001074,0.000154,0.003299,103.33
2,Prot_11mer_Ref__2mer_KS,Protein k-mer,0.0,0.0,0.0,0.002435,0.0,106.0
2,gnomad4__ac,Numeric score,0.008615,0.010784,0.020033,0.029823,0.0,113.33
3,alt_amino__Q,OHE (base/AA),0.001817,0.020902,0.001074,0.000154,0.000405,116.0
2,Prot_11mer_Ref__2mer_IS,Protein k-mer,0.0,0.0,0.0,0.002282,0.000448,119.33
2,Prot_11mer_Alt__2mer_GC,Protein k-mer,0.00174,0.02585,0.001669,0.000304,4.5e-05,122.0
3,DNA_11mer_Alt__3mer_AGA,DNA k-mer,0.00083,0.005187,0.003222,0.000154,0.0,122.0
2,Prot_11mer_Ref__2mer_SY,Protein k-mer,0.001818,0.026196,0.003339,0.002891,0.0,124.0
2,Prot_11mer_Ref__2mer_HN,Protein k-mer,0.0,0.0,0.0,0.000609,0.000493,126.33
2,Prot_11mer_Ref__2mer_SH,Protein k-mer,0.001566,0.039019,0.001669,0.000152,0.003498,129.33
2,fathmm_mkl__fathmm_mkl_coding_score,Numeric score,0.006894,0.00202,0.003339,0.006239,0.0,130.33
2,Prot_11mer_Ref__2mer_GR,Protein k-mer,0.0,0.0,0.0,0.001674,0.0,130.67
3,Prot_11mer_Ref__3mer_QMP,Protein k-mer,0.0,0.0,0.0,0.0,0.032525,133.67
2,revel__score,Numeric score,0.008402,0.012455,0.021703,0.020542,0.0,137.33
2,gerp__gerp_nr,Numeric score,0.004227,0.002506,0.010017,0.006695,0.0,138.33
2,phylop__phylop100_vert,Numeric score,0.003379,0.003764,0.006678,0.007912,0.0,138.33
3,Prot_11mer_Ref__3mer_QKW,Protein k-mer,0.0,0.0,0.0,0.0,0.000231,138.67
2,Prot_11mer_Ref__2mer_LY,Protein k-mer,0.0,0.0,0.0,0.000152,0.002332,139.33
3,Prot_11mer_Ref__3mer_QKP,Protein k-mer,0.0,0.0,0.0,0.0,0.000289,139.33
2,Prot_11mer_Ref__2mer_LQ,Protein k-mer,0.0,0.0,0.0,0.000152,0.000942,141.0
2,Prot_11mer_Ref__2mer_ID,Protein k-mer,0.000774,0.026169,0.001669,0.000304,0.0,141.33
2,metasvm__score,Label-enc pred,0.006063,0.002032,0.011686,0.009282,0.0,143.0
3,Prot_11mer_Ref__3mer_QKG,Protein k-mer,0.0,0.0,0.0,0.0,0.014526,145.33
3,Prot_11mer_Ref__3mer_QKQ,Protein k-mer,0.0,0.0,0.0,0.0,0.0,146.0
3,Prot_11mer_Ref__3mer_QLD,Protein k-mer,0.0,0.0,0.0,0.0,0.016205,146.33
3,Prot_11mer_Ref__3mer_QMR,Protein k-mer,0.0,0.0,0.0,0.0,0.000231,147.0
2,Prot_11mer_Ref__2mer_MG,Protein k-mer,0.00327,0.052793,0.001669,0.001065,0.0,147.67
3,Prot_11mer_Ref__3mer_QIL,Protein k-mer,0.0,0.0,0.0,0.0,0.002141,147.67
2,Prot_11mer_Ref__2mer_PP,Protein k-mer,0.003169,0.046703,0.003339,0.001369,0.0,148.0
3,Prot_11mer_Ref__3mer_QMA,Protein k-mer,0.0,0.0,0.0,0.0,0.000579,150.67
3,Prot_11mer_Ref__3mer_QLL,Protein k-mer,0.0,0.0,0.0,0.0,0.048614,151.0
3,Prot_11mer_Ref__3mer_QLN,Protein k-mer,0.0,0.0,0.0,0.0,0.062504,151.0
2,Prot_11mer_Ref__2mer_LS,Protein k-mer,0.0,0.0,0.0,0.000304,0.0,151.33
3,Prot_11mer_Ref__3mer_QLR,Protein k-mer,0.0,0.0,0.0,0.0,0.000463,151.67
3,Prot_11mer_Ref__3mer_QKV,Protein k-mer,0.0,0.0,0.0,0.0,0.0,152.0
3,Prot_11mer_Ref__3mer_QKY,Protein k-mer,0.0,0.0,0.0,0.0,0.0,152.0
3,Prot_11mer_Ref__3mer_QKT,Protein k-mer,0.0,0.0,0.0,0.0,0.0,152.33
2,sift__rankscore,Label-enc pred,0.00903,0.002491,0.003339,0.0035,0.0,152.67
3,Prot_11mer_Ref__3mer_QKR,Protein k-mer,0.0,0.0,0.0,0.0,0.0,153.33
3,Prot_11mer_Ref__3mer_QMN,Protein k-mer,0.0,0.0,0.0,0.0,0.017362,154.0
2,Prot_11mer_Ref__2mer_LI,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,154.33
2,provean__rankscore,Label-enc pred,0.007337,0.001678,0.003339,0.005326,0.0,154.67
3,Prot_11mer_Ref__3mer_QKL,Protein k-mer,0.0,0.0,0.0,0.0,0.000347,154.67
2,chasmplus_SARC__score,Numeric score,0.007115,0.001911,0.003339,0.005021,0.0,155.0
2,Prot_11mer_Ref__2mer_LW,Protein k-mer,0.0,0.0,0.0,0.000152,9e-05,155.0
2,sift__score,Label-enc pred,0.006096,0.001786,0.006678,0.005782,0.0,155.67
2,Prot_11mer_Ref__2mer_IE,Protein k-mer,0.0,0.0,0.0,0.000152,0.009552,155.67
2,Prot_11mer_Ref__2mer_SE,Protein k-mer,0.001125,0.011034,0.003339,0.000456,0.0,156.33
2,Prot_11mer_Ref__2mer_KA,Protein k-mer,0.0,0.0,0.0,0.000152,0.003274,158.0
2,Prot_11mer_Ref__2mer_IF,Protein k-mer,0.0,0.0,0.0,0.000152,0.006009,158.33
2,chasmplus_SKCM__score,Numeric score,0.007591,0.002934,0.011686,0.003652,0.0,159.0
3,Prot_11mer_Ref__3mer_QLW,Protein k-mer,0.0,0.0,0.0,0.0,0.000116,159.33
2,ncer__score,Numeric score,0.005961,0.003624,0.003339,0.005326,0.0,160.0
3,Prot_11mer_Ref__3mer_QKI,Protein k-mer,0.0,0.0,0.0,0.0,0.0,160.0
2,esm1b__rankscore,Label-enc pred,0.004778,0.018387,0.008347,0.004717,0.0,160.33
2,DNA_11mer_Ref__2mer_AT,DNA k-mer,0.003766,0.00163,0.001669,0.001369,0.0,161.33
2,Prot_11mer_Ref__2mer_HA,Protein k-mer,0.0,0.0,0.0,0.000152,0.000583,161.67
2,Prot_11mer_Ref__2mer_LG,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,161.67
3,Prot_11mer_Ref__3mer_QME,Protein k-mer,0.0,0.0,0.0,0.0,0.000231,161.67
3,Prot_11mer_Ref__3mer_QLC,Protein k-mer,0.0,0.0,0.0,0.0,0.0,162.0
2,mutationtaster__rankscore,Label-enc pred,0.00702,0.001435,0.003339,0.004108,0.0,162.33
3,Prot_11mer_Ref__3mer_QLE,Protein k-mer,0.0,0.0,0.0,0.0,0.0,162.33
2,Prot_11mer_Ref__2mer_IH,Protein k-mer,0.0,0.0,0.0,0.000304,0.000269,162.67
3,Prot_11mer_Ref__3mer_QKH,Protein k-mer,0.0,0.0,0.0,0.0,0.0,163.0
3,Prot_11mer_Ref__3mer_QKN,Protein k-mer,0.0,0.0,0.0,0.0,0.0,163.0
3,Prot_11mer_Ref__3mer_QKK,Protein k-mer,0.0,0.0,0.0,0.0,0.0,163.33
2,provean__score,Label-enc pred,0.002651,0.005505,0.008347,0.008673,0.0,164.0
3,Prot_11mer_Ref__3mer_QLA,Protein k-mer,0.0,0.0,0.0,0.0,0.0,164.33
3,Prot_11mer_Ref__3mer_QMV,Protein k-mer,0.0,0.0,0.0,0.0,0.0,165.33
3,Prot_11mer_Ref__3mer_QLS,Protein k-mer,0.0,0.0,0.0,0.0,0.0,165.67
3,Prot_11mer_Ref__3mer_QLV,Protein k-mer,0.0,0.0,0.0,0.0,0.0,165.67
3,Prot_11mer_Ref__3mer_QLT,Protein k-mer,0.0,0.0,0.0,0.0,0.0,166.67
2,cscape_coding__rankscore,Numeric score,0.00487,0.001757,0.003339,0.002891,0.0,168.0
3,Prot_11mer_Ref__3mer_QMC,Protein k-mer,0.0,0.0,0.0,0.0,0.0,168.33
2,esm1b__score,Label-enc pred,0.002973,0.004649,0.006678,0.004869,0.0,169.33
3,Prot_11mer_Ref__3mer_QMF,Protein k-mer,0.0,0.0,0.0,0.0,0.0,169.67
3,Prot_11mer_Ref__3mer_QIY,Protein k-mer,0.0,0.0,0.0,0.0,0.000347,170.0
3,Prot_11mer_Ref__3mer_QLG,Protein k-mer,0.0,0.0,0.0,0.0,0.0,170.0
3,Prot_11mer_Ref__3mer_QMI,Protein k-mer,0.0,0.0,0.0,0.0,0.0,170.0
3,Prot_11mer_Ref__3mer_QLF,Protein k-mer,0.0,0.0,0.0,0.0,0.0,170.33
3,Prot_11mer_Ref__3mer_QIQ,Protein k-mer,0.0,0.0,0.0,0.0,0.000347,170.67
2,mutation_assessor__score,Numeric score,0.003277,0.002267,0.005008,0.005934,0.0,171.0
2,Prot_11mer_Ref__2mer_GH,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,171.0
2,Prot_11mer_Ref__2mer_II,Protein k-mer,0.0,0.0,0.0,0.000456,0.0,171.33
