experiment,k,panel_train,panel_test,model,auroc,auprc,accuracy,f1,precision,recall
exp1,2,ALL,ALL,xgboost,0.9953579559827979,0.9980409544106756,0.9731934731934732,0.9804255319148936,0.9846153846153847,0.976271186440678
exp1,2,ALL,ALL,xgboost,0.9962578502759876,0.9981383548257003,0.9743589743589743,0.9814502529510961,0.9781512605042016,0.9847715736040609
exp1,2,ALL,ALL,xgboost,0.9959817177680441,0.9981189017123366,0.970828471411902,0.9788672865595942,0.9763912310286678,0.9813559322033898
exp1,2,ALL,ALL,xgboost,0.998825620516727,0.9994755725481757,0.9883313885647608,0.9915110356536503,0.9931972789115646,0.9898305084745763
exp1,2,ALL,ALL,xgboost,0.997003745318352,0.9985340237824231,0.9824970828471412,0.9873417721518988,0.9831932773109243,0.9915254237288136
exp1,2,ALL,ALL,lightgbm,0.996180116367316,0.9983533051528405,0.9743589743589743,0.9813242784380306,0.9829931972789115,0.9796610169491525
exp1,2,ALL,ALL,lightgbm,0.9967236385989595,0.9984694622239808,0.9755244755244755,0.9823083403538332,0.9781879194630873,0.9864636209813875
exp1,2,ALL,ALL,lightgbm,0.9960769377261474,0.9981733874668414,0.9719953325554259,0.9796610169491525,0.9796610169491525,0.9796610169491525
exp1,2,ALL,ALL,lightgbm,0.9982352567764872,0.9991968957746149,0.9871645274212368,0.9906858594411516,0.9898477157360406,0.9915254237288136
exp1,2,ALL,ALL,lightgbm,0.9967053894496287,0.9987062436978986,0.9824970828471412,0.9873417721518988,0.9831932773109243,0.9915254237288136
exp1,2,ALL,ALL,neural_network,0.984862762458892,0.9935596422167868,0.9417249417249417,0.9573378839590444,0.9639175257731959,0.9508474576271186
exp1,2,ALL,ALL,neural_network,0.978960309765078,0.9861990228368619,0.9347319347319347,0.9524617996604414,0.9557069846678024,0.949238578680203
exp1,2,ALL,ALL,neural_network,0.9816796800609406,0.9905767037377382,0.941656942823804,0.9578414839797639,0.9530201342281879,0.9627118644067797
exp1,2,ALL,ALL,neural_network,0.9845711927886752,0.9929344864252513,0.9393232205367561,0.9550949913644214,0.9735915492957746,0.9372881355932203
exp1,2,ALL,ALL,neural_network,0.9795784929854632,0.9897536519694955,0.941656942823804,0.9578414839797639,0.9530201342281879,0.9627118644067797
exp2,2,ALL_MINUS_General,General,xgboost,0.9942150825213573,0.9974326139591376,0.967680608365019,0.9768392370572208,0.968046804680468,0.9857928505957837
exp2,2,ALL_MINUS_General,General,lightgbm,0.9909780789999192,0.993497861171242,0.9667300380228137,0.9761634506242906,0.967161493477283,0.9853345554537122
exp2,2,ALL_MINUS_General,General,neural_network,0.9644197814110972,0.9826449150739244,0.9008238276299113,0.926852068240243,0.9456366237482118,0.9087992667277727
exp2,2,ALL_MINUS_PAH,PAH,xgboost,0.9969040247678018,0.9999904445208883,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp2,2,ALL_MINUS_PAH,PAH,lightgbm,0.9969040247678018,0.9999904445208881,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp2,2,ALL_MINUS_PAH,PAH,neural_network,1.0,0.9999999999999999,0.9475308641975309,0.972972972972973,1.0,0.9473684210526315
exp2,2,ALL_MINUS_Hereditary_Cancer,Hereditary_Cancer,xgboost,0.9970968903078392,0.9967402767243146,0.9762237762237762,0.9758179231863442,0.9828080229226361,0.9689265536723164
exp2,2,ALL_MINUS_Hereditary_Cancer,Hereditary_Cancer,lightgbm,0.9970186393727405,0.9966653698429686,0.9790209790209791,0.9786628733997155,0.9856733524355301,0.9717514124293786
exp2,2,ALL_MINUS_Hereditary_Cancer,Hereditary_Cancer,neural_network,0.9492073180274505,0.9466766802620072,0.8307692307692308,0.8038897893030794,0.9429657794676806,0.7005649717514124
exp2,2,ALL_MINUS_CFTR,CFTR,xgboost,0.0,0.0,0.0,0.0,0.0,0.0
exp2,2,ALL_MINUS_CFTR,CFTR,lightgbm,0.0,0.0,0.0,0.0,0.0,0.0
exp2,2,ALL_MINUS_CFTR,CFTR,neural_network,0.0,0.0,0.0,0.0,0.0,0.0
exp3,2,General,PAH,xgboost,0.9969040247678018,0.9999904445208881,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp3,2,General,Hereditary_Cancer,xgboost,0.998106327370612,0.997963011653619,0.9846153846153847,0.9844413012729845,0.9858356940509915,0.9830508474576272
exp3,2,General,PAH,lightgbm,0.9969040247678018,0.9999904445208881,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp3,2,General,Hereditary_Cancer,lightgbm,0.9975976962924707,0.9974456507885533,0.9818181818181818,0.9815602836879432,0.9857549857549858,0.9774011299435028
exp3,2,General,PAH,neural_network,1.0,1.0,0.9567901234567902,0.9778481012658228,1.0,0.9566563467492261
exp3,2,General,Hereditary_Cancer,neural_network,0.9618957071537004,0.9577103793983149,0.8699300699300699,0.8540031397174255,0.9611307420494699,0.768361581920904
exp3,2,Hereditary_Cancer,General,xgboost,0.9928928963311922,0.9965677960937133,0.9660963244613435,0.9757094211123724,0.9667116509221773,0.9848762603116407
exp3,2,Hereditary_Cancer,PAH,xgboost,0.9876160990712074,0.9999615998456813,0.9969135802469136,0.9984544049459042,0.9969135802469136,1.0
exp3,2,Hereditary_Cancer,General,lightgbm,0.9913836749059413,0.9952824271282525,0.9660963244613435,0.9757204447469934,0.9662921348314607,0.9853345554537122
exp3,2,Hereditary_Cancer,PAH,lightgbm,0.9721362229102167,0.9999129200270411,0.9969135802469136,0.9984544049459042,0.9969135802469136,1.0
exp3,2,Hereditary_Cancer,General,neural_network,0.9564864290056595,0.9769067013246087,0.9100126742712294,0.9351598173515981,0.9317561419472248,0.9385884509624198
exp3,2,Hereditary_Cancer,PAH,neural_network,0.9969040247678018,0.9999904445208883,0.9135802469135802,0.9546925566343042,1.0,0.913312693498452
exp1,3,ALL,ALL,xgboost,0.9956615228940046,0.9981434475771626,0.9708624708624709,0.9787234042553191,0.9829059829059829,0.9745762711864406
exp1,3,ALL,ALL,xgboost,0.9970785249402713,0.9986077939317326,0.9743589743589743,0.9814814814814815,0.9765494137353434,0.9864636209813875
exp1,3,ALL,ALL,xgboost,0.9960896337205611,0.9982069797154741,0.9661610268378062,0.9754028837998303,0.9762308998302207,0.9745762711864406
exp1,3,ALL,ALL,xgboost,0.9986224846061068,0.9993928136744463,0.9859976662777129,0.9898305084745763,0.9898305084745763,0.9898305084745763
exp1,3,ALL,ALL,xgboost,0.9963943375864914,0.9983427886907812,0.9848308051341891,0.989010989010989,0.9865092748735245,0.9915254237288136
exp1,3,ALL,ALL,lightgbm,0.9961168732608147,0.9983149833709059,0.9731934731934732,0.9804919423240034,0.9813242784380306,0.9796610169491525
exp1,3,ALL,ALL,lightgbm,0.9970721876841765,0.9986204016661664,0.9755244755244755,0.9823380992430614,0.9765886287625418,0.988155668358714
exp1,3,ALL,ALL,lightgbm,0.9959182377959754,0.9981198599437675,0.970828471411902,0.9787955894826124,0.9796264855687606,0.9779661016949153
exp1,3,ALL,ALL,lightgbm,0.998660572589348,0.9993869256738674,0.9859976662777129,0.9898132427843803,0.9914965986394558,0.988135593220339
exp1,3,ALL,ALL,lightgbm,0.9974734971116612,0.9988602832150009,0.9801633605600933,0.9856781802864364,0.9798994974874372,0.9915254237288136
exp1,3,ALL,ALL,neural_network,0.8563527700480648,0.9089704175012231,0.782051282051282,0.8533333333333334,0.7941605839416058,0.9220338983050848
exp1,3,ALL,ALL,neural_network,0.8562773690247596,0.9116395564756467,0.7855477855477856,0.8544303797468354,0.8023774145616642,0.9137055837563451
exp1,3,ALL,ALL,neural_network,0.8306290865232019,0.896910529249064,0.7666277712952159,0.8420221169036335,0.7884615384615384,0.9033898305084745
exp1,3,ALL,ALL,neural_network,0.8707547768678983,0.9144030166205772,0.809801633605601,0.8731517509727627,0.8071942446043165,0.9508474576271186
exp1,3,ALL,ALL,neural_network,0.8543102901034724,0.9074436255645886,0.808634772462077,0.8757575757575757,0.7917808219178082,0.9796610169491525
exp2,3,ALL_MINUS_General,General,xgboost,0.9938998281628482,0.997334824010295,0.9695817490494296,0.9781718963165075,0.9706678700361011,0.9857928505957837
exp2,3,ALL_MINUS_General,General,lightgbm,0.9905865989606958,0.9935063215554552,0.9673637515842839,0.9766174801362089,0.9676113360323887,0.9857928505957837
exp2,3,ALL_MINUS_General,General,neural_network,0.5092694191979553,0.6965510932791015,0.6929657794676806,0.8178228990411731,0.6933375836786739,0.9967919340054996
exp2,3,ALL_MINUS_PAH,PAH,xgboost,0.9969040247678018,0.9999904445208881,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp2,3,ALL_MINUS_PAH,PAH,lightgbm,0.9969040247678018,0.9999904445208881,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp2,3,ALL_MINUS_PAH,PAH,neural_network,0.6888544891640866,0.9982260097202811,0.8981481481481481,0.9463414634146341,0.9965753424657534,0.9009287925696594
exp2,3,ALL_MINUS_Hereditary_Cancer,Hereditary_Cancer,xgboost,0.997229916897507,0.9967334813618717,0.9776223776223776,0.9772079772079773,0.985632183908046,0.9689265536723164
exp2,3,ALL_MINUS_Hereditary_Cancer,Hereditary_Cancer,lightgbm,0.9967604112869148,0.9964365382248365,0.9762237762237762,0.9757489300998573,0.9855907780979827,0.9661016949152542
exp2,3,ALL_MINUS_Hereditary_Cancer,Hereditary_Cancer,neural_network,0.7274324303175423,0.6807303121465017,0.6447552447552447,0.7251082251082251,0.5877192982456141,0.9463276836158192
exp2,3,ALL_MINUS_CFTR,CFTR,xgboost,0.0,0.0,0.0,0.0,0.0,0.0
exp2,3,ALL_MINUS_CFTR,CFTR,lightgbm,0.0,0.0,0.0,0.0,0.0,0.0
exp2,3,ALL_MINUS_CFTR,CFTR,neural_network,0.0,0.0,0.0,0.0,0.0,0.0
exp3,3,General,PAH,xgboost,0.9969040247678018,0.9999904445208883,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp3,3,General,Hereditary_Cancer,xgboost,0.9978872247523358,0.9977257567099315,0.9790209790209791,0.9787234042553191,0.9829059829059829,0.9745762711864406
exp3,3,General,PAH,lightgbm,0.9969040247678018,0.9999904445208883,0.9969135802469136,0.9984496124031008,1.0,0.9969040247678018
exp3,3,General,Hereditary_Cancer,lightgbm,0.9978246240042569,0.9976830083907415,0.9818181818181818,0.9816124469589816,0.9830028328611898,0.980225988700565
exp3,3,General,PAH,neural_network,0.7321981424148607,0.9983652376165795,0.9845679012345679,0.9922239502332815,0.996875,0.9876160990712074
exp3,3,General,Hereditary_Cancer,neural_network,0.6660680470131618,0.6578471967058437,0.6013986013986014,0.7118301314459049,0.5543307086614173,0.9943502824858758
exp3,3,Hereditary_Cancer,General,xgboost,0.9926206953664197,0.996328111082698,0.967680608365019,0.9768076398362893,0.9693140794223827,0.9844179651695693
exp3,3,Hereditary_Cancer,PAH,xgboost,0.9845201238390093,0.9999519249230808,0.9969135802469136,0.9984544049459042,0.9969135802469136,1.0
exp3,3,Hereditary_Cancer,General,lightgbm,0.9901553592299889,0.9935555639329785,0.9670468948035488,0.9764065335753176,0.9667565139263252,0.9862511457378552
